,AVEN (57099)
ACH-000004,-0.16790186393215284
ACH-000005,0.010800607907051564
ACH-000007,-0.12033062223395148
ACH-000009,-0.05300729836526893
ACH-000011,-0.19282854126038607
ACH-000012,-0.15508173048460688
ACH-000013,0.0033654276579704193
ACH-000014,-0.20677077364826407
ACH-000015,-0.1469433689640031
ACH-000017,-0.3183555486256773
ACH-000018,-0.024427970189484675
ACH-000019,-0.08524142479286435
ACH-000021,-0.06707779581348784
ACH-000022,-0.08251522218962486
ACH-000025,-0.15502307734994358
ACH-000028,-0.07747270026940857
ACH-000030,-0.043115095597328144
ACH-000035,-0.4783885733948829
ACH-000036,-0.2274293254911594
ACH-000037,-0.2380630147969084
ACH-000039,0.06354605235965673
ACH-000040,-0.03732689266432724
ACH-000041,0.07177874512891713
ACH-000042,-0.11528570768172355
ACH-000045,-0.317955766028214
ACH-000047,-0.1520524485577906
ACH-000052,-0.0412050508188627
ACH-000053,-0.13692849385526412
ACH-000054,0.01138917191302055
ACH-000055,-0.06440823473834809
ACH-000060,-0.188666929165868
ACH-000067,-0.09947574467080596
ACH-000070,-0.14101865689415885
ACH-000075,-0.20381687337661328
ACH-000078,-0.2689434435504354
ACH-000082,-0.13751206813485795
ACH-000085,0.11594534768405393
ACH-000086,-0.17515090089358634
ACH-000087,-0.2594843831970349
ACH-000092,-0.16706819883018112
ACH-000095,-0.18972098313128347
ACH-000097,-0.14855948936528393
ACH-000098,-0.041975001339353744
ACH-000099,-0.09752531291592106
ACH-000108,-0.14472752965202634
ACH-000113,-0.08195473665392909
ACH-000116,-0.1167061878209622
ACH-000118,0.0042517334967724675
ACH-000120,-0.18169670716149616
ACH-000123,-0.11918959761640975
ACH-000127,-0.06612020066445336
ACH-000128,-0.19283572214519645
ACH-000132,-0.07609280754143638
ACH-000133,-0.13512006890870626
ACH-000137,-0.1320219760534885
ACH-000138,-0.13335375789153242
ACH-000142,0.03199168101634752
ACH-000143,0.1119120518039259
ACH-000146,-0.12056807207168005
ACH-000148,-0.2134006739778666
ACH-000150,-0.08664645415261946
ACH-000152,0.07108325700905806
ACH-000153,-0.1821949325224207
ACH-000159,-0.1942039076050267
ACH-000160,-0.16702360519839046
ACH-000163,-0.160041472661007
ACH-000167,-0.2912100850786863
ACH-000168,0.015190025389565737
ACH-000169,-0.06886805574277734
ACH-000178,-0.1964750171659656
ACH-000183,-0.08467563944590363
ACH-000188,-0.2068173317847863
ACH-000189,-0.1332739934656419
ACH-000190,-0.07364087551148688
ACH-000198,-0.14166616243107527
ACH-000203,-0.6813128664323533
ACH-000204,-0.13419622916836838
ACH-000206,-0.10449387844884804
ACH-000207,-0.2903095612903928
ACH-000208,-0.19574860347405929
ACH-000210,-0.21975537496911904
ACH-000211,-0.056367840139837526
ACH-000215,-0.2053638152160842
ACH-000221,-0.025481258230063086
ACH-000222,-0.11454021714673852
ACH-000223,-0.2166313994346228
ACH-000226,-0.3179619107119081
ACH-000227,-0.13870368373763778
ACH-000228,-0.03803966116968445
ACH-000231,-0.18500062519314794
ACH-000232,-0.10726081993676086
ACH-000233,-0.16163548723645282
ACH-000234,-0.15313855829648582
ACH-000235,-0.12636623393767582
ACH-000237,-0.07703776409763971
ACH-000238,-0.1861980647282236
ACH-000242,-0.5629964748345465
ACH-000243,-0.11663194989223648
ACH-000244,-0.2593182273474288
ACH-000246,-0.0020540438984349386
ACH-000248,-0.20036296999954006
ACH-000250,-0.14868824424522012
ACH-000251,-0.08124123122042541
ACH-000252,-0.06543877685484402
ACH-000253,-0.07122133674690177
ACH-000255,-0.1951164012335707
ACH-000256,-0.07798900430349909
ACH-000257,-0.11542884905373994
ACH-000258,-0.15735372099723868
ACH-000259,-0.12389017636766103
ACH-000260,-0.3928914051354584
ACH-000261,-0.2515980556035148
ACH-000262,-0.15159755407185568
ACH-000263,-0.09903607294445453
ACH-000264,-0.3038010365281157
ACH-000265,-0.2860647391748761
ACH-000266,-0.16352440683897226
ACH-000272,-0.129678946690661
ACH-000274,-0.1527543365136643
ACH-000277,-0.12805534086764275
ACH-000278,-0.08028896293277021
ACH-000279,0.01939059498366597
ACH-000280,0.025703021372858938
ACH-000281,-0.022828686050987302
ACH-000288,-0.07928834137388513
ACH-000291,0.020756061247907832
ACH-000293,0.022400089306151727
ACH-000294,-0.1285502347997677
ACH-000295,-0.018802548138239374
ACH-000296,-0.2569891374072662
ACH-000302,-0.194925194647154
ACH-000304,-0.27024146083674155
ACH-000307,-0.17801029425988812
ACH-000308,-0.1511966177052754
ACH-000310,-0.11510902942131405
ACH-000311,0.010349555170735363
ACH-000312,-0.15673557574864566
ACH-000315,0.07832366991130017
ACH-000316,-0.04641474429380765
ACH-000317,-0.14606268586896848
ACH-000318,-0.14657239328277902
ACH-000319,-0.2395728959623212
ACH-000320,-0.1704343582373983
ACH-000322,-0.10892351440358616
ACH-000323,-0.014860043729345252
ACH-000324,-0.095578987557483
ACH-000329,-0.06853813954918389
ACH-000330,0.013888054165115541
ACH-000331,-0.09711045964204937
ACH-000332,-0.10571566049261764
ACH-000334,0.03706800278467068
ACH-000335,-0.08551425606699002
ACH-000336,0.17531970010238052
ACH-000337,0.008518909043668659
ACH-000338,-0.14800931080711166
ACH-000339,-0.23860733063557396
ACH-000341,-0.4043011686964978
ACH-000348,-0.1250562078717134
ACH-000350,-0.03690338297294723
ACH-000352,-0.2560629827555287
ACH-000356,-0.13550778855968984
ACH-000361,0.08083607568386683
ACH-000362,-0.15395031615247864
ACH-000363,-0.08280670475855778
ACH-000364,0.06158279063256113
ACH-000365,-0.4659353212232485
ACH-000366,-0.10152915799393768
ACH-000368,-0.25923460202926896
ACH-000374,-0.16537292888366298
ACH-000375,0.05335289476692494
ACH-000376,-0.21645666040391146
ACH-000381,-0.17037264701869814
ACH-000383,-0.1474222156323272
ACH-000387,-0.2573316604679677
ACH-000389,0.039865028206143904
ACH-000390,-0.10855279249191603
ACH-000393,-0.05012246497845494
ACH-000395,-0.2713714849981827
ACH-000396,-0.30377428887917785
ACH-000397,-0.016841688805772137
ACH-000401,-0.05243699825362184
ACH-000402,-0.4338397197543916
ACH-000403,-0.186062630993877
ACH-000404,-0.2388235995129053
ACH-000406,-0.0679120959711998
ACH-000407,-0.2335050781612071
ACH-000408,-0.06027327032557715
ACH-000410,-0.16782912042125575
ACH-000411,-0.2117095943560301
ACH-000414,-0.1848138440398654
ACH-000415,-0.2696491237754566
ACH-000416,0.006832427807394535
ACH-000420,0.06499040939483354
ACH-000421,-0.1970914945561966
ACH-000424,-0.04556091881040051
ACH-000425,-0.1713098997707584
ACH-000426,-0.11832030820375106
ACH-000427,-0.2442478425428184
ACH-000433,0.038703602221593685
ACH-000435,-0.2541988603039036
ACH-000436,-0.06550123677719652
ACH-000444,-0.12334804792135005
ACH-000445,-0.10546992781954652
ACH-000448,-0.1028060724077606
ACH-000450,0.001150855463478892
ACH-000452,-0.23698645975027016
ACH-000454,-0.04299680278579664
ACH-000458,-0.038003282349105
ACH-000459,-0.14489170044825178
ACH-000460,-0.2870189495196178
ACH-000461,-0.12868975386795098
ACH-000463,-0.03718272742964904
ACH-000464,-0.2485892954847464
ACH-000466,-0.06813158629123395
ACH-000467,-0.2623160662173891
ACH-000468,-0.1882920314589733
ACH-000469,0.08104854064380021
ACH-000470,-0.1949245544236015
ACH-000471,0.030099886595124244
ACH-000472,-0.25481206352807745
ACH-000473,-0.17455675695597056
ACH-000475,-0.0585987505790698
ACH-000476,-0.1753582902741281
ACH-000477,-0.2901909021488323
ACH-000479,0.21873512846326768
ACH-000480,-0.09866117850778816
ACH-000481,-0.17507246645687646
ACH-000483,-0.3622387680435933
ACH-000484,-0.02270506618187833
ACH-000485,-0.0663058372505058
ACH-000486,-0.2588359676969668
ACH-000487,-0.1096966630005042
ACH-000488,-0.039288400179816614
ACH-000490,-0.2627348885034653
ACH-000491,0.038772290491482383
ACH-000495,-0.2299073356347516
ACH-000496,-0.10043579336297848
ACH-000499,-0.2453907201691197
ACH-000500,-0.5543056524397826
ACH-000502,-0.16910840613190256
ACH-000503,-0.1768177828220777
ACH-000505,-0.18966667640109935
ACH-000507,-0.13835912042803672
ACH-000510,-0.12368739356692172
ACH-000511,-0.07517312591699511
ACH-000512,-0.4191873338396221
ACH-000516,-0.09634266103814412
ACH-000517,-0.22810613719582026
ACH-000518,-0.23903439433060725
ACH-000520,-0.2708977874056273
ACH-000521,-0.07425718482436698
ACH-000522,-0.13410060179168826
ACH-000524,-0.1036094075595086
ACH-000527,-0.13840752712194213
ACH-000528,-0.11555085505698084
ACH-000537,-0.20341517104013826
ACH-000541,-0.1919799669713565
ACH-000542,-0.27233734690530353
ACH-000544,-0.4603909862527813
ACH-000545,-0.09547845509902557
ACH-000547,-0.005542866269942747
ACH-000548,-0.2740320639871773
ACH-000549,-0.10658025882724068
ACH-000550,-0.02890269796581085
ACH-000552,-0.01825975383575785
ACH-000556,-0.041145825988939434
ACH-000557,-0.20812386513667264
ACH-000569,0.02408725693562641
ACH-000570,-0.26843528482857393
ACH-000571,-0.10159131562883494
