,GLT6D1 (360203)
ACH-000004,-0.033728221954082205
ACH-000005,-0.11742538141350604
ACH-000007,-0.15507542201623922
ACH-000009,-0.29644800270140004
ACH-000011,-0.03752350391708291
ACH-000012,-0.0992590788385422
ACH-000013,-0.21862524667208336
ACH-000014,-0.018589731374919708
ACH-000015,-0.2343827571791551
ACH-000017,0.021058165719785138
ACH-000018,0.005534819811652506
ACH-000019,0.004067657651859996
ACH-000021,-0.0021078210772142213
ACH-000022,-0.08062962382966263
ACH-000025,0.034466113309914004
ACH-000028,0.08690147160237913
ACH-000030,0.00015296062988864574
ACH-000035,0.028584864115074844
ACH-000036,-0.02027257237049517
ACH-000037,-0.0415676390122993
ACH-000039,-0.008768090775526042
ACH-000040,-0.0766971513155928
ACH-000041,-0.2442848563389745
ACH-000042,-0.11284149779222374
ACH-000045,-0.07712328212516105
ACH-000047,-0.0216555856674038
ACH-000052,-0.07207720448366504
ACH-000053,-0.10834695843601798
ACH-000054,-0.09410692694943723
ACH-000055,-0.08387273804239535
ACH-000060,-0.1065606857522238
ACH-000067,-0.11571298039568105
ACH-000070,-0.06947378218702319
ACH-000075,0.036028671980097474
ACH-000078,-0.2537431917337528
ACH-000082,0.050227371815630535
ACH-000085,-0.053692044238548536
ACH-000086,0.0251917144722678
ACH-000087,-0.10812081134666483
ACH-000092,0.018896399758424613
ACH-000095,-0.07561611713570701
ACH-000097,-0.118286947675352
ACH-000098,-0.011693186957273352
ACH-000099,-0.1836658058538404
ACH-000108,-0.04600598988793327
ACH-000113,-0.1141502353962364
ACH-000116,-0.14799466931600272
ACH-000118,-0.08139186827926796
ACH-000120,-0.18521975853863626
ACH-000123,-0.16161917117667904
ACH-000127,-0.0567662690266896
ACH-000128,-0.0779051616105591
ACH-000132,-0.07344651120083591
ACH-000133,0.08879537447683658
ACH-000137,-0.21768438633066287
ACH-000138,-0.06980556958838116
ACH-000142,-0.1493622669687625
ACH-000143,0.13021301665058133
ACH-000146,-0.12549064907451402
ACH-000148,-0.044254101042386466
ACH-000150,-0.17890458527197178
ACH-000152,0.0208716118382853
ACH-000153,-0.028385651669500706
ACH-000159,-0.06875923636142231
ACH-000160,-0.1017360881843351
ACH-000163,0.03574670259028026
ACH-000167,-0.30235790309341903
ACH-000168,-0.27307743497198195
ACH-000169,-0.14883716138731212
ACH-000178,-0.12460302760949188
ACH-000183,-0.2686768778480288
ACH-000188,-0.08728728215474557
ACH-000189,0.09326367928323613
ACH-000190,0.051526583517951065
ACH-000198,-0.05155726496943961
ACH-000203,-0.3698005757716234
ACH-000204,0.03225816050091427
ACH-000206,0.03367346203714785
ACH-000207,-0.18009093567974482
ACH-000208,-0.13033329601185287
ACH-000210,-0.013063256811386365
ACH-000211,0.0012108704841617074
ACH-000215,-0.11745232259224138
ACH-000221,-0.1503295821965478
ACH-000222,0.08344687210854235
ACH-000223,-0.02386004113493693
ACH-000226,0.060564587611913134
ACH-000227,-0.15320735055895685
ACH-000228,-0.06170930108833302
ACH-000231,-0.06269855508314638
ACH-000232,-0.006971986181777179
ACH-000233,-0.028285791007545812
ACH-000234,-0.058107842856847135
ACH-000235,-0.002681992611038325
ACH-000237,-0.14348042755729196
ACH-000238,-0.11886479560769322
ACH-000242,0.08664180296817756
ACH-000243,0.003560825605204912
ACH-000244,-0.014076904149270866
ACH-000246,-0.1100809480859548
ACH-000248,0.019948179735118032
ACH-000250,-0.09468526046109567
ACH-000251,-0.09631753262310644
ACH-000252,-0.11454483541655773
ACH-000253,-0.03923395220533957
ACH-000255,-0.2279767623891271
ACH-000256,-0.006086034031067128
ACH-000257,-0.029010061989533063
ACH-000258,-0.2468738733269592
ACH-000259,-0.08513428066308774
ACH-000260,-0.17219914911452885
ACH-000261,-0.02128956841001953
ACH-000262,-0.014433059085809176
ACH-000263,-0.2026250598972612
ACH-000264,-0.1339198116699313
ACH-000265,-0.025999004631440597
ACH-000266,-0.07739193801246362
ACH-000272,-0.146260513535096
ACH-000274,-0.039914561234653416
ACH-000277,-0.1860398938117302
ACH-000278,-0.1291976595810523
ACH-000279,-0.09477185130877967
ACH-000280,-0.19890520580717605
ACH-000281,-0.1695426058155234
ACH-000288,0.06693387970440696
ACH-000291,-0.09737064459608487
ACH-000293,0.08297627398338604
ACH-000294,-0.08753690609208456
ACH-000295,-0.06895878392994684
ACH-000296,-0.10162844644757817
ACH-000302,-0.002790543817374773
ACH-000304,-0.21502329041622745
ACH-000307,-0.09207894278207426
ACH-000308,-0.1051951536244985
ACH-000310,-0.2475132855926329
ACH-000311,-0.01839595230433701
ACH-000312,-0.18324837146053288
ACH-000315,-0.13293740242878366
ACH-000316,-0.12992045123473164
ACH-000317,-0.07883632357603708
ACH-000318,-0.02558858135020171
ACH-000319,-0.05121523561584992
ACH-000320,0.020745221318404332
ACH-000322,0.011954397975823663
ACH-000323,-0.03881063329856594
ACH-000324,-0.10006276649518396
ACH-000329,-0.14969178818051512
ACH-000330,-0.004910073197697296
ACH-000331,-0.02270880715683334
ACH-000332,-0.0926081648737608
ACH-000334,-0.05260404249954092
ACH-000335,-0.12147887652458107
ACH-000336,0.14938777071985632
ACH-000337,-0.06685615254752572
ACH-000338,0.2423480699153336
ACH-000339,-0.06162453203708259
ACH-000341,-0.1564137876982866
ACH-000348,-0.06901446212052888
ACH-000350,-0.017878230022024023
ACH-000352,-0.10476723554843702
ACH-000356,0.06942262491962223
ACH-000361,-0.15524971064941165
ACH-000362,-0.09966234651806566
ACH-000363,-0.08367272599369584
ACH-000364,-0.008393864732434544
ACH-000365,-0.03356776919708772
ACH-000366,-0.14446128559736926
ACH-000368,-0.11007645685280458
ACH-000374,0.0627898469273915
ACH-000375,-0.22166317063365448
ACH-000376,-0.09379713162376732
ACH-000381,-0.042900018136342616
ACH-000383,-0.0638561116810645
ACH-000387,-0.1231740083252634
ACH-000389,-0.2160007008561889
ACH-000390,-0.023661467152194658
ACH-000393,-0.050489681167213835
ACH-000395,-0.18023783469499666
ACH-000396,-0.17060228065453795
ACH-000397,-0.08347137802886259
ACH-000401,0.07356420409664581
ACH-000402,-0.09388385453265442
ACH-000403,-0.15533409216513794
ACH-000404,0.043376439501803116
ACH-000406,-0.0802823865266179
ACH-000407,-0.11415761039467215
ACH-000408,-0.08977459116868787
ACH-000410,-0.003444236651698359
ACH-000411,-0.19678632393865475
ACH-000414,-0.0010187726598259387
ACH-000415,0.009265060903868305
ACH-000416,-0.0547743312979779
ACH-000420,-0.0143125349605967
ACH-000421,-0.057826729064405925
ACH-000424,-0.2060932633983512
ACH-000425,0.00614622186275886
ACH-000426,0.006809622615085207
ACH-000427,0.007606498809285181
ACH-000433,-0.024034091903186318
ACH-000435,0.08857809337740626
ACH-000436,-0.041595836397736105
ACH-000444,-0.07930674668404435
ACH-000445,-0.003773663007131983
ACH-000448,-0.08118103683353571
ACH-000450,0.012943957154539238
ACH-000452,-0.009015837022526185
ACH-000454,-0.014270667146559297
ACH-000458,-0.08974021204552099
ACH-000459,0.005407671003572091
ACH-000460,-0.12836410292311728
ACH-000461,-0.14035058440749615
ACH-000463,-0.05518492746786068
ACH-000464,0.12146160514600328
ACH-000466,0.05550553207878448
ACH-000467,-0.12260705618312147
ACH-000468,-0.1720555503633086
ACH-000469,-0.0951195857471021
ACH-000470,-0.08505697014574222
ACH-000471,-0.0953951623048066
ACH-000472,-0.07894540246460703
ACH-000473,-0.06437181547432548
ACH-000475,-0.06453514351779857
ACH-000476,-0.03676947081873582
ACH-000477,-0.05035518406792504
ACH-000479,0.05300917469666056
ACH-000480,-0.03851678201963683
ACH-000481,0.03568210781700292
ACH-000483,-0.00999717363615204
ACH-000484,-0.20633942212259146
ACH-000485,-0.004729725886648442
ACH-000486,-0.006895199427109931
ACH-000487,-0.03710873605975736
ACH-000488,-0.10146456193396204
ACH-000490,-0.09446076011071992
ACH-000491,-0.012361030053598841
ACH-000495,-0.08983950519092196
ACH-000496,-0.15475746212677222
ACH-000499,-0.2609635329833917
ACH-000500,-0.251415489968215
ACH-000502,0.0004998293616031617
ACH-000503,-0.1337961999882068
ACH-000505,-0.02276124511906489
ACH-000507,-0.05589506273521161
ACH-000510,-0.0394714938254007
