,IL17C (27189)
ACH-000004,0.017672576571071828
ACH-000005,-0.380612976853984
ACH-000007,-0.3829832590915949
ACH-000009,0.06768027124836318
ACH-000011,-0.20982105231568807
ACH-000012,-0.03569249386928764
ACH-000013,-0.04186134932029629
ACH-000014,0.0824361825193583
ACH-000015,0.1539596126767501
ACH-000017,0.07184628089575082
ACH-000018,-0.12880756438804108
ACH-000019,-0.34118608086863816
ACH-000021,-0.0813513909515491
ACH-000022,0.0638844482318778
ACH-000025,-0.07309049529611446
ACH-000028,-0.023794658971696074
ACH-000030,0.017256752255737088
ACH-000035,-0.07517938070628821
ACH-000036,-0.06847263849412813
ACH-000037,-0.043796395340801486
ACH-000039,0.03172904846979057
ACH-000040,-0.09724871930600687
ACH-000041,0.13463262832157996
ACH-000042,-0.05425506109958003
ACH-000045,0.051972844930345416
ACH-000047,-0.09600812785035484
ACH-000052,0.03707090418561359
ACH-000053,0.0469685082000332
ACH-000054,-0.049774971221119735
ACH-000055,-0.05219067048443002
ACH-000060,-0.1190598622016948
ACH-000067,0.019523652223039988
ACH-000070,-0.01834365038165775
ACH-000075,-0.21487198087939555
ACH-000078,0.03801752243942831
ACH-000082,-0.08116654274861176
ACH-000085,-0.1700899686624231
ACH-000086,-0.007649325206865041
ACH-000087,-0.06156987900813059
ACH-000092,0.13014308965508875
ACH-000095,0.0539574998276851
ACH-000097,-0.05856976728565401
ACH-000098,0.03813816272802082
ACH-000099,-0.00737062024960757
ACH-000108,-0.15887017426115613
ACH-000113,-0.10412006211085176
ACH-000116,0.12273210755239082
ACH-000118,-0.017977760740890667
ACH-000120,-0.19722097323398094
ACH-000123,-0.060301367347501786
ACH-000127,-0.06348879859413765
ACH-000128,-0.02346693359807456
ACH-000132,-0.0009461125731768297
ACH-000133,-0.034353098335932274
ACH-000137,0.061605432905031315
ACH-000138,-0.007292839552040406
ACH-000142,-0.08198819395188932
ACH-000143,0.016178934697142218
ACH-000146,-0.06235926874495875
ACH-000148,0.04410773647190675
ACH-000150,0.0931348692344663
ACH-000152,-0.04374596379375243
ACH-000153,0.10177892324871704
ACH-000159,0.02740325383691516
ACH-000160,-0.015043398575628515
ACH-000163,-0.039645343964929615
ACH-000167,0.11507122909337615
ACH-000168,-0.14418417490400687
