,CFB (629)
ACH-000004,-0.296292585112443
ACH-000005,-0.42102790829005976
ACH-000007,-0.06409103641949493
ACH-000009,-0.2680926577274481
ACH-000011,-0.11156749248667648
ACH-000012,-0.12062519925718655
ACH-000013,-0.2127993187679897
ACH-000014,-0.38534385739480864
ACH-000015,-0.10455521064053036
ACH-000017,-0.3622411062179339
ACH-000018,-0.4074385495024584
ACH-000019,-0.20436965026019616
ACH-000021,-0.21492094596978076
ACH-000022,-0.11400652728547525
ACH-000025,-0.3087464098262605
ACH-000028,-0.02838138816205626
ACH-000030,-0.28079005317474875
ACH-000035,-0.28338271178824537
ACH-000036,-0.219969176341724
ACH-000037,-0.15590669887733882
ACH-000039,-0.35260590235932904
ACH-000040,-0.15091737540252767
ACH-000041,-0.1363124698272467
ACH-000042,-0.13290540883949525
ACH-000045,-0.2557695899660045
ACH-000047,-0.14526550360457893
ACH-000052,-0.21863677647312124
ACH-000053,-0.2886489691922194
ACH-000054,-0.2724283447714018
ACH-000055,-0.24458353620322
ACH-000060,-0.42611266645455337
ACH-000067,-0.3025473410719529
ACH-000070,-0.1902879835430908
ACH-000075,-0.1797939625078762
ACH-000078,-0.3474990519255132
ACH-000082,-0.3242531348224203
ACH-000085,-0.3920773080820135
ACH-000086,-0.17192857508601106
ACH-000087,-0.54226716811984
ACH-000092,-0.205482677938137
ACH-000095,-0.2780415722671169
ACH-000097,-0.27307171274530584
ACH-000098,-0.230551585731734
ACH-000099,-0.13544387416565146
ACH-000108,-0.17011887928417516
ACH-000113,-0.32249357734677403
ACH-000116,-0.2044089719585032
ACH-000118,-0.1638859922203629
ACH-000120,-0.25646551424332
ACH-000123,-0.17788365604672612
ACH-000127,-0.2482405788572856
ACH-000128,-0.38351434455269545
ACH-000132,-0.2195554918781985
ACH-000133,-0.28598967150259824
ACH-000137,-0.024665375366455
ACH-000138,-0.18701089569490054
ACH-000142,-0.26607101040133857
ACH-000143,-0.09926815093752947
ACH-000146,-0.37379223373159176
ACH-000148,-0.1358015781347716
ACH-000150,-0.2720441592672796
ACH-000152,-0.26453640649684723
ACH-000153,-0.3722642898016574
ACH-000159,-0.1517511124633591
ACH-000160,-0.284997757825171
ACH-000163,-0.07677734098425303
ACH-000167,-0.16523044370905693
ACH-000168,-0.20107051787720012
ACH-000169,-0.2634106843233725
ACH-000178,-0.0904458094510612
ACH-000183,-0.2958343481640558
ACH-000188,-0.2338073187916892
ACH-000189,-0.11350008984125327
ACH-000190,-0.3942457744212004
ACH-000198,-0.2910546527146252
ACH-000203,-0.6328423724175696
ACH-000204,-0.2613476916660449
ACH-000206,-0.31294664035494324
ACH-000207,-0.17752336576033093
ACH-000208,-0.2288395822321941
ACH-000210,0.022883736905539128
ACH-000211,-0.19343026509685407
ACH-000215,-0.22955568672674725
ACH-000221,-0.2153302434351145
ACH-000222,-0.1847109124548465
ACH-000223,-0.3139210895468326
ACH-000226,-0.2504059126849449
ACH-000227,-0.2541446443156802
ACH-000228,-0.2490107770765641
ACH-000231,-0.29802527219039
ACH-000232,-0.3095987638295511
ACH-000233,-0.2993147470032897
ACH-000234,-0.16343817251594608
ACH-000235,-0.2055723925433262
ACH-000237,-0.23093477592098915
ACH-000238,-0.26389349405588275
ACH-000242,-0.2778265150697172
ACH-000243,-0.18887126348968555
ACH-000244,-0.3883060327000102
ACH-000246,-0.22585476892914946
ACH-000248,-0.3776238022143688
ACH-000250,-0.3720434489432953
ACH-000251,-0.07003669642289106
ACH-000252,-0.30976686475915444
ACH-000253,-0.2593688347259371
ACH-000255,-0.1276603483089629
ACH-000256,-0.21250258176069414
ACH-000257,-0.2767054213150413
ACH-000258,-0.22086535903520785
ACH-000259,-0.2855445207112154
ACH-000260,-0.262539228144624
ACH-000261,-0.2862385744993212
ACH-000262,-0.10082145243788557
ACH-000263,-0.17247603224390826
ACH-000264,-0.3913179640867689
ACH-000265,-0.27799577387728425
ACH-000266,-0.13407204570894146
ACH-000272,-0.2760844038451915
ACH-000274,-0.25527621302820785
ACH-000277,-0.3081904984731997
ACH-000278,-0.22017456176873665
ACH-000279,-0.2208552014302363
ACH-000280,-0.2801061245224469
ACH-000281,-0.4146446003764169
ACH-000288,-0.2785271499210724
ACH-000291,-0.2590714685923604
ACH-000293,-0.2665978241368328
