,WWTR1 (25937)
ACH-000004,-0.15215338508745466
ACH-000005,-0.19852550005861766
ACH-000007,-0.08217506221334421
ACH-000009,-0.040736053124954534
ACH-000011,-0.826939159107877
ACH-000012,0.05099489871372223
ACH-000013,-0.9063260526533956
ACH-000014,-0.3717105451794687
ACH-000015,-0.3133486632883837
ACH-000017,-0.4776458964269383
ACH-000018,-0.7487295397286323
ACH-000019,-0.31735359473297464
ACH-000021,-0.40860876964984
ACH-000022,-0.15119850665158752
ACH-000025,-0.9640167493265362
ACH-000028,-0.2598029385732717
ACH-000030,-0.7861374239887934
ACH-000035,-0.2467322035942724
ACH-000036,-0.5700207042721589
ACH-000037,-0.04712689551922315
ACH-000039,-0.13375123568707833
ACH-000040,-0.5617251900716823
ACH-000041,-0.14544233169221066
ACH-000042,-0.5272854620137067
ACH-000045,-0.2246400729070343
ACH-000047,-0.4273842429098909
ACH-000052,-0.2520459905656375
ACH-000053,0.1773470126707455
ACH-000054,-0.6797827507736072
ACH-000055,-0.07831959247545127
ACH-000060,-0.5969665085503411
ACH-000067,-0.4237002605543588
ACH-000070,-0.16955188916348213
ACH-000075,-0.4944100276794279
ACH-000078,-0.12498625792067734
ACH-000082,-0.3000830288068101
ACH-000085,-0.42284982492702905
ACH-000086,-0.6547259116913123
ACH-000087,-0.16933626672255694
ACH-000092,-0.5475820521095768
ACH-000095,-0.3772785039592325
ACH-000097,-0.43104105627086303
ACH-000098,-0.6930556453750516
ACH-000099,-0.2854414625661353
ACH-000108,-0.335289789253346
ACH-000113,-0.299400078935824
ACH-000116,-0.11193762559183623
ACH-000118,-0.8081477825583703
ACH-000120,-0.20229656102546328
ACH-000123,-0.41175892213873627
ACH-000127,-0.5132198668006144
ACH-000128,-0.7398829059926454
ACH-000132,-0.4207426125885674
ACH-000133,-0.6317268539150537
ACH-000137,-0.6344202561137191
ACH-000138,-0.5628773215431995
ACH-000142,-0.44588424683562267
ACH-000143,-0.2179181122009141
ACH-000146,-0.016515794802295442
ACH-000148,-0.16991936028930588
ACH-000150,-0.3920492048066388
ACH-000152,-0.4256488002213644
ACH-000153,-0.2772958978258536
ACH-000159,-0.2701504131080083
ACH-000160,-0.17848356711968144
ACH-000163,-0.5220218331466766
ACH-000167,-0.5757305886017284
ACH-000168,-0.3185385001584461
ACH-000169,-0.2274695492382468
ACH-000178,-0.2511619269872579
ACH-000183,-0.4260970612175288
ACH-000188,-0.4424998417435777
ACH-000189,-0.3836116227607507
ACH-000190,-0.04209375245824325
ACH-000198,-0.3749418431477789
ACH-000203,-0.21052035267725427
ACH-000204,-0.4984241936632102
ACH-000206,-0.31102909658098704
ACH-000207,-0.08982845416727005
ACH-000208,-0.4593332480533645
ACH-000210,-0.3589836668281117
ACH-000211,-0.5679885518291847
ACH-000215,-0.4635477336718064
ACH-000221,-0.3446473825217337
ACH-000222,-0.2647782284086916
ACH-000223,-0.526942639447893
ACH-000226,-0.18110790417491654
ACH-000227,-0.26305468083447003
ACH-000228,-0.07720220601106084
ACH-000231,-0.5395059540664641
ACH-000232,-0.962186424800558
ACH-000233,-0.13002861629685314
ACH-000234,-0.949535474332978
ACH-000235,-0.3936248800088543
ACH-000237,-0.11634217320733768
ACH-000238,-0.32985145006610256
ACH-000242,-0.4985827604187072
ACH-000243,-0.3555408529938912
ACH-000244,-0.3768516129226903
ACH-000246,-0.6546963567154515
ACH-000248,-0.5029325362282422
ACH-000250,-0.4926342894386445
ACH-000251,-1.0774069987917476
ACH-000252,-0.4144743466552152
ACH-000253,-0.2906600062352284
ACH-000255,-0.2101063179465137
ACH-000256,-0.40951464028062384
ACH-000257,-0.03506912682272525
ACH-000258,-0.038190540298415294
ACH-000259,-0.290571079865366
ACH-000260,-0.17066857646690156
ACH-000261,-0.4329407875731857
ACH-000262,-0.8170337033743776
ACH-000263,-0.5917135912518243
ACH-000264,-0.3037237828692537
ACH-000265,-0.4532034101849025
ACH-000266,-0.3752924574814399
ACH-000272,-0.16819455667693745
ACH-000274,-0.8962553116909339
ACH-000277,-0.16101239175680526
ACH-000278,-0.3180631124504977
ACH-000279,-0.15314744684538328
ACH-000280,-0.7868876575818098
ACH-000281,-0.30122631526012056
ACH-000288,-0.6878855179242566
ACH-000291,-0.2704383006195707
ACH-000293,-0.3075767360308028
ACH-000294,-0.0054412353020967886
ACH-000295,-0.2921147659315547
ACH-000296,-0.2555840138300893
ACH-000302,-0.9366740379243692
ACH-000304,-0.3656300675875019
ACH-000307,-0.3769123369916904
ACH-000308,-0.4048158980204697
ACH-000310,-0.18712226220343947
ACH-000311,-0.4618270676265286
ACH-000312,-0.22704905337726425
ACH-000315,-0.2639932977483037
ACH-000316,-1.1335503890824792
ACH-000317,-1.452221397786658
ACH-000318,-0.3005332190983349
ACH-000319,-0.5906109166564651
ACH-000320,-0.8093186059999513
ACH-000322,-0.17269702303731385
ACH-000323,-0.3802677714567942
ACH-000324,-0.32543309484668825
ACH-000329,-0.1651318357779167
ACH-000330,0.3337183022051354
ACH-000331,-0.6130920289837525
ACH-000332,-0.4399833498635704
ACH-000334,-0.06682289681132263
ACH-000335,-0.6044799140355571
ACH-000336,-0.30941291823344313
ACH-000337,-0.3075577924677613
ACH-000338,0.05860231462646968
ACH-000339,-0.5719851644729638
ACH-000341,-0.1149778718434901
ACH-000348,-0.22694510086496325
ACH-000350,-0.03804898627490201
ACH-000352,-0.6410737423742529
ACH-000356,-0.7053525758861167
ACH-000361,-0.4623485993786437
ACH-000362,-0.16264861991686722
ACH-000363,-0.024776744749884155
ACH-000364,-0.6843583319877041
ACH-000365,-0.2884682142400363
ACH-000366,-0.23093097412412886
ACH-000368,-0.3870679906764266
ACH-000374,-0.7046268868218983
ACH-000375,-0.4674014993137898
ACH-000376,-0.27093895052491274
ACH-000381,-0.15162447127216258
ACH-000383,-0.2302346851430808
ACH-000387,-0.0920884215758044
ACH-000389,-0.41940441654949656
ACH-000390,-0.5223221871058795
ACH-000393,-0.3066342276995541
ACH-000395,-1.017294289468008
ACH-000396,-0.6954484938126737
ACH-000397,-0.6062514649737445
ACH-000401,-0.4623821922512471
ACH-000402,-0.2516716108783429
ACH-000403,-0.2492570831025657
ACH-000404,-0.7073588713336529
ACH-000406,-0.16766145113917333
ACH-000407,-0.4911600155578105
ACH-000408,-0.8798178538991178
ACH-000410,-0.6471197109994126
ACH-000411,-0.6064158356844961
ACH-000414,-0.2671750546078693
ACH-000415,-0.6069673530439862
ACH-000416,-0.5017229371639336
ACH-000420,-0.6762950491693046
ACH-000421,-0.09953052776581524
ACH-000424,-0.4263170819184003
ACH-000425,-0.4501847382964844
ACH-000426,-0.08495367155644723
ACH-000427,-0.4830035197926241
ACH-000433,-0.7159941732031271
ACH-000435,-0.046232325768618084
ACH-000436,-0.14522556751705368
ACH-000444,-0.6775205014396525
ACH-000445,-0.5615874604915767
ACH-000448,-0.2687251821393362
ACH-000450,-0.3946794417541905
ACH-000452,-0.4373828680559483
ACH-000454,-0.7859828795414037
ACH-000458,-0.7342913583325599
ACH-000459,-0.09383703070664244
ACH-000460,-0.8957965521494946
ACH-000461,-0.4364878165539911
ACH-000463,-0.4855159098693656
ACH-000464,-0.4627847651676006
ACH-000466,-0.7263986848801082
ACH-000467,-0.20020355175586585
ACH-000468,-0.9922830692654468
ACH-000469,-0.6092796164668124
ACH-000470,-0.22104945686430144
ACH-000471,-0.7423660643305339
ACH-000472,-0.2622127332551834
ACH-000473,-0.3115654729729611
ACH-000475,-0.20270984646253395
ACH-000476,-0.5415198109774497
ACH-000477,-0.2366161389434125
ACH-000479,-0.6976693244606671
ACH-000480,-0.2751147520171384
ACH-000481,-0.13330531539229584
ACH-000483,-0.953483620883867
ACH-000484,-0.14958866905500026
ACH-000485,-0.1777052953896014
ACH-000486,-0.7568085049719733
ACH-000487,-0.19586311557595215
ACH-000488,-0.60603787260949
ACH-000490,-0.3267659482747939
ACH-000491,-0.3598347132907637
ACH-000495,-0.3290634511928845
ACH-000496,-0.7678823610945229
ACH-000499,-0.29794714090553154
ACH-000500,-0.6516507424335731
ACH-000502,-0.7390272613896641
ACH-000503,-0.966521125733757
ACH-000505,-0.29404807779264003
ACH-000507,-0.34304590307265803
ACH-000510,-0.3980637598665883
ACH-000511,-0.44805255337751787
ACH-000512,-0.16232994487063732
ACH-000516,-0.4836615101016867
ACH-000517,-0.8281278813094657
ACH-000518,-0.428635608409244
ACH-000520,-0.3252109390924349
ACH-000521,-0.7709752173259047
ACH-000522,-0.6114168339987548
ACH-000524,-0.2010569345566211
ACH-000527,-0.6002903231097966
ACH-000528,-0.07198484771310164
ACH-000537,-1.1381113056858272
ACH-000541,-0.3033001566714146
ACH-000542,-0.7151274997641314
ACH-000544,-0.8700697053886429
ACH-000545,-0.8020394745185314
ACH-000547,-0.3202491280335378
ACH-000548,-0.3448014999291496
ACH-000549,-0.39785010486601
ACH-000550,-0.5852701161387285
ACH-000552,-0.11746278835062644
ACH-000556,-0.13046519187286684
ACH-000557,-0.032469452996513104
ACH-000569,-0.4068283387365748
ACH-000570,-0.6941335181757086
ACH-000571,-0.18869077423038266
ACH-000573,-0.5317272832908818
ACH-000576,-0.27652944566437554
ACH-000579,-0.051989856837195966
ACH-000580,-0.17469019987112164
ACH-000584,-0.13829779051668
ACH-000585,-0.6672795668149593
ACH-000588,-0.16547947378618524
ACH-000589,-0.06539890103498222
ACH-000591,-0.2701280742255957
ACH-000593,-0.3588247633656761
ACH-000600,-0.4882483550113241
ACH-000601,-0.40946797096191656
ACH-000605,-0.48638574592653006
ACH-000606,-0.730456081820595
ACH-000608,-0.18412018354116128
ACH-000614,-0.3316379579095485
ACH-000616,-0.4965282242572476
ACH-000618,-0.0989291940818095
ACH-000619,-1.1470310737406513
ACH-000620,-0.4149453044818697
ACH-000621,-0.3909912330226879
ACH-000622,-0.4289152942131377
ACH-000623,-0.349319142876479
ACH-000624,-0.07569291109893485
ACH-000627,-0.8113398273493058
ACH-000630,-0.9145055403448727
ACH-000631,-0.9325034134386798
ACH-000632,-0.8301891760452627
ACH-000633,-0.1412236401166897
ACH-000637,-0.2968120085831404
ACH-000638,-0.18996067645357675
ACH-000646,-0.4884985466179934
ACH-000647,-0.05335778133518417
ACH-000648,-0.3368116163703541
ACH-000649,-0.6963379255685599
