,HSBP1 (3281)
ACH-000004,-0.0008709607532580263
ACH-000005,-0.037957759449749634
ACH-000007,-0.14962980907468526
ACH-000009,-0.19460539703710586
ACH-000011,-0.17836215465863345
ACH-000012,0.005166163458270321
ACH-000013,-0.18533787744485053
ACH-000014,-0.19053064352731924
ACH-000015,-0.06376930678686096
ACH-000017,-0.09959806213779654
ACH-000018,-0.2499578252315828
ACH-000019,-0.05057414686788073
ACH-000021,-0.11477479753334816
ACH-000022,-0.12111461608361895
ACH-000025,-0.23861187599942466
ACH-000028,-0.17875897138979566
ACH-000030,-0.1597565462314296
ACH-000035,-0.19433086154229684
ACH-000036,-0.3161203151592257
ACH-000037,0.008641129935073917
ACH-000039,-0.04611250484189009
ACH-000040,-0.3936100895557371
ACH-000041,0.012381806270761669
ACH-000042,-0.2889866341117292
ACH-000045,0.015671723830419856
ACH-000047,-0.5060914558831855
ACH-000052,-0.2378515442855789
ACH-000053,-0.1857739373029784
ACH-000054,-0.4818508526727078
ACH-000055,-0.18184687710251765
ACH-000060,-0.41997773884559214
ACH-000067,-0.16532294586667587
ACH-000070,-0.23087397893363096
ACH-000075,-0.15781496068710413
ACH-000078,-0.14070171893688405
ACH-000082,-0.0946765891541347
ACH-000085,-0.0064989359118339035
ACH-000086,-0.18323996727361047
ACH-000087,-0.14591952758052446
ACH-000092,0.049906336342503695
ACH-000095,-0.07513838048331198
ACH-000097,-0.33237921190660497
ACH-000098,-0.24405689838597885
ACH-000099,-0.1824206540928156
ACH-000108,-0.18209738383622695
ACH-000113,-0.15345950998621716
ACH-000116,-0.10411333939369033
ACH-000118,-0.25493416972685656
ACH-000120,-0.2265913375450493
ACH-000123,-0.16399592632118412
ACH-000127,-0.19140679296973928
ACH-000128,-0.18903614177770175
ACH-000132,-0.271958398268416
ACH-000133,-0.28487001941760826
ACH-000137,-0.25371134214465313
ACH-000138,-0.2891189757129329
ACH-000142,-0.11081810896484882
ACH-000143,-0.2550492682293689
ACH-000146,-0.09986598980520306
ACH-000148,-0.14765346456410589
ACH-000150,0.05700967940745193
ACH-000152,-0.3268089458806316
ACH-000153,0.09036415399167017
ACH-000159,-0.08251144870911127
ACH-000160,0.12155980457265947
ACH-000163,-0.19983020968567886
ACH-000167,0.4743599073999595
ACH-000168,-0.2779464296065423
ACH-000169,-0.14451547941891604
ACH-000178,-0.22648144626792854
ACH-000183,-0.1923518683125195
ACH-000188,-0.07510259414035066
ACH-000189,0.0492925148699258
ACH-000190,0.034592849070866974
ACH-000198,-0.32499433822496765
