,CORIN (10699)
ACH-000004,0.03103213318536672
ACH-000005,0.13528580612953006
ACH-000007,-0.25305852392107514
ACH-000009,-0.03064879117484025
ACH-000011,-0.07364759139236032
ACH-000012,0.02851703218148403
ACH-000013,0.09257298836590112
ACH-000014,-0.06391456607040752
ACH-000015,-0.06783378444036837
ACH-000017,-0.030965950981506733
ACH-000018,0.1925069561314928
ACH-000019,0.09327379118112382
ACH-000021,-0.017645023820473147
ACH-000022,-0.013182899781930293
ACH-000025,-0.0034112155494416987
ACH-000028,0.00233160582545716
ACH-000030,-0.11520818512282713
ACH-000035,0.06173220336157643
ACH-000036,-0.10322397821843132
ACH-000037,-0.12354340640676995
ACH-000039,0.046463241504335784
ACH-000040,-0.0021997050318956135
ACH-000041,-0.01709481399247876
ACH-000042,0.010802512559679187
ACH-000045,-0.12666057515206475
ACH-000047,-0.06110282928644235
ACH-000052,-0.3674876717815253
ACH-000053,0.08105026807418887
ACH-000054,0.013492423129471784
ACH-000055,0.02206939265311437
ACH-000060,-0.010830552188493322
ACH-000067,-0.004912574812997542
ACH-000070,-0.0215020686688363
ACH-000075,-0.012765001628734444
ACH-000078,-0.04673234104208559
ACH-000082,-0.05906022203713743
ACH-000085,-0.0907386558840799
ACH-000086,0.05249751553183436
ACH-000087,0.012979734944858145
ACH-000092,0.003387571835307704
ACH-000095,-0.0035479160895825444
ACH-000097,0.030698286559815425
ACH-000098,0.011968619674180215
ACH-000099,0.02247409552064721
ACH-000108,0.08842810431851952
ACH-000113,-0.03346881659310801
ACH-000116,-0.047448392721549305
ACH-000118,-0.05726849099990464
ACH-000120,-0.09136519297616706
ACH-000123,-0.0767144991832807
ACH-000127,-0.05232232055741642
ACH-000128,0.002743384366727007
ACH-000132,-0.07721422209283976
ACH-000133,-0.17900417051843462
ACH-000137,-0.08245108824723688
ACH-000138,0.08173547274568113
ACH-000142,-0.003529507175684379
ACH-000143,-0.05622892716338185
ACH-000146,-0.07556262002154014
ACH-000148,-0.05559125454018105
ACH-000150,-0.10528392353529192
ACH-000152,-0.12513288753376056
ACH-000153,-0.04010495071615197
ACH-000159,0.018801927574969214
ACH-000160,-0.12556091435904995
ACH-000163,-0.030032877793867437
ACH-000167,0.2458154765268975
ACH-000168,0.08223277608695273
ACH-000169,-0.055555970832649175
ACH-000178,-0.05432424149425664
ACH-000183,-0.08384873517004691
ACH-000188,-0.2091124231428748
ACH-000189,0.05097486413025372
ACH-000190,0.01971821119550728
ACH-000198,-0.10379307458761032
ACH-000203,-0.2534177910222734
ACH-000204,-0.13362449935195536
ACH-000206,0.038763772283351434
ACH-000207,0.2267196874394888
ACH-000208,0.0018799949581430047
ACH-000210,-0.2729602052512352
ACH-000211,-0.035756743496451165
ACH-000215,-0.15691693625043945
ACH-000221,0.08110413777979937
