,CLEC4F (165530)
ACH-000004,-0.0062118045371325715
ACH-000005,0.08122590000705067
ACH-000007,0.05063257714792028
ACH-000009,0.01646355526257313
ACH-000011,-0.02051900524341421
ACH-000012,0.01653803920097469
ACH-000013,-0.028676323058500607
ACH-000014,0.06343804066640334
ACH-000015,-0.010479364439880135
ACH-000017,-0.0305391805972034
ACH-000018,0.010844547648208414
ACH-000019,0.12198816193191947
ACH-000021,-0.027103621524638133
ACH-000022,-0.046300956681381816
ACH-000025,0.05467150985155282
ACH-000028,-0.11220527302873846
ACH-000030,-0.042244378336608025
ACH-000035,-0.15300994957240213
ACH-000036,0.0031286825483200073
ACH-000037,-0.165292499732133
ACH-000039,0.061270408743107616
ACH-000040,-0.031101308775020587
ACH-000041,0.05056631335247638
ACH-000042,-0.034710170004856176
ACH-000045,-0.02808809195294953
ACH-000047,0.07640331226565937
ACH-000052,-0.14791345572076295
ACH-000053,-0.006108467220502921
ACH-000054,-0.10179276550472156
ACH-000055,0.12407370795172225
ACH-000060,0.009085627070405814
ACH-000067,0.05321405798611768
ACH-000070,0.09293400046504086
ACH-000075,-0.0066009066449690314
ACH-000078,0.11458888996727218
ACH-000082,0.03600399123644756
ACH-000085,-0.16170548452586084
ACH-000086,-0.09179959626392974
ACH-000087,-0.020492291630754042
ACH-000092,-0.09246088471650643
ACH-000095,-0.03642938159071839
ACH-000097,0.0018825706576747368
ACH-000098,0.017488577361859062
ACH-000099,0.04640539112739512
ACH-000108,-0.061563966457387924
ACH-000113,-0.015923572647632292
ACH-000116,-0.1151689851151485
ACH-000118,-0.053317993979149166
ACH-000120,-0.040759803716238496
ACH-000123,0.10379797541545176
ACH-000127,0.018467448804899717
ACH-000128,0.06506602046844892
ACH-000132,0.04580517681554872
ACH-000133,-0.10338227041174368
ACH-000137,0.09571449687656727
ACH-000138,0.023332974289687548
ACH-000142,0.005308169156547559
ACH-000143,0.050959019060787474
ACH-000146,0.04512431279492362
ACH-000148,0.008391574216361527
ACH-000150,0.15255247207544864
ACH-000152,-0.10993896019604313
ACH-000153,0.17347988008208529
ACH-000159,-0.06505451005881732
ACH-000160,-0.13872388024484644
ACH-000163,0.02985166983321655
ACH-000167,0.09763417213467017
ACH-000168,-0.03915218686319955
ACH-000169,0.019494174369355657
ACH-000178,-0.02864368393643665
ACH-000183,0.1322755894650566
ACH-000188,-0.10802932458643186
ACH-000189,-0.359604675619116
ACH-000190,0.06917990695814967
ACH-000198,-0.012827972869646835
ACH-000203,-0.4407078988825947
ACH-000204,-0.12762415068165314
ACH-000206,-0.06716734049357859
ACH-000207,0.011434290961480327
ACH-000208,-0.05470451105908216
ACH-000210,-0.04086649064058268
ACH-000211,-0.038440731337399066
ACH-000215,-0.049109919567837536
