,EIF3K (27335)
ACH-000004,-0.4064370046956629
ACH-000005,0.029264105206604364
ACH-000007,-0.2733124399438763
ACH-000009,-0.2541146499598007
ACH-000011,-0.144560951207265
ACH-000012,-0.12423592856731527
ACH-000013,-0.19577475354395046
ACH-000014,-0.19190793082022348
ACH-000015,-0.3084265326498237
ACH-000017,-0.2506275983371954
ACH-000018,-0.33818735115581233
ACH-000019,-0.12397616639830125
ACH-000021,-0.1793077129346699
ACH-000022,-0.3054379586695054
ACH-000025,0.03813524337910647
ACH-000028,-0.2058607499223932
ACH-000030,-0.26619822537132026
ACH-000035,-0.1267848823282838
ACH-000036,-0.26221160470549204
ACH-000037,-0.1361367167472317
ACH-000039,-0.3451655252993349
ACH-000040,-0.3034231204752567
ACH-000041,-0.024769673132368088
ACH-000042,0.06521281947051806
ACH-000045,-0.028457861687140706
ACH-000047,0.09202649042091936
ACH-000052,-0.2918446828337895
ACH-000053,-0.1862025414274679
ACH-000054,-0.06833744044083118
ACH-000055,-0.5160634360676546
ACH-000060,-0.03056421859805517
ACH-000067,-0.33236981652358044
ACH-000070,-0.2968390870456467
ACH-000075,-0.05983360727570757
ACH-000078,-0.2481400479020849
ACH-000082,-0.02820138536137763
ACH-000085,-0.5912366617718574
ACH-000086,-0.18867055356903376
ACH-000087,-0.1298648419038784
ACH-000092,-0.10523412098724656
ACH-000095,-0.2348985926730719
ACH-000097,-0.15970537445736988
ACH-000098,-0.209748537705872
ACH-000099,-0.2326642542981344
ACH-000108,-0.3149568648831496
ACH-000113,-0.09840106548962106
ACH-000116,0.05280691460293211
ACH-000118,-0.24785405467938626
ACH-000120,-0.20180477927583135
ACH-000123,-0.15186963927405311
ACH-000127,-0.19657895525225896
ACH-000128,-0.23889364708569566
ACH-000132,-0.11917402239958873
ACH-000133,-0.1981297778377563
ACH-000137,-0.22090255291521554
ACH-000138,-0.07620666110716079
ACH-000142,-0.35180481538269376
ACH-000143,-0.12308561584802853
ACH-000146,-0.3150597696484675
