,CALCB (797)
ACH-000004,-0.1844202472788252
ACH-000005,-0.14232973612239908
ACH-000007,-0.06287844008610999
ACH-000009,-0.23602226033255916
ACH-000011,-0.13070502665680414
ACH-000012,-0.18472877739170332
ACH-000013,-0.20684597262234145
ACH-000014,-0.21393304336833494
ACH-000015,-0.21144226813701628
ACH-000017,-0.17867613637765606
ACH-000018,-0.2744162537844241
ACH-000019,-0.12649316385673334
ACH-000021,-0.2761006341076846
ACH-000022,-0.30318237539380544
ACH-000025,-0.22237734222367356
ACH-000028,-0.1647025693660547
ACH-000030,-0.2852238499199967
ACH-000035,-0.1335981289084034
ACH-000036,-0.3328235476340762
ACH-000037,-0.30356439109653005
ACH-000039,-0.2749367666487415
ACH-000040,-0.28256668476749514
ACH-000041,-0.3695393328819303
ACH-000042,-0.4283673109848759
ACH-000045,-0.3980616634910868
ACH-000047,-0.05017489847813982
ACH-000052,-0.04352001265045593
ACH-000053,-0.1820059668517552
ACH-000054,-0.3110910447277576
ACH-000055,-0.08096653972902641
ACH-000060,-0.19525559506979268
ACH-000067,-0.30918855205146384
ACH-000070,-0.18329883159127555
ACH-000075,-0.10323727342847668
ACH-000078,-0.5081088794575703
ACH-000082,-0.2665005240388832
ACH-000085,-0.14207974808753196
ACH-000086,-0.27958224855883795
ACH-000087,0.09443217180478586
ACH-000092,-0.15287226574967488
ACH-000095,-0.33088987832402644
ACH-000097,-0.3204290985566248
ACH-000098,-0.2176046453397463
ACH-000099,-0.2317341056150906
ACH-000108,-0.18551376077929965
ACH-000113,-0.25174221271473496
ACH-000116,-0.24315026689897296
ACH-000118,-0.21753071774174293
ACH-000120,-0.2187926146173031
ACH-000123,-0.23064800010872016
ACH-000127,-0.2412333289010204
ACH-000128,-0.3504435849316963
ACH-000132,-0.1979936225988765
ACH-000133,-0.2503676454527898
ACH-000137,-0.3134636842972728
ACH-000138,-0.25331989385610765
ACH-000142,-0.14604037093833167
ACH-000143,-0.41057085488087
ACH-000146,-0.2974404623728717
ACH-000148,-0.4027328379813575
ACH-000150,-0.2118024647635812
ACH-000152,-0.1058108260665953
ACH-000153,-0.14959444166828567
ACH-000159,-0.14772396092246176
ACH-000160,-0.39020806604727054
ACH-000163,-0.04210898472797468
ACH-000167,-0.4160124657813732
ACH-000168,-0.3622926016075688
ACH-000169,-0.2560555758690733
ACH-000178,-0.20623830884134825
ACH-000183,-0.30628053743184835
ACH-000188,-0.22367904532007624
ACH-000189,-0.45339819210370297
ACH-000190,-0.22514835596689786
ACH-000198,-0.14797273953940862
ACH-000203,-0.5901707867598937
ACH-000204,-0.352611550426612
ACH-000206,-0.5174942186468273
ACH-000207,-0.30481329345946073
ACH-000208,-0.2514725882289029
ACH-000210,-0.2543121766565453
ACH-000211,-0.27208714315305976
ACH-000215,-0.26424565245974685
ACH-000221,-0.14723914201542482
ACH-000222,-0.1809063840021584
ACH-000223,-0.20087559081391035
ACH-000226,-0.1447445239385972
ACH-000227,-0.12859593734311225
ACH-000228,-0.02266129418446518
ACH-000231,-0.44188322939590224
ACH-000232,-0.41030242128667577
ACH-000233,-0.4021206534127266
ACH-000234,-0.3630165177176342
ACH-000235,-0.19466441357851788
ACH-000237,-0.3350167677223773
ACH-000238,-0.1374558529935383
ACH-000242,-0.90953490788742
ACH-000243,-0.20169559958037026
ACH-000244,-0.3331357277022891
ACH-000246,-0.2510844781347781
ACH-000248,-0.1791708896663638
ACH-000250,-0.18762935182632787
ACH-000251,-0.18407457227113794
ACH-000252,-0.10715848408435076
ACH-000253,-0.2829181497213397
ACH-000255,-0.2830621191383121
ACH-000256,-0.2356049854967154
ACH-000257,-0.12881156241068015
ACH-000258,-0.2755795975879594
ACH-000259,-0.21372001544427066
ACH-000260,-0.15414607325672544
ACH-000261,-0.3774707661452904
ACH-000262,-0.269835224092942
ACH-000263,-0.11244240703758082
ACH-000264,-0.2183676288880486
ACH-000265,-0.2618939917616618
ACH-000266,-0.22596489055646865
ACH-000272,-0.24435263454388265
ACH-000274,-0.2473748142959643
ACH-000277,-0.2414762431429498
ACH-000278,-0.2707719612146475
ACH-000279,-0.2740358257819498
ACH-000280,-0.06554635688121067
ACH-000281,-0.3634165033238436
ACH-000288,-0.1988931222660417
ACH-000291,-0.3845256050815437
ACH-000293,-0.1956079553082187
ACH-000294,-0.4156497433392792
ACH-000295,-0.24398256162326346
ACH-000296,0.05069911289187624
ACH-000302,-0.10970310673427826
ACH-000304,-0.1329782665049974
ACH-000307,-0.3311083605866061
ACH-000308,-0.3050949228822325
ACH-000310,-0.4026075012327175
ACH-000311,-0.24321309448384024
ACH-000312,-0.34879669447302153
ACH-000315,-0.4519384091606484
ACH-000316,-0.2377952999053122
ACH-000317,-0.254886277902198
ACH-000318,-0.1915659242810912
ACH-000319,-0.3676028283973082
ACH-000320,-0.013693044295924906
ACH-000322,-0.10956241123957898
ACH-000323,-0.35920042488327764
ACH-000324,-0.16502370618489812
ACH-000329,-0.268220863701094
ACH-000330,-0.13440525261306074
ACH-000331,-0.18755119276926596
ACH-000332,-0.28130690590291874
ACH-000334,-0.4645729563121414
ACH-000335,-0.20678528709533647
ACH-000336,-0.3633833272363916
ACH-000337,-0.3741537644214705
ACH-000338,0.12221296283256408
ACH-000339,-0.28047970037280884
ACH-000341,-0.18228007618216702
ACH-000348,-0.3265350447498678
ACH-000350,-0.3107811125665124
ACH-000352,-0.1103980144746874
ACH-000356,-0.04537156796058788
ACH-000361,-0.0619510029017678
ACH-000362,-0.3561041971414676
ACH-000363,-0.18979689529699134
ACH-000364,-0.4430866279321782
ACH-000365,-0.18440188565629398
ACH-000366,-0.2725029895780017
ACH-000368,-0.3351893792114772
ACH-000374,-0.2956327355339223
ACH-000375,-0.1351021211913177
ACH-000376,-0.3667722798706584
ACH-000381,-0.3183839910508141
ACH-000383,-0.3711430150452509
ACH-000387,-0.2094322714592433
ACH-000389,-0.11908456558000405
ACH-000390,-0.2319323916901247
ACH-000393,-0.32349841226104026
ACH-000395,-0.5041984744319281
ACH-000396,-0.15609514470337085
ACH-000397,-0.2168553100053468
ACH-000401,-0.29682495350558874
ACH-000402,-0.013948449268476007
ACH-000403,-0.27056988328975645
ACH-000404,-0.2605080971675426
ACH-000406,-0.2848773045653064
ACH-000407,-0.2672236186098665
ACH-000408,-0.29975300052884296
ACH-000410,-0.1583688460322444
ACH-000411,-0.2969164038032644
ACH-000414,-0.3261907946898244
ACH-000415,-0.3387902914348712
ACH-000416,-0.1852045352352903
ACH-000420,-0.29695951575704904
ACH-000421,-0.21056726788986652
ACH-000424,-0.1959410885001976
ACH-000425,-0.2000460174005997
ACH-000426,-0.23798038745287925
ACH-000427,-0.025414669100924426
ACH-000433,-0.26707111111613124
ACH-000435,0.08117990335569594
ACH-000436,-0.23705681828239164
ACH-000444,-0.2163303461486411
ACH-000445,-0.2104857872939806
ACH-000448,-0.17114023379476714
ACH-000450,-0.4500840970213583
ACH-000452,-0.2060023655227773
ACH-000454,-0.22499300889283685
ACH-000458,-0.2540015536437413
ACH-000459,-0.22826345197134185
ACH-000460,-0.274389212520393
ACH-000461,-0.2441615397109741
ACH-000463,-0.12466542295235455
ACH-000464,-0.22177449191031895
ACH-000466,-0.2487857480826416
ACH-000467,-0.4803187461265123
ACH-000468,-0.19001307398389525
ACH-000469,-0.2934667515549015
ACH-000470,-0.22555620387258885
ACH-000471,-0.17799550013132262
ACH-000472,-0.2547659045933781
ACH-000473,-0.2566968280626841
ACH-000475,-0.1254295427492077
ACH-000476,-0.18640484001014132
ACH-000477,-0.189592138528435
ACH-000479,-0.27811440886730515
ACH-000480,-0.3269579975914157
ACH-000481,-0.2571051868040636
ACH-000483,0.12167187938274675
ACH-000484,-0.12902012998522372
ACH-000485,-0.18553413772480531
ACH-000486,-0.3393706632288222
ACH-000487,-0.1928867257414432
ACH-000488,-0.16280787544409162
ACH-000490,-0.23344469268303786
ACH-000491,-0.2371019876163541
ACH-000495,-0.3765858099380968
ACH-000496,-0.2279299635651055
ACH-000499,-0.3012565640929761
ACH-000500,-0.6587196173469818
ACH-000502,-0.21305108588739752
ACH-000503,0.032062738978658537
ACH-000505,-0.17317207001342488
ACH-000507,-0.1307712221979461
ACH-000510,-0.3368568424551339
ACH-000511,-0.23010848311606005
ACH-000512,-0.1962547808315894
ACH-000516,-0.1900299871924578
ACH-000517,-0.19930746419978806
ACH-000518,-0.0692049266854543
ACH-000520,-0.04275916389350879
ACH-000521,-0.3865387516859825
ACH-000522,-0.28861557176966635
ACH-000524,-0.2052985102347781
ACH-000527,-0.22944537728685954
ACH-000528,-0.18065724418062967
ACH-000537,-0.3505037796998117
ACH-000541,-0.14797050052343888
ACH-000542,-0.2359126559371917
ACH-000544,-0.1933721894711251
ACH-000545,-0.3316918857338838
ACH-000547,-0.35199763103014803
ACH-000548,-0.16752478058605128
ACH-000549,-0.1735435188790407
ACH-000550,-0.3149008494306409
ACH-000552,-0.19182748060039076
ACH-000556,-0.22742242869805734
ACH-000557,-0.40676727181172057
ACH-000569,-0.01807414179433664
ACH-000570,-0.3120352459661888
ACH-000571,-0.37304286853956253
ACH-000573,-0.2363845820900949
ACH-000576,-0.1451818299222493
ACH-000579,-0.3230509289949628
ACH-000580,-0.06091287520662645
ACH-000584,-0.19503531510557715
ACH-000585,-0.2950374510762817
ACH-000588,-0.2965809609730348
ACH-000589,-0.18974978412873825
ACH-000591,-0.2865996741365012
ACH-000593,-0.2318990785919461
ACH-000600,-0.30490031430801096
ACH-000601,-0.20517878950141055
ACH-000605,-0.1710274103544691
ACH-000606,-0.017467255477812443
ACH-000608,-0.2371819925638993
ACH-000614,-0.2723378764573623
ACH-000616,-0.15014849344500408
ACH-000618,-0.16978849548360594
ACH-000619,-0.2293769906096083
ACH-000620,-0.07357072711831107
ACH-000621,-0.208071207520656
ACH-000622,-0.015035808643808369
ACH-000623,-0.36988876603908816
ACH-000624,-0.3285884151593553
ACH-000627,-0.22292531456563167
ACH-000630,-0.2932896734041995
ACH-000631,-0.2307331677870472
ACH-000632,-0.2389474303530981
ACH-000633,-0.2297754910708068
ACH-000637,-0.18074272234996766
ACH-000638,-0.18905378372585385
ACH-000646,-0.023776155566195785
ACH-000647,-0.16487576141388982
ACH-000648,-0.23034476055557804
ACH-000649,-0.20545560326122927
ACH-000651,-0.34449056223931784
ACH-000652,-0.3061436241945218
ACH-000653,-0.010078170995574476
ACH-000657,-0.1824460770394
ACH-000658,-0.4037645378036025
ACH-000661,-0.12444935106222245
ACH-000662,-0.7156688678697292
ACH-000663,-0.311505825750407
ACH-000665,-0.4461837141224752
ACH-000671,-0.29571924179456266
ACH-000672,-0.369529597192771
ACH-000673,-0.2186397624937951
ACH-000676,-0.21414858333123388
ACH-000677,-0.2906646218463696
ACH-000681,-0.3875537695029113
ACH-000683,-0.3033089265347275
ACH-000684,-0.1987601480357483
ACH-000688,-0.5087447769420538
ACH-000693,-0.19777133473300568
ACH-000694,-0.2289780096043909
ACH-000695,-0.15386288958113672
ACH-000696,-0.22302469398911687
ACH-000697,-0.28942974364056584
ACH-000699,-0.2022797635780563
ACH-000701,-0.2394189480300969
ACH-000706,-0.20918014487621875
ACH-000711,-0.321782620547002
ACH-000713,-0.30533963444912704
ACH-000714,-0.1701555731614196
ACH-000718,-0.2533712671947316
ACH-000720,-0.2445823793542861
ACH-000721,-0.09456229476932476
ACH-000724,-0.10585066531304199
ACH-000725,-0.17291871951219184
ACH-000732,-0.1631668114430645
ACH-000734,-0.3442473261526969
ACH-000735,-0.2853598442638359
ACH-000736,-0.20875580494607665
ACH-000738,-0.3710787902454252
ACH-000746,-0.20683614110025686
ACH-000747,-0.19747070515074736
ACH-000748,-0.5097499736564881
ACH-000753,-0.26022674234474763
ACH-000756,-0.388045230887184
ACH-000757,-0.3858311572278372
ACH-000758,-0.12296742959168401
ACH-000760,-0.6895337183077397
ACH-000762,-0.28132326874841224
ACH-000763,-0.553411831007808
ACH-000764,-0.14335955099518555
ACH-000765,-0.32433833647358024
