,CKAP5 (9793)
ACH-000004,-1.1875821956610435
ACH-000005,-0.7484925046349382
ACH-000007,-1.088171787981187
ACH-000009,-1.1318775319703154
ACH-000011,-0.9061224106231912
ACH-000012,-1.2762160362576758
ACH-000013,-1.1327751622081623
ACH-000014,-1.116132983619552
ACH-000015,-0.9726011840698549
ACH-000017,-0.8839756623753862
ACH-000018,-0.7569416006885177
ACH-000019,-1.2991716067077428
ACH-000021,-0.9285913761336524
ACH-000022,-1.0072245306280547
ACH-000025,-1.221825776669624
ACH-000028,-1.002948983052906
ACH-000030,-1.1339840515745645
ACH-000035,-0.9351730580504192
ACH-000036,-0.8570614521173822
ACH-000037,-1.2860449193238492
ACH-000039,-0.9927170911169422
ACH-000040,-1.2203912254765217
ACH-000041,-1.0190414050672485
ACH-000042,-1.09188673559613
ACH-000045,-1.1214272035234871
ACH-000047,-1.2544667807092604
ACH-000052,-0.7177469131880471
ACH-000053,-1.0843871495233923
ACH-000054,-1.1946398263136295
ACH-000055,-0.919574775299856
ACH-000060,-1.0528894678230936
ACH-000067,-1.1178582200755909
ACH-000070,-1.0275203736818648
ACH-000075,-1.4106387840999193
ACH-000078,-1.1624263479186785
ACH-000082,-1.0585146454658718
ACH-000085,-1.1783806506251433
ACH-000086,-1.0566957172502869
ACH-000087,-0.8777611903782452
ACH-000092,-0.8944354101244217
ACH-000095,-1.0997727885450854
ACH-000097,-1.3394650662874203
ACH-000098,-0.8325770996334431
ACH-000099,-1.2101431590337408
ACH-000108,-0.9408895189558298
ACH-000113,-0.9400060639665042
ACH-000116,-1.0400054850097946
ACH-000118,-0.98253781872445
ACH-000120,-1.3336492417642258
ACH-000123,-0.9954688718773916
ACH-000127,-0.8991361567384235
ACH-000128,-1.2695421510642086
ACH-000132,-1.033935115107917
ACH-000133,-1.098237334288091
ACH-000137,-1.036665304752807
ACH-000138,-1.004266649560164
ACH-000142,-1.2614791095238498
ACH-000143,-0.9127841891420616
ACH-000146,-1.035959239272132
ACH-000148,-0.9106502164616088
ACH-000150,-1.121964039879792
ACH-000152,-1.0892589261348884
ACH-000153,-1.0596416856661073
ACH-000159,-1.1191744387938238
ACH-000160,-1.231191919093375
ACH-000163,-1.1387347929063787
ACH-000167,-1.8663734736678639
ACH-000168,-0.8103486381663761
ACH-000169,-1.1488259347638998
ACH-000178,-0.8968306436913024
ACH-000183,-0.8796694288274841
ACH-000188,-0.9830216654699994
ACH-000189,-0.9893631351480936
ACH-000190,-0.9779286618759641
ACH-000198,-1.0847586700587306
ACH-000203,-0.6010023556765034
ACH-000204,-0.9642101860365896
ACH-000206,-0.8471425557437335
ACH-000207,-1.0791762161142673
ACH-000208,-0.8419814581500825
ACH-000210,-1.145597790561471
ACH-000211,-1.0227179120015089
ACH-000215,-1.1101442987235155
ACH-000221,-1.2539663078666201
ACH-000222,-0.7740843102668127
ACH-000223,-0.9826381440651768
ACH-000226,-0.9811371080320456
ACH-000227,-1.1102346123554574
ACH-000228,-1.1581519047628992
ACH-000231,-1.0695748983985438
ACH-000232,-0.8416150620083526
ACH-000233,-1.0840808247951186
ACH-000234,-1.0919576667748798
ACH-000235,-0.8496778217298667
ACH-000237,-1.2411341164291627
ACH-000238,-1.2321694746006655
ACH-000242,-1.3267197431089282
ACH-000243,-1.0567309762463255
ACH-000244,-0.9779859093228946
ACH-000246,-1.2595768771768507
ACH-000248,-0.9587863020623648
ACH-000250,-1.0241272609483432
ACH-000251,-0.993652111573234
ACH-000252,-1.2084682386194383
ACH-000253,-0.932362723337242
ACH-000255,-1.0014655812033115
ACH-000256,-1.3308557514662471
ACH-000257,-1.150695091004705
ACH-000258,-1.0354084285274563
ACH-000259,-0.8990869538497749
ACH-000260,-1.1214662501177368
ACH-000261,-1.110934246747879
ACH-000262,-0.7338025682131968
ACH-000263,-1.298263924548712
ACH-000264,-1.3660578585473078
ACH-000265,-0.9580875641344236
ACH-000266,-0.9830151222913888
ACH-000272,-0.9894465208796859
ACH-000274,-1.2559391426897295
ACH-000277,-0.7720754480378677
ACH-000278,-1.186830149468035
ACH-000279,-1.0855034225311877
ACH-000280,-0.9747810161927146
ACH-000281,-1.0970637400401828
ACH-000288,-1.20484563943155
ACH-000291,-1.1051582914906848
ACH-000293,-1.1713908569401592
ACH-000294,-1.0292243896352753
ACH-000295,-1.2146131235357278
ACH-000296,-1.0797479963982897
ACH-000302,-1.0217406648489409
ACH-000304,-0.7794537170524908
ACH-000307,-0.9567280243148124
ACH-000308,-1.272475642898833
ACH-000310,-0.8753614726232327
ACH-000311,-1.0638601740620628
ACH-000312,-0.9632158515345433
ACH-000315,-0.8310071312703681
ACH-000316,-0.8865586511073769
ACH-000317,-0.8204017604419467
ACH-000318,-1.2905983890577648
ACH-000319,-1.1304895821851495
ACH-000320,-0.7210282449804666
ACH-000322,-0.8453316462423662
ACH-000323,-1.0235106667283482
ACH-000324,-1.22239347325696
ACH-000329,-0.9897427025030128
ACH-000330,-1.0573570367220404
