,GGT1 (2678)
ACH-000004,-0.6688986400288054
ACH-000005,-0.7891666004256619
ACH-000007,-0.23734037999794716
ACH-000009,-0.2700016457081076
ACH-000011,-0.26447851021654883
ACH-000012,-0.5866833012419314
ACH-000013,-0.1648291748346055
ACH-000014,-0.5209230837535471
ACH-000015,-0.27366705144293657
ACH-000017,-0.061575334417861075
ACH-000018,-0.4858917998341538
ACH-000019,-0.13914482165731618
ACH-000021,-0.2922810192012387
ACH-000022,-0.7410525767585809
ACH-000025,-0.7272458897306733
ACH-000028,-0.14904164245935142
ACH-000030,-0.4320097014573852
ACH-000035,-0.3907342814813348
ACH-000036,-0.3926827560230642
ACH-000037,-0.1684285615037193
ACH-000039,-0.4317272818730396
ACH-000040,-0.3499614684712941
ACH-000041,-0.3880600110379216
ACH-000042,-0.538758794894165
ACH-000045,-0.17763765616224775
ACH-000047,-0.2354868126640544
ACH-000052,-0.42847516429096905
ACH-000053,-0.3388339014079369
ACH-000054,-0.1383798727998592
ACH-000055,-0.1694999217662395
ACH-000060,-0.341732458985041
ACH-000067,-0.3171140121701626
ACH-000070,-0.10548599839695254
ACH-000075,-0.2985448638451295
ACH-000078,-0.3086125742296198
ACH-000082,-0.18659237318216976
ACH-000085,-0.1488756560962166
ACH-000086,-0.14055969585242842
ACH-000087,-0.5390379815758618
ACH-000092,-0.14095060733014186
ACH-000095,-0.2843299003597758
ACH-000097,-0.08030370895057763
ACH-000098,-0.33535275796969866
ACH-000099,-0.2544550476309985
ACH-000108,-0.4227464506224203
ACH-000113,-0.15170543684623616
ACH-000116,-0.2798769985754366
ACH-000118,-0.14505818433408532
ACH-000120,-0.3307877543821961
ACH-000123,-0.4880665848226111
ACH-000127,-0.36010446122428025
ACH-000128,-0.4064647336737349
ACH-000132,-0.15989041645611085
ACH-000133,-0.3668331306771058
ACH-000137,-0.2922666860920425
ACH-000138,-0.2138677130784365
ACH-000142,-0.15798161705068178
ACH-000143,-0.4843900886252996
ACH-000146,-0.3892353791279545
ACH-000148,-0.028517970080064462
ACH-000150,-0.3904547460654041
ACH-000152,-0.286740711533319
ACH-000153,-0.16097551131363885
ACH-000159,-0.09322597458995707
ACH-000160,-0.12722387304575436
ACH-000163,-0.2959436616252409
ACH-000167,-0.9953018617380476
ACH-000168,-0.2469410064867355
ACH-000169,-0.3143282967997039
ACH-000178,-0.4412215083195303
ACH-000183,-0.3615704557753407
ACH-000188,-0.3251223389529517
ACH-000189,-0.15577276921447386
ACH-000190,-0.5038069447963259
ACH-000198,-0.4712334899102242
ACH-000203,-0.3760426324996796
ACH-000204,-0.026514708111072545
ACH-000206,-0.0957367776214658
ACH-000207,-0.4786084113329705
ACH-000208,-0.060017852955825714
ACH-000210,-0.3834515993280255
ACH-000211,-0.19329990883515294
ACH-000215,-0.29676612757128723
ACH-000221,-0.3347801439373937
ACH-000222,-0.09190564179544854
ACH-000223,-0.3404843092663481
ACH-000226,-0.3709110885244565
ACH-000227,-0.3863256379544645
ACH-000228,-0.04427872493351165
ACH-000231,-0.40377398920939056
ACH-000232,-0.357315943423961
ACH-000233,-0.2058440360519531
ACH-000234,0.020398754422579355
ACH-000235,-0.22102882640022267
ACH-000237,-0.40734549134312587
ACH-000238,-0.22547885140848925
ACH-000242,-0.4428179651766555
ACH-000243,-0.4062080589787283
ACH-000244,-0.4538089642894307
ACH-000246,-0.125650135157391
ACH-000248,-0.275706471576566
ACH-000250,-0.07178755378121793
ACH-000251,-0.2377958468747252
ACH-000252,-0.3248456757761454
ACH-000253,-0.2658918756088167
ACH-000255,-0.4767974927486894
ACH-000256,-0.3654536302429736
ACH-000257,-0.2561291210661361
ACH-000258,-0.3315205868080315
ACH-000259,-0.249921036433788
ACH-000260,-0.21717691859102226
ACH-000261,-0.23082109424701405
ACH-000262,-0.1257649750744756
ACH-000263,-0.2296343690400478
ACH-000264,-0.2955016034027261
ACH-000265,-0.4064576196249006
ACH-000266,-0.2896236981004598
ACH-000272,-0.4234867532648765
ACH-000274,-0.2336884590425457
ACH-000277,0.07114644468613135
ACH-000278,-0.6494263602062779
ACH-000279,-0.29749523264914673
ACH-000280,-0.3190426120479154
ACH-000281,-0.2424923322855744
ACH-000288,-0.2695633853269865
ACH-000291,-0.2669677782940781
ACH-000293,-0.4008219538665262
ACH-000294,-0.7319318646045294
ACH-000295,-0.3482114147323617
ACH-000296,-0.4173540064934079
ACH-000302,-0.4816624726404511
ACH-000304,-0.4408672561514159
ACH-000307,-0.19014162071507135
ACH-000308,-0.2733853795159091
ACH-000310,-0.2335986068912183
ACH-000311,-0.4165996513079188
ACH-000312,-0.1154187774066792
ACH-000315,-0.49183233153285794
ACH-000316,-0.2838481856611636
ACH-000317,-0.10891815970960038
ACH-000318,-0.16997646947482714
ACH-000319,-0.2831792188633065
ACH-000320,-0.22266999855799552
ACH-000322,-0.2766286800077471
ACH-000323,-0.4014722229035695
ACH-000324,-0.17123217846810249
ACH-000329,-0.4625404831302568
ACH-000330,-0.43098257967400977
ACH-000331,-0.1282878339072828
ACH-000332,-0.22353775748976856
ACH-000334,-0.7225398775579891
ACH-000335,-0.2609129266216487
ACH-000336,-0.4500056170079552
ACH-000337,0.03607383502989277
ACH-000338,-0.3369314547997689
ACH-000339,-0.3937950300841279
ACH-000341,-0.3649169031336079
ACH-000348,-0.3088000573163555
ACH-000350,-0.10026796948718894
