,MLN (4295)
ACH-000450,0.0831621600427933
ACH-000452,0.05305321085517311
ACH-000454,-0.048027737744364835
ACH-000458,0.18053980164808428
ACH-000459,0.0468545324184184
ACH-000460,0.10805857944622033
ACH-000461,0.01101561478545808
ACH-000463,0.0407383904769027
ACH-000464,0.1936988979623718
ACH-000466,0.0536329584932272
ACH-000467,0.029963135775289213
ACH-000468,0.10910178265269097
ACH-000469,0.058439316983879615
ACH-000470,0.053875777421778286
ACH-000471,0.05685305513725428
ACH-000472,0.14273465869499186
ACH-000473,0.09044071547265044
ACH-000475,0.04589576820008223
ACH-000476,-0.002651422356734566
ACH-000477,0.15225036614617188
ACH-000479,0.32541071599405125
ACH-000480,0.09419658880633976
ACH-000481,0.05002951111540432
ACH-000483,0.07738352356420472
ACH-000484,0.14324493268128494
ACH-000485,-0.01889858227843697
ACH-000486,0.09449972267006876
ACH-000487,0.10850469951768606
ACH-000488,0.028079325745281745
ACH-000490,-0.11950834423716268
ACH-000491,-0.018675022480571863
ACH-000495,0.20908774405272365
ACH-000496,0.05417995469657061
ACH-000499,0.1501148258134151
ACH-000500,0.1692795282454677
ACH-000502,0.05271634500741458
ACH-000503,0.25644031914795423
ACH-000505,0.10422262952968434
ACH-000507,0.07558544677760583
ACH-000510,0.06555286344072066
ACH-000511,0.17721582685240322
ACH-000512,0.2401035425694302
ACH-000516,-0.07407668794171814
ACH-000517,0.10816788479058062
ACH-000518,0.06842848668279991
ACH-000520,0.13326365190151634
ACH-000521,0.11051959212997928
ACH-000522,0.09222011506289764
ACH-000524,0.008768182243047762
ACH-000527,0.12654821028495758
ACH-000528,0.04785086423399462
ACH-000537,-0.12644437496019326
ACH-000541,-0.1192889459809359
ACH-000542,0.11661933157341092
ACH-000544,0.009113064296800066
ACH-000545,0.028105789734854333
ACH-000547,-0.02763928485042973
ACH-000548,0.013322548088753428
ACH-000549,0.16597688959663054
ACH-000550,0.08226572760176135
ACH-000552,0.2286683502979075
ACH-000556,0.094104985996785
ACH-000557,0.1548780793917903
ACH-000569,0.3226624636154316
ACH-000570,0.11736505648418205
ACH-000571,0.01525557528498241
ACH-000573,0.10970805289139746
ACH-000576,0.0333731825643185
ACH-000579,-0.019866992781702383
ACH-000580,0.3071895972492979
ACH-000584,0.07312366154907758
ACH-000585,0.07941491602409358
ACH-000588,0.025572055391572847
ACH-000589,-0.054240634749840685
ACH-000591,-0.04603757650086465
ACH-000593,0.010826287472818356
ACH-000600,0.023429698530834545
ACH-000601,0.09618173012690127
ACH-000605,0.10120337784607523
ACH-000606,-0.03724793407728258
ACH-000608,0.08551580729577668
ACH-000614,0.24426768936133705
ACH-000616,0.0863359665947051
ACH-000618,-0.028171483718674162
ACH-000619,0.14922163346235026
ACH-000620,0.157367738112666
ACH-000621,0.02282779955519464
ACH-000622,0.14369813088329542
ACH-000623,0.02999112616590998
ACH-000624,0.10770383843455944
ACH-000627,-0.0411298819034274
ACH-000630,0.007844402704546066
ACH-000631,0.08256335636353754
ACH-000632,0.14104948399967768
ACH-000633,0.13544049474168945
ACH-000637,0.10549503109529193
ACH-000638,0.03429910442779662
ACH-000646,0.2415072984889059
ACH-000647,0.11695924959265876
ACH-000648,-0.02382014685866285
ACH-000649,0.16096023283188102
ACH-000651,0.08848549658420889
ACH-000652,0.015173135320071869
ACH-000653,0.2331049702783829
ACH-000657,0.11857922533395132
ACH-000658,0.11945567353788315
ACH-000661,0.1728622217017811
ACH-000662,0.03398624085181637
ACH-000663,0.00236625808469157
ACH-000665,-0.008433966793089326
ACH-000671,0.07562643011435494
ACH-000672,-0.3953977567777744
ACH-000673,0.15276998439387907
ACH-000676,0.11087211945975267
ACH-000677,0.08895743090843293
ACH-000681,0.04133107725673171
ACH-000683,0.0778848263582502
ACH-000684,0.2699124015795973
ACH-000688,0.11876763715754382
ACH-000693,0.035133722627835144
ACH-000694,0.07264927372222092
ACH-000695,0.20795149764560614
ACH-000696,0.132305325107451
ACH-000697,0.15677853344908138
ACH-000699,0.16350061952710152
ACH-000701,0.04982125694186333
ACH-000706,0.002856220111851939
ACH-000711,0.06953929353307685
ACH-000713,0.06041316804714244
ACH-000714,0.26423202890940045
ACH-000718,0.19066225159604028
ACH-000720,0.07492719802500034
ACH-000721,-0.016716118508642592
ACH-000724,0.3807735617318377
ACH-000725,0.11632337808116612
ACH-000732,0.02718267209358496
ACH-000734,0.09579065730059394
ACH-000735,-0.0002692233432353728
ACH-000736,0.13999629268031186
ACH-000738,0.09010746857075214
ACH-000746,0.17493561241247896
ACH-000747,0.15325433256875093
ACH-000748,0.11770993540697162
ACH-000753,0.06212198145840918
ACH-000756,-0.030659979433368727
ACH-000757,-0.06881044857833657
ACH-000758,0.09134459784044356
ACH-000760,0.1388541911806214
ACH-000762,0.12420723046656325
ACH-000763,0.04518505330487076
ACH-000764,-0.09598897905917368
ACH-000765,0.12033532914581485
ACH-000766,0.0600034525805869
ACH-000767,0.19981283539627426
