,RABGGTA (5875)
ACH-000004,-1.201822092536838
ACH-000005,-0.95413292951162
ACH-000007,-1.3061233806507984
ACH-000009,-0.9633365347318747
ACH-000011,-0.8459413994823458
ACH-000012,-1.1439958418232372
ACH-000013,-1.235902482062237
ACH-000014,-1.3338828364357829
ACH-000015,-1.224142590805243
ACH-000017,-0.8384906632639544
ACH-000018,-0.9575645541056909
ACH-000019,-0.9786918262294448
ACH-000021,-1.1662399668878851
ACH-000022,-1.062285528238057
ACH-000025,-1.1798009672031184
ACH-000028,-0.9648120932400324
ACH-000030,-1.2337075243860696
ACH-000035,-1.3085772003279212
ACH-000036,-1.0394852591175097
ACH-000037,-0.9841431122697539
ACH-000039,-1.290707233092262
ACH-000040,-1.0584382088305857
ACH-000041,-1.088335388741593
ACH-000042,-1.0803232090203911
ACH-000045,-0.958254541744924
ACH-000047,-1.1385596128644442
ACH-000052,-1.1423314145677037
ACH-000053,-1.1590945327281843
ACH-000054,-0.9867502485052858
ACH-000055,-1.1765583676656683
ACH-000060,-1.2319689944504737
ACH-000067,-1.1487258338338315
ACH-000070,-0.9279407921856108
ACH-000075,-0.8042661060705921
ACH-000078,-1.0591459628405029
ACH-000082,-1.309738391202066
ACH-000085,-1.2016835324082564
ACH-000086,-1.1840961506920298
ACH-000087,-0.9309456958631382
ACH-000092,-1.196414522049665
ACH-000095,-1.0666816215281385
ACH-000097,-1.0432387639063456
ACH-000098,-1.1591580372329582
ACH-000099,-1.0449824631298048
ACH-000108,-1.1725229211602173
ACH-000113,-0.9648635210226764
ACH-000116,-0.8381039284184091
ACH-000118,-1.0112295042018171
ACH-000120,-1.2678754041416336
ACH-000123,-1.091260668310496
ACH-000127,-1.0716887250706209
ACH-000128,-1.1083044873991101
ACH-000132,-1.2052779492696404
ACH-000133,-1.0964236647508991
ACH-000137,-1.0953308260851955
ACH-000138,-0.8450010981793471
ACH-000142,-1.066996214474184
ACH-000143,-0.9216251300682716
ACH-000146,-1.1242418544199484
ACH-000148,-1.2076243545760237
ACH-000150,-1.0322565311045329
ACH-000152,-1.0678936769026457
ACH-000153,-0.9536108338148956
ACH-000159,-1.1045156924100483
ACH-000160,-1.2695014474199715
ACH-000163,-1.0878413822744393
ACH-000167,-1.5617940129896701
ACH-000168,-1.0638892086267708
ACH-000169,-1.108462353415827
ACH-000178,-1.0900461382523683
ACH-000183,-1.227911327097282
ACH-000188,-1.1379725883098073
ACH-000189,-1.0490135970526395
ACH-000190,-1.2018331698270663
ACH-000198,-1.0011598870960887
ACH-000203,-1.226034562348592
ACH-000204,-0.96046559698361
ACH-000206,-0.9098962870051526
ACH-000207,-1.0410900929329094
ACH-000208,-1.2841958769953743
ACH-000210,-1.0684070164233286
ACH-000211,-0.959905145800508
ACH-000215,-1.1338051270300014
ACH-000221,-1.1568680366297652
ACH-000222,-1.2237209800785114
ACH-000223,-1.0941543607406932
ACH-000226,-1.014232519318512
ACH-000227,-0.7258365645538905
ACH-000228,-1.245057028938627
ACH-000231,-1.0878558867800716
ACH-000232,-1.1878939974283813
ACH-000233,-1.0690437102604966
ACH-000234,-1.3418441720422711
ACH-000235,-1.0921288055370446
ACH-000237,-1.0273531752976737
ACH-000238,-0.8790779265003298
ACH-000242,-1.1031966435730145
ACH-000243,-1.0719708973801854
ACH-000244,-1.074218968520085
ACH-000246,-1.1108200770662051
ACH-000248,-1.1830705720525174
ACH-000250,-1.1372963749654792
ACH-000251,-0.8088184901347416
ACH-000252,-1.10284141226112
ACH-000253,-1.08738813074786
ACH-000255,-1.0408008604786645
ACH-000256,-1.0934643025206954
ACH-000257,-1.057663306698706
ACH-000258,-1.4654078899192509
ACH-000259,-1.0955438094771488
ACH-000260,-1.062313852266504
ACH-000261,-1.1982206848631496
ACH-000262,-1.167242191020688
ACH-000263,-1.4394008920512051
ACH-000264,-1.2454259571992072
ACH-000265,-1.0712177187937768
ACH-000266,-1.0302624680753838
ACH-000272,-1.1195760798935883
ACH-000274,-1.1393140800198127
ACH-000277,-1.4085597652188429
ACH-000278,-0.97582130952412
ACH-000279,-1.228489625340362
ACH-000280,-1.0859116471945511
ACH-000281,-0.9911593811640084
ACH-000288,-1.1896623262926802
ACH-000291,-1.2413056715392927
ACH-000293,-0.8845459096769517
ACH-000294,-1.3869853456446342
ACH-000295,-1.0385624352806846
ACH-000296,-0.9764572785304532
ACH-000302,-1.0533353929446498
ACH-000304,-1.1541743968949179
ACH-000307,-1.119488518697565
ACH-000308,-1.3263084658132729
ACH-000310,-1.0012270206132043
ACH-000311,-0.945487740442728
ACH-000312,-1.057539644651174
ACH-000315,-0.9123137282234152
ACH-000316,-1.1641208857975418
ACH-000317,-1.7146070096197208
ACH-000318,-1.0608098405600894
ACH-000319,-1.0030547985916929
ACH-000320,-1.2559466384308888
ACH-000322,-0.8744724190447146
ACH-000323,-1.0088262982471146
ACH-000324,-1.1280307108323215
ACH-000329,-0.9755544025188728
ACH-000330,-1.1063943370488734
ACH-000331,-1.1500117922729745
ACH-000332,-0.9796682079266594
ACH-000334,-0.8931021761776592
ACH-000335,-1.1621519324178806
ACH-000336,-1.3092704258394652
ACH-000337,-1.077199858943204
ACH-000338,-1.2615625471002236
ACH-000339,-1.0554971986338384
ACH-000341,-1.360581977298666
ACH-000348,-0.9858016710100396
ACH-000350,-1.1237908628141298
ACH-000352,-0.9327776862131584
