,PTBP3 (9991)
ACH-000004,-0.13361152664164436
ACH-000005,-0.12650536246182711
ACH-000007,0.014714846986695684
ACH-000009,-0.24048574715363016
ACH-000011,-0.06789476523498301
ACH-000012,-0.2448886329992793
ACH-000013,-0.1621354629898374
ACH-000014,-0.006391698774809729
ACH-000015,-0.22350304315911626
ACH-000017,-0.06586412281672414
ACH-000018,-0.1355195529625988
ACH-000019,-0.06874920210969736
ACH-000021,-0.13775737340928876
ACH-000022,-0.18807165308110754
ACH-000025,-0.07564379616582857
ACH-000028,-0.04221976740652498
ACH-000030,-0.23346858552284916
ACH-000035,-0.12908964168485804
ACH-000036,0.025234758005565468
ACH-000037,-0.16677712505283165
ACH-000039,-0.005107685857167896
ACH-000040,-0.10183580593991956
ACH-000041,-0.22052402395500575
ACH-000042,-0.1261043869985578
ACH-000045,-0.2544071308222803
ACH-000047,-0.048779611832832685
ACH-000052,-0.2675061127543834
ACH-000053,0.09815606931678443
ACH-000054,-0.2027965025703735
ACH-000055,-0.03991127426479135
ACH-000060,-0.0647077059376049
ACH-000067,0.01918081519304301
ACH-000070,0.16777550460644491
ACH-000075,-0.3023404651079845
ACH-000078,-0.19399088394271605
ACH-000082,-0.11995627496635082
ACH-000085,-0.08657626004978299
ACH-000086,-0.11573136200605895
ACH-000087,-0.24421205499420265
ACH-000092,-0.15059390194812336
ACH-000095,-0.0740570192574776
ACH-000097,-0.08692261086402263
ACH-000098,-0.009049832201030759
ACH-000099,-0.08228943670279197
ACH-000108,0.01758156673139593
ACH-000113,-0.24742811418564475
ACH-000116,-0.04927360197433953
ACH-000118,-0.1302789538097727
ACH-000120,-0.13998036807712458
ACH-000123,-0.10560966392346598
ACH-000127,-0.1869260739874924
ACH-000128,-0.09405057752129854
ACH-000132,-0.045830016552411784
ACH-000133,-0.12399161408710314
ACH-000137,-0.13028832296631604
ACH-000138,-0.09840050975603976
ACH-000142,0.04047123540699237
ACH-000143,-0.08716337414975098
ACH-000146,-0.07219254547788287
ACH-000148,-0.11389604713636894
ACH-000150,-0.07749796660991587
ACH-000152,-0.10071861390520444
ACH-000153,-0.02542066283520528
ACH-000159,-0.19811570484221766
ACH-000160,-0.10593530486433103
ACH-000163,-0.04713509030658044
ACH-000167,0.081754910330006
ACH-000168,0.06773975804671385
ACH-000169,-0.20861845383253996
ACH-000178,-0.07940227654950402
ACH-000183,-0.18087562628925252
ACH-000188,-0.12924235755389146
ACH-000189,-0.08977680366778751
ACH-000190,-0.19801260689108965
ACH-000198,0.009329787479580465
ACH-000203,-0.15161108618037328
ACH-000204,-0.08610162154097364
ACH-000206,-0.10898712836798638
ACH-000207,-0.20946372685058004
ACH-000208,-0.19734782271038606
ACH-000210,-0.004194107819063134
ACH-000211,-0.1477869269934928
ACH-000215,-0.03999222958909057
ACH-000221,-0.2897879508791482
ACH-000222,0.08115737932904801
ACH-000223,-0.06658949108034759
ACH-000226,-0.08915350831877998
ACH-000227,-0.2333102241154618
ACH-000228,-0.10522246694287224
ACH-000231,-0.09372480883725598
ACH-000232,-0.08166841969533226
ACH-000233,-0.15204165165835462
ACH-000234,0.0016895456743760216
ACH-000235,0.0320672926372908
ACH-000237,-0.15718467628182356
ACH-000238,-0.09084271212810917
ACH-000242,0.06964120486974197
ACH-000243,0.007113528143428898
ACH-000244,-0.022137334605817974
ACH-000246,-0.05943211422615445
ACH-000248,-0.030775722128796024
ACH-000250,-0.14941442317941256
ACH-000251,0.031496957265014204
ACH-000252,0.15324269594979673
ACH-000253,-0.04860030382209316
ACH-000255,-0.20846745999444705
ACH-000256,0.09451365639663917
ACH-000257,-0.15276466335663408
ACH-000258,0.029691692884799423
ACH-000259,-0.17301768790683625
ACH-000260,-0.07362151271811819
ACH-000261,-0.1071584280801264
ACH-000262,-0.18238974913347566
ACH-000263,0.08125119896979141
ACH-000264,-0.12159148363218328
ACH-000265,-0.15973148787332545
ACH-000266,-0.05284304582841825
ACH-000272,-0.0304142128790064
ACH-000274,-0.19812516289177512
ACH-000277,-0.20640161107232008
ACH-000278,-0.19841666205673056
ACH-000279,-0.08642225499338622
ACH-000280,-0.1898870956726429
ACH-000281,-0.1494546117588574
ACH-000288,-0.027343840931705544
ACH-000291,-0.05038866072938607
ACH-000293,-0.2385431514704617
ACH-000294,-0.1353411231758584
ACH-000295,-0.04174881263653957
ACH-000296,-0.01056462240537518
ACH-000302,-0.055485973088547545
ACH-000304,-0.03176668639342305
ACH-000307,-0.08029335925111213
ACH-000308,-0.05934946580646362
ACH-000310,-0.1087514167343392
ACH-000311,-0.13565805032874154
ACH-000312,-0.18536574171198825
ACH-000315,0.17268677554021925
ACH-000316,-0.07515235105947396
ACH-000317,0.12561280007412715
ACH-000318,-0.03456155884559318
ACH-000319,-0.0411745034940613
ACH-000320,-0.17817185217328788
ACH-000322,0.21576455139798825
