,EIF4E (1977)
ACH-000004,-1.087065218013085
ACH-000005,-1.3101117894003536
ACH-000007,-0.9784887364368476
ACH-000009,-0.8550731889186415
ACH-000011,-0.7961920013607399
ACH-000012,-0.8641889878460478
ACH-000013,-0.684120687174124
ACH-000014,-0.9960318798372892
ACH-000015,-0.869518177347139
ACH-000017,-0.7881953012287454
ACH-000018,-1.156738984631866
ACH-000019,-0.6793769787660224
ACH-000021,-0.918647424662136
ACH-000022,-0.7957894762617326
ACH-000025,-1.087507359838403
ACH-000028,-0.6947828356116124
ACH-000030,-0.9636720133276728
ACH-000035,-0.8888632811613716
ACH-000036,-0.7892704559125073
ACH-000037,-0.9488617821364974
ACH-000039,-0.7464290336310649
ACH-000040,-0.7769783124670636
ACH-000041,-1.0015701260465086
ACH-000042,-0.641874611969948
ACH-000045,-0.7100872166482949
ACH-000047,-0.8471482344288861
ACH-000052,-0.7293290072541069
ACH-000053,-0.7737862441785059
ACH-000054,-1.0358354759983148
ACH-000055,-1.0164541251864474
ACH-000060,-1.0346708065027173
ACH-000067,-0.874267381879207
ACH-000070,-0.8011234399340765
ACH-000075,-1.052436816265972
ACH-000078,-0.7506242150503252
ACH-000082,-0.6254637422755934
ACH-000085,-0.912431301465544
ACH-000086,-0.9534432345387324
ACH-000087,-0.8114010067881495
ACH-000092,-0.9398850568620649
ACH-000095,-0.7639031440712973
ACH-000097,-0.5964678304228083
ACH-000098,-0.8650643557383111
ACH-000099,-0.7587990219953489
ACH-000108,-0.8649823872739515
ACH-000113,-0.6026194388809156
ACH-000116,-0.8886295252994311
ACH-000118,-0.7209516858721324
ACH-000120,-0.7439424052119613
ACH-000123,-0.6366418911053967
ACH-000127,-0.7783105914349409
ACH-000128,-0.8625794154841698
ACH-000132,-0.9883902597531841
ACH-000133,-0.7207367225750998
ACH-000137,-0.686896535490807
ACH-000138,-0.7213695557524418
ACH-000142,-0.8171204826299167
ACH-000143,-0.9292970585857984
ACH-000146,-0.8185521548179979
ACH-000148,-0.8274033938216705
ACH-000150,-0.9457489208014164
ACH-000152,-0.8912510403179591
ACH-000153,-0.8396775422027984
ACH-000159,-0.919471667576314
ACH-000160,-0.8002791527518108
ACH-000163,-0.6438614710436267
ACH-000167,-1.1346859140720609
ACH-000168,-0.6916660521725938
ACH-000169,-0.8755183000713301
ACH-000178,-0.8809661842890548
ACH-000183,-0.9388447235673276
ACH-000188,-0.7770378427996041
ACH-000189,-1.254451428826388
ACH-000190,-0.7972547639344533
ACH-000198,-0.8370221097683018
ACH-000203,-0.4527517485135261
ACH-000204,-1.045975474169599
ACH-000206,-0.5383546108340485
ACH-000207,-0.7666808105041438
ACH-000208,-0.4701801507565706
ACH-000210,-0.9493141809840524
ACH-000211,-0.8545360846150576
ACH-000215,-0.7781460787645866
ACH-000221,-0.814935379407265
ACH-000222,-0.8553468845929874
ACH-000223,-0.7896962615967793
ACH-000226,-0.8670118243296255
ACH-000227,-0.6201664119113381
ACH-000228,-0.7339701918319774
ACH-000231,-0.9361895316248164
ACH-000232,-0.7918315142844863
ACH-000233,-0.545157799610235
ACH-000234,-0.7477452897869858
ACH-000235,-0.700670703211118
ACH-000237,-1.0723301860947203
ACH-000238,-0.8357582901359984
ACH-000242,-0.9322036799453348
ACH-000243,-0.9710125811286342
ACH-000244,-0.7949422831741292
ACH-000246,-0.8066218768148712
ACH-000248,-0.8816301351514508
ACH-000250,-0.7752997886543389
ACH-000251,-1.0608410599777127
ACH-000252,-0.8884545726412862
ACH-000253,-0.750655867325486
ACH-000255,-0.9871715017363628
ACH-000256,-0.8742190317256002
ACH-000257,-0.8511254643614709
ACH-000258,-0.8216504822765163
ACH-000259,-0.9126031363011412
ACH-000260,-0.8991433241236235
ACH-000261,-0.8078611725119754
ACH-000262,-0.948102405730716
ACH-000263,-0.8217309070014208
ACH-000264,-0.7574616696081069
ACH-000265,-0.9294516396457974
ACH-000266,-0.7584357251135145
ACH-000272,-0.8445023101295743
ACH-000274,-0.7829850101259104
ACH-000277,-0.4654499158751772
ACH-000278,-0.8707131227655401
ACH-000279,-1.0691096237572468
ACH-000280,-0.7557398977547061
ACH-000281,-1.0381770317241763
ACH-000288,-0.8587374723986385
ACH-000291,-0.9398585178756989
ACH-000293,-0.6895709063805734
ACH-000294,-0.863695593248567
ACH-000295,-0.839924641274886
ACH-000296,-0.9244657910869558
ACH-000302,-0.9519128028108832
ACH-000304,-1.0169075651072907
ACH-000307,-0.7600754197612217
ACH-000308,-0.7740455789643151
ACH-000310,-0.8883767257614109
ACH-000311,-0.6061239654107651
ACH-000312,-0.8677530521375536
ACH-000315,-0.9619466108975412
ACH-000316,-1.011907935035472
ACH-000317,-1.1148181039629608
ACH-000318,-0.8949289642174225
ACH-000319,-0.9752255689282686
ACH-000320,-1.085766594660563
ACH-000322,-0.8962943332748811
ACH-000323,-0.9593405963978868
ACH-000324,-0.6333868692707264
ACH-000329,-0.7442130860361812
ACH-000330,-0.7641530204039255
ACH-000331,-0.803704034489802
ACH-000332,-0.7695972434164429
ACH-000334,-0.7985987967419336
ACH-000335,-0.6967946004258481
ACH-000336,-0.927066266993792
ACH-000337,-0.7166090732905903
ACH-000338,-1.1977988207251935
ACH-000339,-0.8062127757412444
ACH-000341,-0.6429809577952813
ACH-000348,-0.7994436037331001
ACH-000350,-0.6348662884531039
ACH-000352,-0.7178023797945339
ACH-000356,-0.6686796638904233
ACH-000361,-0.6784999854307578
ACH-000362,-0.5479793084942614
ACH-000363,-1.0161002338366694
ACH-000364,-0.7498298602576113
ACH-000365,-0.6922002679881238
ACH-000366,-0.901409171291328
ACH-000368,-0.7355968994624069
ACH-000374,-0.9262549595439491
ACH-000375,-0.6905447994456793
ACH-000376,-0.8058183551028218
ACH-000381,-0.7959835392960616
ACH-000383,-0.6854800342358461
ACH-000387,-0.8462292381020582
ACH-000389,-0.9712166358136238
ACH-000390,-0.9898124363875191
