,PPARD (5467)
ACH-000004,-0.3742982692047119
ACH-000005,-0.060589164505129536
ACH-000007,-0.14262473046989774
ACH-000009,-0.00025514306016329036
ACH-000011,0.00806016773484137
ACH-000012,-0.10972835887454203
ACH-000013,-0.1423736337714208
ACH-000014,-0.13923089144856132
ACH-000015,-0.06383137138800805
ACH-000017,-0.2402408043871221
ACH-000018,0.010106861576612863
ACH-000019,-0.1222548674034628
ACH-000021,-0.1835080744924752
ACH-000022,-0.08122692795795215
ACH-000025,-0.11165047450875863
ACH-000028,-0.181574213180766
ACH-000030,-0.08331177257880397
ACH-000035,-0.15486281977420124
ACH-000036,0.16444365160704288
ACH-000037,-0.04625073753163871
ACH-000039,-0.12957604358611674
ACH-000040,-0.1452595887640437
ACH-000041,-0.2704739479980879
ACH-000042,-0.13329484663217298
ACH-000045,-0.08354016978117645
ACH-000047,-0.19693809245727448
ACH-000052,-0.4682054065021115
ACH-000053,-0.17323526408996473
ACH-000054,-0.1385500323851239
ACH-000055,-0.10562241544418044
ACH-000060,0.029589895104889262
ACH-000067,-0.048794765123113315
ACH-000070,-0.1671605548102004
ACH-000075,-0.173447917776629
ACH-000078,-0.12807519030353773
ACH-000082,-0.12712978546451031
ACH-000085,-0.22985707778417624
ACH-000086,-0.0615119323014751
ACH-000087,0.06401957987514888
ACH-000092,-0.06257336555196644
ACH-000095,-0.11409186998716672
ACH-000097,-0.05361372205367978
ACH-000098,-0.04023972499810885
ACH-000099,-0.10746676003363816
ACH-000108,-0.0262243542406878
ACH-000113,-0.22323230955273687
ACH-000116,-0.11387127971977135
ACH-000118,0.05228328999357376
ACH-000120,0.1179341291347988
ACH-000123,-0.15698852872400695
ACH-000127,-0.18238884386978152
ACH-000128,-0.12512988954388835
ACH-000132,-0.1584513343270399
ACH-000133,-0.2284714016691295
ACH-000137,-0.11890183568730232
ACH-000138,-0.21981837183552455
ACH-000142,-0.06664852212405027
ACH-000143,-0.1523160521508724
ACH-000146,-0.07180125271342673
ACH-000148,-0.17111236756064316
ACH-000150,0.09538158097779473
ACH-000152,-0.05686662029276787
ACH-000153,0.0227388354117932
ACH-000159,-0.16424467495223893
ACH-000160,-0.13648006660251827
ACH-000163,-0.023332472605825296
ACH-000167,-0.3028540044739838
ACH-000168,0.15598972998345656
ACH-000169,-0.1647374319610656
ACH-000178,-0.13874075537240094
ACH-000183,-0.047083681989647054
ACH-000188,0.012340034351003993
ACH-000189,0.1425603004317726
ACH-000190,0.007767434904618664
ACH-000198,-0.09636948536486528
ACH-000203,-0.3428773560841153
ACH-000204,-0.2704938476258201
ACH-000206,-0.15875256308556432
ACH-000207,-0.15048183404010018
ACH-000208,0.08607848403449425
ACH-000210,-0.2649387882746008
ACH-000211,-0.09015530054415326
ACH-000215,-0.09354579015020087
ACH-000221,-0.10859685980444587
ACH-000222,0.1609555192479261
ACH-000223,-0.1429054186276375
ACH-000226,-0.1492957604435836
ACH-000227,-0.16238508527787038
ACH-000228,-0.27359484562439834
ACH-000231,-0.2389399517110356
ACH-000232,-0.12098151095694624
ACH-000233,-0.190671898539996
ACH-000234,-0.04733592822152158
ACH-000235,-0.09319601323433588
ACH-000237,-0.08697877280989283
ACH-000238,-0.14103547547984036
ACH-000242,0.004796484699107564
ACH-000243,-0.06377628735952315
ACH-000244,0.2169554016105795
ACH-000246,-0.03799950402286858
ACH-000248,-0.1848794162614767
ACH-000250,-0.15620903301083452
ACH-000251,-0.06178956115588734
ACH-000252,-0.07842380900964205
ACH-000253,0.023487001922755997
ACH-000255,-0.1955460886175352
ACH-000256,0.03514237158622471
ACH-000257,-0.12744864377195406
ACH-000258,0.03700071657547053
ACH-000259,-0.16787257972950148
ACH-000260,-0.166446272253673
ACH-000261,-0.09116314167271992
ACH-000262,0.10873346706081537
ACH-000263,-0.21716265217688727
ACH-000264,-0.17266806498554338
ACH-000265,-0.14312913014592687
ACH-000266,-0.0016046053943048048
ACH-000272,-0.19832459219773224
ACH-000274,-0.1147180266166248
ACH-000277,-0.0027834913167358605
ACH-000278,-0.062343882071134914
ACH-000279,-0.15888864740235265
ACH-000280,-0.11405776145487198
ACH-000281,-0.12130588348202186
ACH-000288,-0.0883684640620956
