,FBLN7 (129804)
ACH-000004,-0.33712402376904765
ACH-000005,-0.2651769356594511
ACH-000007,-0.06211970318152742
ACH-000009,-0.11160312611388626
ACH-000011,0.012932000617140916
ACH-000012,-0.03439763699187416
ACH-000013,-0.08886917861594668
ACH-000014,-0.05901009676601724
ACH-000015,-0.17782881504387751
ACH-000017,-0.05519558839300049
ACH-000018,-0.28677597201996
ACH-000019,-0.26191899990254885
ACH-000021,-0.01837488067228116
ACH-000022,-0.09617716280294243
ACH-000025,-0.024647857894697218
ACH-000028,-0.0459384918922207
ACH-000030,-0.11163879407650512
ACH-000035,-0.3484339773565473
ACH-000036,-0.041766171102332654
ACH-000037,-0.16081199713618266
ACH-000039,-0.053073368383509865
ACH-000040,-0.024434790391430903
ACH-000041,-0.02366327796005036
ACH-000042,-0.12314898199295302
ACH-000045,-0.04257725020535768
ACH-000047,-0.05373451131461388
ACH-000052,-0.2286264397368888
ACH-000053,-0.1270277713066733
ACH-000054,-0.12656646184596906
ACH-000055,-0.1179763588040108
ACH-000060,-0.14915193004873997
ACH-000067,-0.06675035086977656
ACH-000070,-0.2644883193097875
ACH-000075,-0.12136218996653328
ACH-000078,0.05509213229810238
ACH-000082,-0.029559962711030282
ACH-000085,-0.14165997439396236
ACH-000086,-0.10850158216213324
ACH-000087,0.02930328002511888
ACH-000092,-0.07721457011374235
ACH-000095,-0.03564189768939008
ACH-000097,-0.09886962666900646
ACH-000098,-0.062012998246406034
ACH-000099,-0.012178084671660941
ACH-000108,-0.13629595683129314
ACH-000113,-0.08963247738190835
ACH-000116,-0.1003158513528107
ACH-000118,-0.16361033253776025
ACH-000120,-0.13280762277921407
ACH-000123,0.010094197364757735
ACH-000127,-0.10352413594593528
ACH-000128,-0.2847066155948204
ACH-000132,-0.060497731663065865
ACH-000133,-0.08071249094171233
ACH-000137,-0.15535004318141718
ACH-000138,-0.012819883346225164
ACH-000142,-0.2137598072583871
ACH-000143,-0.18084110460790093
ACH-000146,-0.06319088150246792
ACH-000148,-0.01882194852631561
