,ERICH6B (220081)
ACH-000004,0.1642213854509709
ACH-000005,0.3178476432391714
ACH-000007,0.2668031808764241
ACH-000009,0.22026352201437985
ACH-000011,0.26269537797649545
ACH-000012,0.10163670169318194
ACH-000013,0.10273842509672072
ACH-000014,0.0963542200340871
ACH-000015,-0.027523038710506403
ACH-000017,0.2480155620327801
ACH-000018,-0.026488367189155402
ACH-000019,0.13933362950384118
ACH-000021,0.06130084915250651
ACH-000022,0.34192919202942423
ACH-000025,0.11918452109365768
ACH-000028,0.24730368538518696
ACH-000030,0.1401542418130917
ACH-000035,0.0064163599374494175
ACH-000036,0.1435530683097091
ACH-000037,0.1987401914630899
ACH-000039,0.14959344643030426
ACH-000040,-0.05209181145565042
ACH-000041,0.1103972073623748
ACH-000042,0.18391235582335616
ACH-000045,0.2667178757132293
ACH-000047,0.08813364870877959
ACH-000052,0.21739284996796554
ACH-000053,0.17585072147781014
ACH-000054,0.09286829078401776
ACH-000055,0.05964874323254361
ACH-000060,0.028920947627334836
ACH-000067,0.046313600761272486
ACH-000070,0.16618555619455005
ACH-000075,-0.1446286909053763
ACH-000078,0.14162760284272125
ACH-000082,0.12232644882305894
ACH-000085,0.18610803413353047
ACH-000086,0.1051196041381392
ACH-000087,0.2659571333023924
ACH-000092,0.1287536241691682
ACH-000095,0.09047726910866258
ACH-000097,0.11096786934122203
ACH-000098,0.08492933165428762
ACH-000099,0.1324626899270071
ACH-000108,0.2714662827464901
ACH-000113,0.0905266292727364
ACH-000116,0.03357769722911455
ACH-000118,0.20163174665477054
ACH-000120,0.2991044859328065
ACH-000123,0.1527454300739671
ACH-000127,0.13186705129659265
ACH-000128,0.056066504135044506
ACH-000132,0.036194441761356604
ACH-000133,0.1529093888283215
ACH-000137,0.09209768651203504
ACH-000138,0.21830298579499866
ACH-000142,0.09746059965880112
ACH-000143,0.2602952762347478
ACH-000146,0.03691008617697779
ACH-000148,0.16362616407479902
ACH-000150,0.09955349325352156
ACH-000152,0.1842685502775224
ACH-000153,0.2456724818893726
ACH-000159,0.06167263511580149
ACH-000160,0.24632671570805434
ACH-000163,0.0850751852731929
ACH-000167,0.014257994745863404
ACH-000168,0.16253660389410168
ACH-000169,0.15156493395065712
ACH-000178,0.2324204655179613
ACH-000183,0.1087230095402824
ACH-000188,0.12840660894195516
ACH-000189,0.18254348340879284
ACH-000190,0.2045774162722854
ACH-000198,0.27617883294384804
ACH-000203,0.7177626747993188
ACH-000204,0.4462824859863013
ACH-000206,0.2740269879910059
ACH-000207,0.18794584481487256
ACH-000208,0.3445610617229923
ACH-000210,-0.10290535734960657
