,AMY2B (280)
ACH-000004,-0.08194203578111144
ACH-000005,-0.1938381094662024
ACH-000007,-0.2487834983474809
ACH-000009,-0.09806882723646143
ACH-000011,-0.12145840789791625
ACH-000012,-0.17046449509044073
ACH-000013,-0.1056025705598891
ACH-000014,-0.026963018882199485
ACH-000015,-0.12569225685189322
ACH-000017,-0.04650154934124177
ACH-000018,-0.10323914785536023
ACH-000019,-0.24171077948828576
ACH-000021,-0.15140939151672647
ACH-000022,-0.0831024008274549
ACH-000025,-0.2545772637132202
ACH-000028,-0.05599934833843221
ACH-000030,-0.1763309592434991
ACH-000035,-0.11583341904493312
ACH-000036,-0.10107224920672067
ACH-000037,-0.13372444143305087
ACH-000039,-0.050060493140306785
ACH-000040,-0.20640666962221468
ACH-000041,-0.11131592315049316
ACH-000042,-0.12757149759109446
ACH-000045,-0.18406404801079684
ACH-000047,-0.11212684488966274
ACH-000052,-0.25124185552754763
ACH-000053,-0.12778760503346884
ACH-000054,-0.1810690261975305
ACH-000055,-0.09972823525332301
ACH-000060,-0.2775906500928257
ACH-000067,-0.22053301558100624
ACH-000070,-0.1400765984293101
ACH-000075,-0.3166152701879748
ACH-000078,-0.2505378331946859
ACH-000082,-0.2054005278621905
ACH-000085,-0.1632848351444827
ACH-000086,-0.26570835617024136
ACH-000087,-0.17117734411105925
ACH-000092,-0.22096653114774994
ACH-000095,-0.14922691264595406
ACH-000097,-0.11546381451081893
ACH-000098,-0.11323851234241618
ACH-000099,-0.19222441439415708
ACH-000108,-0.10915426957497436
ACH-000113,-0.09105675727279394
ACH-000116,-0.1679615137830981
ACH-000118,-0.06551794787797753
ACH-000120,-0.07010049980199536
ACH-000123,-0.1217880690395904
ACH-000127,-0.15864707456909002
ACH-000128,-0.107197320321358
ACH-000132,-0.13193038060833312
ACH-000133,-0.13602918753632848
ACH-000137,-0.036917738081666665
ACH-000138,-0.08858927109610129
ACH-000142,-0.12123273061736135
ACH-000143,-0.1972859365729692
ACH-000146,-0.1894323266085543
ACH-000148,-0.14193441259681616
ACH-000150,-0.09837955685306007
ACH-000152,-0.14633065911627072
ACH-000153,-0.1461624069302005
ACH-000159,-0.23579287981713484
ACH-000160,-0.2220275808476297
ACH-000163,-0.05407202958659645
ACH-000167,-0.4323547906954228
ACH-000168,-0.10373598686887248
