,CRIPAK (285464)
ACH-000004,0.09277770079065377
ACH-000005,0.19281780773704174
ACH-000007,0.04360800149281579
ACH-000009,0.008541502035217986
ACH-000011,-0.12984118549540044
ACH-000012,-0.017726487198503033
ACH-000013,0.05263698670020755
ACH-000014,-0.08313435878889057
ACH-000015,-0.07718341473210243
ACH-000017,-0.01672373818221159
ACH-000018,-0.0583463610527267
ACH-000019,0.003643134971775419
ACH-000021,-0.133753857754231
ACH-000022,-0.15510167387169635
ACH-000025,-0.06350670258819989
ACH-000028,0.020964445622407037
ACH-000030,-0.0700489171719459
ACH-000035,0.11638091580055167
ACH-000036,-0.1966814994008676
ACH-000037,0.0867250702873196
ACH-000039,-0.026042680783005718
ACH-000040,-0.17025577906047215
ACH-000041,-0.02373132045056765
ACH-000042,-0.09115137417784508
ACH-000045,-0.13833494774980884
ACH-000047,-0.013823772405083331
ACH-000052,-0.19179447647631004
ACH-000053,0.01211896418112582
ACH-000054,-0.08575872777232445
ACH-000055,0.07568600174215713
ACH-000060,-0.08019902318053147
ACH-000067,-0.15320778621980566
ACH-000070,-0.03215764023236181
ACH-000075,-0.1234633936853395
ACH-000078,-0.2281835870389409
ACH-000082,0.20036567044172374
ACH-000085,-0.1370454405876566
ACH-000086,-0.032394042692262884
ACH-000087,-0.11609417371264427
ACH-000092,0.1024960661891872
ACH-000095,-0.13448963543934858
ACH-000097,-0.07616814932046596
ACH-000098,-0.008835443031363728
ACH-000099,-0.2727429564349507
ACH-000108,-0.1501849882979151
ACH-000113,-0.1062317642466606
ACH-000116,-0.10413011295129672
ACH-000118,-0.025111859838817512
ACH-000120,0.002287129453518917
ACH-000123,0.00043538729846682035
ACH-000127,0.022966527803585646
ACH-000128,-0.06381457177493276
ACH-000132,-0.07412194795953679
ACH-000133,-0.024795700549614136
ACH-000137,0.02055550518661362
ACH-000138,-0.04879229941048132
ACH-000142,-0.2056718314178598
ACH-000143,-0.1171023078500375
ACH-000146,-0.007349893941360852
ACH-000148,-0.038147274133118365
ACH-000150,-0.12385256150264053
ACH-000152,-0.08802042029809505
ACH-000153,-0.16163537875495415
ACH-000159,0.016796812611259943
ACH-000160,-0.03988876519091596
ACH-000163,-0.07387823931978417
ACH-000167,0.2789414971010677
ACH-000168,-0.023782185583665617
ACH-000169,0.07618418590865463
ACH-000178,-0.15842646764049295
ACH-000183,-0.18675731998079895
ACH-000188,0.06244683299602286
ACH-000189,-0.2242783017802916
ACH-000190,-0.06641782371520527
ACH-000198,-0.006446745505697379
ACH-000203,0.3253326081429666
ACH-000204,-0.16515463161585078
