,TMA16 (55319)
ACH-000004,-0.8333534407311253
ACH-000005,-1.0033903044273658
ACH-000007,-0.7239765168077389
ACH-000009,-0.8372630416701665
ACH-000011,-0.8372140211681454
ACH-000012,-0.9323758139751482
ACH-000013,-0.7898876160968225
ACH-000014,-0.8763755273505557
ACH-000015,-0.9404151471412884
ACH-000017,-0.7122345179933782
ACH-000018,-0.8465203896709319
ACH-000019,-0.6581400734933138
ACH-000021,-0.8238392415889508
ACH-000022,-0.719533074443831
ACH-000025,-0.8684650567026228
ACH-000028,-0.8471024706718425
ACH-000030,-0.7919066972543645
ACH-000035,-0.814195019671471
ACH-000036,-0.939768914765225
ACH-000037,-0.4780626963579143
ACH-000039,-0.7939595036190221
ACH-000040,-0.9881667295480064
ACH-000041,-0.7723120260098348
ACH-000042,-0.8585578922702019
ACH-000045,-0.6735308135275865
ACH-000047,-0.8918358239595604
ACH-000052,-0.7169374255207013
ACH-000053,-0.8172754813371411
ACH-000054,-1.1164395940019802
ACH-000055,-0.8355325149009645
ACH-000060,-0.8554072696685102
ACH-000067,-0.7486945107589871
ACH-000070,-0.6458995926399757
ACH-000075,-0.995489682584853
ACH-000078,-0.9320788228490804
ACH-000082,-0.6800941313905137
ACH-000085,-0.7649352656055693
ACH-000086,-0.9903304188425918
ACH-000087,-1.0330275688756996
ACH-000092,-1.0577123264641106
ACH-000095,-0.9697752067212132
ACH-000097,-0.7854592985442852
ACH-000098,-1.0864421462102585
ACH-000099,-1.0026498396521435
ACH-000108,-0.9551494847261356
ACH-000113,-0.7448798219953576
ACH-000116,-0.7503216878723149
ACH-000118,-0.8574737433029073
ACH-000120,-0.8211486901006924
ACH-000123,-0.7518168489858251
ACH-000127,-0.9222571434266034
ACH-000128,-0.8218176194662902
ACH-000132,-0.95935103639262
ACH-000133,-0.9059949914098968
ACH-000137,-0.7955410960851084
ACH-000138,-0.7851274160769623
ACH-000142,-0.9932505100315068
ACH-000143,-0.7911363051088678
ACH-000146,-0.7182359749182977
ACH-000148,-0.8553824704527131
ACH-000150,-0.9996603500728138
ACH-000152,-1.0740194939355785
ACH-000153,-0.988889162233638
ACH-000159,-0.9767710665771978
ACH-000160,-0.8738895024286405
ACH-000163,-0.8455915558719959
ACH-000167,-1.1660345421777136
ACH-000168,-0.9449712664824058
ACH-000169,-0.7591301211837577
ACH-000178,-0.8101207615139108
ACH-000183,-0.6679864139076156
ACH-000188,-0.8167973437715859
ACH-000189,-1.0788013710416873
ACH-000190,-1.060804628709802
ACH-000198,-0.6760168368977761
ACH-000203,-1.1632550901663992
ACH-000204,-0.7350270239610376
ACH-000206,-0.7562806909335958
ACH-000207,-0.8156050012128397
ACH-000208,-0.9881900149972088
ACH-000210,-0.609027218043292
ACH-000211,-0.8749632847901845
ACH-000215,-0.9011917515530928
ACH-000221,-0.8467929336497492
ACH-000222,-0.7506416304869284
ACH-000223,-0.7405098586462895
ACH-000226,-0.8260310565480801
ACH-000227,-0.6889650162183008
ACH-000228,-0.887020579357627
ACH-000231,-1.1070889002888538
ACH-000232,-0.9377731787541508
ACH-000233,-0.6786796462647762
ACH-000234,-0.8132141888698216
ACH-000235,-0.8537897233734002
ACH-000237,-0.9937182097420107
ACH-000238,-0.9226848132417059
ACH-000242,-0.8249039576304689
ACH-000243,-0.7089838096251936
ACH-000244,-0.8415630596703912
ACH-000246,-0.9143243411116766
ACH-000248,-0.6206560800819386
ACH-000250,-0.8456588621356887
