,ARPC5L (81873)
ACH-000004,0.061553890331927076
ACH-000005,-0.08706583508695029
ACH-000007,-0.053166138001435534
ACH-000009,-0.07501051367733941
ACH-000011,-0.0545570824872174
ACH-000012,0.015203206250094888
ACH-000013,-0.011936223059349993
ACH-000014,-0.0886261635357148
ACH-000015,-0.14909506106912127
ACH-000017,-0.2015793964733622
ACH-000018,-0.13177301177927198
ACH-000019,-0.000975783549222176
ACH-000021,-0.04890295127920875
ACH-000022,-0.055817704513535016
ACH-000025,-0.0986786825852709
ACH-000028,0.02124129402754251
ACH-000030,-0.1061607219903598
ACH-000035,-0.050380951853206735
ACH-000036,-0.1336847246242993
ACH-000037,-0.06844327165732897
ACH-000039,-0.1033812124136109
ACH-000040,-0.03029533182904448
ACH-000041,-0.13677751829795806
ACH-000042,-0.06882160418587524
ACH-000045,-0.06231360081447504
ACH-000047,-0.15087747562540352
ACH-000052,0.06753526632789922
ACH-000053,-0.05732256307533209
ACH-000054,-0.04376176941183218
ACH-000055,0.14930232073730312
ACH-000060,-0.11736066945169632
ACH-000067,-0.01911833673530921
ACH-000070,-0.11926708791666595
ACH-000075,-0.12789853468446102
ACH-000078,-0.182508848893823
ACH-000082,-0.17630464574922153
ACH-000085,-0.0298694225370768
ACH-000086,0.010756122219603934
ACH-000087,-0.3333135757986547
ACH-000092,-0.019757154424432717
ACH-000095,-0.11729624374800175
ACH-000097,-0.045490440402018564
ACH-000098,-0.04692970706829559
ACH-000099,-0.0410351683821323
ACH-000108,-0.007091902284976877
ACH-000113,-0.17447389628743112
ACH-000116,-0.07108041415034752
ACH-000118,-0.09672171943237767
ACH-000120,-0.017222249895068424
ACH-000123,-0.1011662931330829
ACH-000127,-0.022075131028778748
ACH-000128,-0.07300693874525004
ACH-000132,-0.12031989404354468
ACH-000133,-0.15677014570112865
ACH-000137,-0.00017309062604845118
ACH-000138,-0.0007681108089771602
ACH-000142,-0.10919080804713592
ACH-000143,-0.07409805012857365
ACH-000146,-0.06330976124593078
ACH-000148,-0.01667695469303069
ACH-000150,-0.01664671937797089
ACH-000152,0.0035382177354864384
ACH-000153,-0.0186271147685134
ACH-000159,-0.12256327718185445
ACH-000160,0.039124325425513605
ACH-000163,0.010710247522465192
ACH-000167,-0.0007873400012632602
ACH-000168,-0.020006467474836143
ACH-000169,0.01895749446604179
ACH-000178,0.06990876581569154
ACH-000183,-0.17560700538403384
ACH-000188,0.09335244832408578
ACH-000189,-0.1043572416591546
ACH-000190,-0.05799192871738375
ACH-000198,-0.10989822829077717
ACH-000203,-0.1862754756559036
