,PCID2 (55795)
ACH-000004,-0.6845539318901858
ACH-000005,-0.9871370092865246
ACH-000007,-0.7083136433398921
ACH-000009,-0.7727303874364236
ACH-000011,-0.7243405172650282
ACH-000012,-0.9342052896058056
ACH-000013,-0.9499907144317012
ACH-000014,-0.6157978268591524
ACH-000015,-0.9864540554648956
ACH-000017,-0.799517903986571
ACH-000018,-0.8884980857605863
ACH-000019,-0.7724888155390162
ACH-000021,-0.6478193992178828
ACH-000022,-0.7739057062894973
ACH-000025,-0.8388773787186936
ACH-000028,-0.8362056201412619
ACH-000030,-0.7878275496847149
ACH-000035,-1.0095712862291546
ACH-000036,-0.6327537912874022
ACH-000037,-0.5054819931242726
ACH-000039,-0.8589777841530263
ACH-000040,-0.8928281639383447
ACH-000041,-0.8453653202871415
ACH-000042,-0.8822268416565597
ACH-000045,-0.6356135074984389
ACH-000047,-0.8321972957249889
ACH-000052,-1.2607111367021857
ACH-000053,-0.6041819180451833
ACH-000054,-0.7500051447585545
ACH-000055,-0.5913920419691571
ACH-000060,-0.9640168869413216
ACH-000067,-0.7318831283261644
ACH-000070,-0.515387915893605
ACH-000075,-0.6959183746177267
ACH-000078,-0.5645483321389962
ACH-000082,-0.8268670159267869
ACH-000085,-0.64062610863922
ACH-000086,-1.0166598847305144
ACH-000087,-0.9102048440879348
ACH-000092,-0.7810271658248781
ACH-000095,-0.7693466739754433
ACH-000097,-0.95089273677392
ACH-000098,-0.8942811482967966
ACH-000099,-0.6879873776686792
ACH-000108,-0.7501414294659879
ACH-000113,-0.742230584739472
ACH-000116,-0.9119377222655368
ACH-000118,-0.7929529891932502
ACH-000120,-0.6695206634105489
ACH-000123,-0.7708966908902009
ACH-000127,-0.8436143255786973
ACH-000128,-0.8171298409760352
ACH-000132,-1.072013280921999
ACH-000133,-0.7069073045018012
ACH-000137,-0.6735987602224873
ACH-000138,-0.9540421683884482
ACH-000142,-0.7651635947775285
ACH-000143,-0.9491412804528984
ACH-000146,-0.8038762608036489
ACH-000148,-0.8736289986780389
ACH-000150,-1.0662947826332778
ACH-000152,-0.999628719117805
ACH-000153,-0.6275737949700531
ACH-000159,-0.7388819403899579
ACH-000160,-0.777859189581521
ACH-000163,-0.8990830729766103
ACH-000167,-0.8179098088498264
ACH-000168,-0.7381005635718318
ACH-000169,-1.082609441055594
ACH-000178,-0.8001022494341247
ACH-000183,-0.6782741730722657
ACH-000188,-0.7282898523280651
ACH-000189,-0.7357480144144802
ACH-000190,-0.9173310049904608
ACH-000198,-0.8969868770698162
ACH-000203,-0.7576268481578683
ACH-000204,-0.5381516865934839
ACH-000206,-0.9581862688313549
ACH-000207,-0.7841025057170937
ACH-000208,-1.1678088455869924
ACH-000210,-0.9354815682206018
ACH-000211,-0.8457735323116671
ACH-000215,-0.9496776606110748
ACH-000221,-0.8408657588804215
ACH-000222,-0.9302923709768212
ACH-000223,-0.8209777522193341
ACH-000226,-0.6932632161040546
ACH-000227,-0.6821765761261596
ACH-000228,-0.7741521525785638
