,MOB3A (126308)
ACH-000004,-0.07924579894111508
ACH-000005,-0.03192281194206173
ACH-000007,-0.07226980398932432
ACH-000009,0.05398968199220533
ACH-000011,-0.016272482096880026
ACH-000012,-0.006925733932922972
ACH-000013,-0.04254857626777983
ACH-000014,0.02088004127647941
ACH-000015,-0.06583166587355549
ACH-000017,-0.243469256621976
ACH-000018,-0.1697228922862891
ACH-000019,0.058312988109510834
ACH-000021,-0.07578056301685128
ACH-000022,-0.06906152298620638
ACH-000025,-0.11025527695976553
ACH-000028,-0.03627116239434039
ACH-000030,0.010900229598862506
ACH-000035,-0.08079512603095768
ACH-000036,-0.20818216008821128
ACH-000037,0.07496975115312228
ACH-000039,0.06313326764693819
ACH-000040,-0.16245295655663472
ACH-000041,-0.13141100644550865
ACH-000042,0.032193524290704954
ACH-000045,-0.10971059980461667
ACH-000047,-0.08568025620767672
ACH-000052,-0.12746136082944667
ACH-000053,0.0357997059741709
ACH-000054,-0.017673155188955368
ACH-000055,0.0008686599958235448
ACH-000060,0.12041110747363057
ACH-000067,-0.05773524850727666
ACH-000070,0.011694046166351344
ACH-000075,-0.05532932483513794
ACH-000078,-0.08707561375520638
ACH-000082,0.01639743026979287
ACH-000085,0.04131505020135225
ACH-000086,-0.0684931095614402
ACH-000087,0.05799728427657914
ACH-000092,-0.02409213894895217
ACH-000095,-0.13733502627790767
ACH-000097,-0.09090769183569004
ACH-000098,-0.22492370225293845
ACH-000099,-0.08193078222934062
ACH-000108,-0.03184613178335848
ACH-000113,-0.06664193417053366
ACH-000116,-0.07853859659393375
ACH-000118,0.009864056236296343
ACH-000120,-0.07333295298900917
ACH-000123,0.023430353042880426
ACH-000127,-0.2356153087665812
ACH-000128,-0.05862513159059338
ACH-000132,-0.01778111217613126
ACH-000133,-0.056037964416925885
ACH-000137,-0.07598217685684718
ACH-000138,-0.027501225222923288
ACH-000142,-0.13623873407367446
ACH-000143,-0.1975460649089404
ACH-000146,-0.05957177796287401
ACH-000148,-0.0339412782809083
ACH-000150,-0.2286606185778954
ACH-000152,0.0338753467357172
ACH-000153,-0.022193609547335808
ACH-000159,-0.1556924368894226
ACH-000160,-0.0738088326591279
ACH-000163,-0.15434091060750707
ACH-000167,0.04943289196666919
ACH-000168,-0.09116914534035593
ACH-000169,-0.09739555142191794
ACH-000178,-0.04043226377919662
ACH-000183,-0.05355254338936813
ACH-000188,-0.020837891744505475
ACH-000189,-0.14521496268777515
ACH-000190,-0.0658804860759162
ACH-000198,-0.05664810709255689
ACH-000203,-0.1471134676513612
ACH-000204,-0.19611739765852496
ACH-000206,-0.13298491366126766
ACH-000207,0.07173977419998692
ACH-000208,-0.10880335417618868
ACH-000210,-0.04183829414243959
ACH-000211,-0.07977019055696936
ACH-000215,0.04968192989274238
ACH-000221,-0.14367785763869104
ACH-000222,-0.039838633521204335
ACH-000223,-0.0596124591321544
ACH-000226,0.023596172205010105
ACH-000227,0.02491867032461061
ACH-000228,0.11283825201087293
ACH-000231,-0.024074488700973517
ACH-000232,0.007899118546699741
ACH-000233,-0.03539779534785455
ACH-000234,-0.1797217776026438
ACH-000235,-0.1861825715471629
ACH-000237,-0.07689107996622965
ACH-000238,-0.1035741950136057
ACH-000242,-0.036409073358700375
ACH-000243,0.1309328015668643
ACH-000244,0.035386047477940615
ACH-000246,-0.08633252343305578
ACH-000248,-0.17296176665171267
ACH-000250,-0.016499655636527555
ACH-000251,-0.17655098677379932
ACH-000252,0.01827764832795956
ACH-000253,-0.06319707985604116
ACH-000255,-0.07714378728992456
ACH-000256,0.04909786927643352
ACH-000257,-0.12363509777515926
ACH-000258,-0.045477046217752184
ACH-000259,-0.12655245515772026
ACH-000260,-0.1032418407612479
ACH-000261,-0.10900862105531432
ACH-000262,0.02819716998084242
ACH-000263,-0.2671442646891323
ACH-000264,-0.01782151058033909
ACH-000265,-0.031089298595792958
ACH-000266,-0.0544132082788694
ACH-000272,-0.07386020222280115
ACH-000274,-0.10261301612130146
ACH-000277,-0.06501214767972507
ACH-000278,0.09655262171600247
ACH-000279,-0.01459094481617961
ACH-000280,-0.10518086477626358
ACH-000281,-0.009649734814248412
ACH-000288,-0.08798864628173657
ACH-000291,-0.07665165360921407
ACH-000293,-0.06157897509616761
ACH-000294,-0.09626916335494952
ACH-000295,0.0767767295407745
ACH-000296,-0.08301928691560945
ACH-000302,-0.08406057535491171
ACH-000304,-0.057857918848531524
ACH-000307,-0.030520192954984718
ACH-000308,-0.10197416545591467
ACH-000310,-0.15165748989024122
ACH-000311,-0.0935821355825643
ACH-000312,-0.14306079321753926
ACH-000315,-0.14856819400931634
ACH-000316,0.015128897905471056
ACH-000317,0.0935342718887611
ACH-000318,0.06425091198254274
ACH-000319,-0.07398537857875878
ACH-000320,-0.009898138841589105
ACH-000322,0.09954081472796736
ACH-000323,0.0222950469947905
ACH-000324,-0.06660154038318912
ACH-000329,0.02007755072954739
ACH-000330,-0.08858114617122435
ACH-000331,0.10476297502808453
ACH-000332,0.02448651061186239
ACH-000334,-0.26413461076247857
ACH-000335,-0.1357025099128008
ACH-000336,-0.1317896432620496
ACH-000337,-0.15046870403180326
ACH-000338,0.3440458488511527
ACH-000339,-0.10794991750775644
ACH-000341,-0.2705722633005138
ACH-000348,-0.050741269476550416
ACH-000350,-0.18853162098425236
ACH-000352,0.03089131861627455
ACH-000356,-0.0038624232856950057
ACH-000361,0.06585343613726194
ACH-000362,-0.18098674307070947
ACH-000363,-0.10846051640696086
ACH-000364,-0.11600486515477453
ACH-000365,-0.12589067921037098
ACH-000366,-0.1729969788461918
ACH-000368,-0.10704269091542484
ACH-000374,0.14572319496203945
ACH-000375,-0.3253252947049051
ACH-000376,0.0256084990208038
ACH-000381,-0.015924397567494617
ACH-000383,-0.10250861507950286
ACH-000387,0.07328700827834267
