,SULT6B1 (391365)
ACH-000004,-0.21851343586745056
ACH-000005,-0.13388473449198646
ACH-000007,0.06241668673638812
ACH-000009,-0.1732978051796015
ACH-000011,-0.0020652750288994034
ACH-000012,-0.2272981955225926
ACH-000013,-0.2632297739454627
ACH-000014,-0.1226139649790226
ACH-000015,-0.15020871562821758
ACH-000017,-0.1988207640351128
ACH-000018,-0.1783709926279682
ACH-000019,-0.2564445331471226
ACH-000021,-0.22279225309789494
ACH-000022,-0.18245153283890303
ACH-000025,-0.2516234451122298
ACH-000028,-0.17255421540282914
ACH-000030,-0.2748373085388837
ACH-000035,-0.14413179745492286
ACH-000036,-0.3703069784078153
ACH-000037,-0.316308273168913
ACH-000039,-0.12422767662014728
ACH-000040,-0.20479602857288165
ACH-000041,-0.1769364381846642
ACH-000042,-0.3075402313602713
ACH-000045,-0.2798809130196977
ACH-000047,-0.0890118114652825
ACH-000052,-0.3950888548865261
ACH-000053,-0.31683339282304723
ACH-000054,-0.31622940745667305
ACH-000055,-0.15926904474444345
ACH-000060,-0.2868432138410381
ACH-000067,-0.3483936317346921
ACH-000070,-0.1715246445288445
ACH-000075,-0.10117565848148982
ACH-000078,-0.3043996736116163
ACH-000082,-0.1684134851598336
ACH-000085,-0.2323305962641723
ACH-000086,-0.3427010101606139
ACH-000087,-0.30351800098088594
ACH-000092,-0.4262418118448181
ACH-000095,-0.1810013003266889
ACH-000097,-0.2431841444302199
ACH-000098,-0.2352548227994641
ACH-000099,-0.2447971903404215
ACH-000108,-0.2828269287565273
ACH-000113,-0.1910619600853201
ACH-000116,-0.16902855873037814
ACH-000118,-0.2285470034268274
ACH-000120,-0.2718807039293479
ACH-000123,-0.19164978695057705
ACH-000127,-0.17186795813555386
ACH-000128,-0.17913960796097986
ACH-000132,-0.24186970617538656
ACH-000133,-0.35141902637087225
ACH-000137,-0.2837278509169309
ACH-000138,-0.2715332736206981
ACH-000142,-0.3678475016115113
ACH-000143,-0.19933635840149186
ACH-000146,-0.21919217527743332
ACH-000148,-0.3000367428041145
ACH-000150,-0.1032374418894684
ACH-000152,-0.2661386983138575
ACH-000153,-0.14596988656935164
ACH-000159,-0.16457155450565214
ACH-000160,-0.2922991004604256
ACH-000163,-0.3022996049713616
ACH-000167,-0.6060689222223223
ACH-000168,-0.3533754660036629
ACH-000169,-0.25934959103353017
ACH-000178,-0.16179224762913835
ACH-000183,-0.3082739688665841
ACH-000188,-0.0832209112866406
ACH-000189,-0.2164043939710183
ACH-000190,-0.3339329825390143
ACH-000198,-0.3258502743265813
ACH-000203,-0.3435445421703925
ACH-000204,-0.05870664808172375
ACH-000206,-0.2262220807603429
ACH-000207,-0.2632156523447709
ACH-000208,-0.2301435168633415
