,SSRP1 (6749)
ACH-000004,-1.084852915419196
ACH-000005,-1.1642092529044838
ACH-000007,-0.8878023743949133
ACH-000009,-0.991781614218096
ACH-000011,-1.3281127022753427
ACH-000012,-1.0165622484459562
ACH-000013,-0.9782610385842864
ACH-000014,-0.9482011968538914
ACH-000015,-0.7141895310660744
ACH-000017,-0.9377882248379702
ACH-000018,-0.9050606847230012
ACH-000019,-1.1288343468892073
ACH-000021,-0.9953803090427996
ACH-000022,-0.7248804394059325
ACH-000025,-1.1414947753112352
ACH-000028,-1.010224145052506
ACH-000030,-0.910739465877437
ACH-000035,-0.9603915556157754
ACH-000036,-1.2076527412264555
ACH-000037,-0.6522325170975916
ACH-000039,-1.0395727514358348
ACH-000040,-1.0140589376556859
ACH-000041,-0.7885207767954999
ACH-000042,-0.8977734407343098
ACH-000045,-0.7607180091905498
ACH-000047,-1.025652494813785
ACH-000052,-0.9955799596795774
ACH-000053,-0.8553295034052685
ACH-000054,-1.1135887737726304
ACH-000055,-1.1051407163137112
ACH-000060,-0.933134146669468
ACH-000067,-1.0800544741331048
ACH-000070,-1.0472451605498496
ACH-000075,-0.9561867008940446
ACH-000078,-1.0892883943991518
ACH-000082,-0.9270811837283816
ACH-000085,-1.0211043491311458
ACH-000086,-1.0255339746273953
ACH-000087,-0.84407905053746
ACH-000092,-1.1558215888256147
ACH-000095,-1.1281906159695283
ACH-000097,-1.2144263377039561
ACH-000098,-1.0718049155715683
ACH-000099,-1.1426538401125368
ACH-000108,-1.0171258606027225
ACH-000113,-1.0204962835972715
ACH-000116,-0.8921051911801787
ACH-000118,-0.9026639396046808
ACH-000120,-1.0955830289570316
ACH-000123,-1.1015870320041177
ACH-000127,-0.9556528038645709
ACH-000128,-0.9350443824693976
ACH-000132,-1.1577717546375512
ACH-000133,-1.005659901401962
ACH-000137,-0.9943415669858756
ACH-000138,-0.9588584541193635
ACH-000142,-0.9127944142878108
ACH-000143,-0.9274590417643566
ACH-000146,-0.9435487924972752
ACH-000148,-1.0082531804149848
ACH-000150,-1.12478210285867
ACH-000152,-0.917345774950397
ACH-000153,-0.9730743995473538
ACH-000159,-1.1267764511623222
ACH-000160,-0.7530080941681873
ACH-000163,-0.9596874573578594
ACH-000167,-1.1480669837647524
ACH-000168,-0.995238589688118
ACH-000169,-1.0820384220917099
ACH-000178,-0.9832803187005552
ACH-000183,-1.0366277292220958
ACH-000188,-1.0377924818063726
ACH-000189,-1.282183357129718
ACH-000190,-0.6278382787456503
ACH-000198,-1.0774265686100963
ACH-000203,-0.7877685487851794
ACH-000204,-1.2183551882961379
ACH-000206,-1.2306023365978498
