,CYP4X1 (260293)
ACH-000004,-0.03431846700859451
ACH-000005,-0.13713916398517634
ACH-000007,-0.19144424635479487
ACH-000009,-0.26622812809299873
ACH-000011,-0.1060320749401512
ACH-000012,-0.20343127559276525
ACH-000013,-0.11056036199098336
ACH-000014,-0.07484648725241845
ACH-000015,-0.1476760306435679
ACH-000017,-0.11100129521802314
ACH-000018,0.23385771166305466
ACH-000019,-0.2711676576666536
ACH-000021,-0.06680139092579122
ACH-000022,-0.06351334927228472
ACH-000025,-0.02917964354257901
ACH-000028,-0.17513997940442566
ACH-000030,-0.10897994573147612
ACH-000035,-0.0836002981428019
ACH-000036,0.019393440921940102
ACH-000037,-0.18254588376851932
ACH-000039,0.031230802464026482
ACH-000040,-0.2801026557437059
ACH-000041,-0.0894975988544535
ACH-000042,0.018498406294585424
ACH-000045,-0.16847409674958705
ACH-000047,-0.0026743745939561423
ACH-000052,-0.12975342928768396
ACH-000053,-0.08434674146754173
ACH-000054,-0.22826973568754205
ACH-000055,-0.2460119190376783
ACH-000060,-0.09498741155560024
ACH-000067,-0.17110236228251846
ACH-000070,-0.09860533581415698
ACH-000075,-0.02777892151158305
ACH-000078,-0.0622400414384965
ACH-000082,-0.09452249886256593
ACH-000085,0.031082259470421945
ACH-000086,-0.10682788387033668
ACH-000087,-0.18615078253085002
ACH-000092,-0.09276921557645652
ACH-000095,-0.07616865937241431
ACH-000097,-0.04564167062771845
ACH-000098,-0.07012643043763461
ACH-000099,-0.10407549640947043
ACH-000108,-0.15083451723856992
ACH-000113,-0.08221595723191666
ACH-000116,-0.11379578328487795
ACH-000118,-0.15872218510871214
ACH-000120,-0.019811759481016687
ACH-000123,-0.036944761425167824
ACH-000127,-0.07845001339519801
ACH-000128,-0.11087508544734624
ACH-000132,-0.17812786489761914
ACH-000133,-0.0848580328345279
ACH-000137,-0.18852461684368071
ACH-000138,-0.0616713947935087
ACH-000142,-0.13491624594354734
ACH-000143,-0.11868046853123387
ACH-000146,-0.051150629323506065
ACH-000148,-0.12319308213399695
ACH-000150,-0.3318579419338678
ACH-000152,-0.07747225170776036
ACH-000153,0.1713570712098096
ACH-000159,-0.07504104522986682
ACH-000160,0.07543350065204538
ACH-000163,-0.1809441973901444
ACH-000167,0.29922744212040137
ACH-000168,-0.1416761874629719
ACH-000169,-0.15141769933073462
ACH-000178,-0.04615001642849249
ACH-000183,-0.06077262406644554
ACH-000188,-0.15157755869014644
ACH-000189,-0.024750369070638836
ACH-000190,-0.31325288213467023
ACH-000198,-0.06542305511691282
ACH-000203,-0.4456244764755932
ACH-000204,-0.24512572972109145
ACH-000206,0.01694376328495211
ACH-000207,-0.11397946587155812
ACH-000208,-0.3752426674336151
ACH-000210,0.0910101943994854
ACH-000211,-0.005433768353763889
ACH-000215,-0.11575288842613075
ACH-000221,-0.1078324318767297
ACH-000222,-0.03965881098757133
ACH-000223,-0.00930475602163857
ACH-000226,-0.17715444950727832
ACH-000227,-0.11573751603558742
ACH-000228,-0.13198765770149604
ACH-000231,-0.07819873470387809
ACH-000232,-0.07098730295734572
ACH-000233,-0.15390697214481505
ACH-000234,-0.03773479220636667
ACH-000235,-0.10457181794309348
ACH-000237,-0.07393110027747571
ACH-000238,-0.09481207985155954
ACH-000242,-0.3540303450278304
ACH-000243,-0.033956407600342436
ACH-000244,0.10897772160120832
ACH-000246,-0.16923155371804965
ACH-000248,-0.05755630703489899
ACH-000250,-0.07434594152975912
ACH-000251,-0.29023910872973385
ACH-000252,-0.14351736097859952
ACH-000253,-0.07073599511500395
ACH-000255,-0.20217168168142596
ACH-000256,-0.031600918846801884
ACH-000257,-0.2953976231174065
ACH-000258,-0.0764953291004176
ACH-000259,-0.09329265570382916
ACH-000260,-0.1605060248503973
ACH-000261,-0.08387675760817669
ACH-000262,-0.2549308366563375
ACH-000263,-0.16701269071185812
ACH-000264,-0.07351210397503438
ACH-000265,-0.014184263152349441
ACH-000266,0.01118817641137237
ACH-000272,-0.20848893282161227
ACH-000274,-0.1314261681558764
ACH-000277,-0.06295331855377942
ACH-000278,-0.24533802409357935
ACH-000279,-0.1243311544506964
ACH-000280,0.02862988173124825
ACH-000281,0.03332731509162468
ACH-000288,-0.19191981020102214
ACH-000291,-0.06396030597984298
ACH-000293,0.047009133047629915
ACH-000294,-0.13208887199366295
ACH-000295,0.05219395998126125
ACH-000296,-0.12078677089616102
ACH-000302,-0.14007593617841926
ACH-000304,-0.18755451701123912
ACH-000307,-0.14632398249804202
ACH-000308,-0.09287995996456512
ACH-000310,-0.007247483920480969
ACH-000311,-0.1674363065738345
ACH-000312,-0.11527866208475852
ACH-000315,-0.10896238746091856
ACH-000316,-0.01540608366692474
ACH-000317,-0.29616410967164103
ACH-000318,-0.04307665059369275
ACH-000319,-0.037640639319771074
ACH-000320,-0.12649356975073756
ACH-000322,-0.16295940747664928
ACH-000323,-0.1403394296709307
ACH-000324,-0.08057617553396572
ACH-000329,-0.13193832313671278
ACH-000330,-0.218077133703672
ACH-000331,-0.07175850581548328
ACH-000332,-0.1134555708868846
ACH-000334,-0.10726772305682332
ACH-000335,-0.16762016860643245
ACH-000336,0.1256047003771513
ACH-000337,0.03894160882588996
ACH-000338,0.2595354813175416
ACH-000339,-0.03577536847189084
ACH-000341,0.04039980948013058
ACH-000348,-0.09101046618879607
ACH-000350,-0.10086035579743688
ACH-000352,-0.09945205609351658
ACH-000356,0.0013650470306116025
ACH-000361,-0.27211712175017605
ACH-000362,-0.06076610811904616
ACH-000363,-0.02875168657079407
ACH-000364,-0.25272881073000925
ACH-000365,0.02481419397255407
ACH-000366,-0.03584540983494477
ACH-000368,-0.0575568505291406
ACH-000374,-0.04581243951538228
ACH-000375,-0.16612907184120734
ACH-000376,-0.11335458558983795
ACH-000381,-0.10958014935437636
ACH-000383,-0.18978472544527644
ACH-000387,-0.07630061751948666
ACH-000389,-0.15139079928030594
ACH-000390,-0.042479237722174164
ACH-000393,-0.021815790676301492
ACH-000395,-0.13798087419719876
ACH-000396,-0.1614778531043162
ACH-000397,-0.12949056044666074
ACH-000401,-0.20682473527075015
ACH-000402,0.14628741109035862
ACH-000403,-0.15205085715745903
ACH-000404,-0.2076062289763887
ACH-000406,-0.09320972429676036
ACH-000407,-0.1628909125077603
ACH-000408,0.03121162128653438
ACH-000410,-0.08165917559515665
ACH-000411,-0.283272794304237
ACH-000414,-0.07188229441806984
ACH-000415,-0.015062651396062731
ACH-000416,-0.030809213190166367
ACH-000420,-0.13300954036856516
ACH-000421,-0.07079632147094031
ACH-000424,-0.2037326611848747
ACH-000425,-0.06742597842597421
ACH-000426,0.039679287509038166
ACH-000427,-0.04115999044603799
ACH-000433,-0.1007199131342164
ACH-000435,0.23759256657951885
ACH-000436,-0.054690939382173516
ACH-000444,0.004270552681604443
ACH-000445,-0.1937766777629096
ACH-000448,-0.17687402220916426
ACH-000450,-0.03892258932248215
ACH-000452,-0.022281199564584544
ACH-000454,-0.1709677435953147
ACH-000458,-0.17993104477344904
ACH-000459,-0.254850702043456
ACH-000460,0.0178176273100855
ACH-000461,-0.07540176664234265
ACH-000463,-0.10507246986290428
ACH-000464,0.07032913798957995
ACH-000466,-0.10692241084822236
ACH-000467,-0.1114620490862007
ACH-000468,-0.06448724406904957
ACH-000469,-0.08733705582382936
ACH-000470,0.2266638144814704
ACH-000471,-0.15298774351943506
ACH-000472,0.024198321253081842
ACH-000473,-0.14894833067303953
ACH-000475,-0.16818544648723655
ACH-000476,-0.10171483253353766
ACH-000477,-0.08843631307038517
ACH-000479,-0.07250743393459368
ACH-000480,-0.17415593588613745
ACH-000481,-0.13512680618575154
