,RBPJL (11317)
ACH-000004,-0.040275715727548206
ACH-000005,-0.07755071866869431
ACH-000007,-0.15642307194902652
ACH-000009,-0.10368260582742923
ACH-000011,-0.13879124900151324
ACH-000012,-0.02357223029017641
ACH-000013,-0.032246773980552285
ACH-000014,-0.2253674282392508
ACH-000015,-0.05240800680469127
ACH-000017,-0.21769804767577164
ACH-000018,-0.1673954794032716
ACH-000019,-0.28870313352396465
ACH-000021,-0.14286783928217586
ACH-000022,-0.03742204300483419
ACH-000025,-0.2193656071411401
ACH-000028,-0.05350530826465192
ACH-000030,-0.22069425203755186
ACH-000035,-0.150182403942447
ACH-000036,-0.054881293832830975
ACH-000037,0.00576455628709362
ACH-000039,0.03420750202960069
ACH-000040,-0.05337190169498288
ACH-000041,0.03614144521313479
ACH-000042,-0.20349998871410968
ACH-000045,-0.01808253128083348
ACH-000047,-0.3234931363564431
ACH-000052,-0.11147318190443438
ACH-000053,-0.07948485678306977
ACH-000054,-0.06009616694113697
ACH-000055,-0.27783152933291033
ACH-000060,-0.27040372932574136
ACH-000067,-0.16755555724100354
ACH-000070,0.0380391905235133
ACH-000075,-0.2332361290405473
ACH-000078,-0.08423164258563233
ACH-000082,-0.2784661663641801
ACH-000085,-0.3617228171168029
ACH-000086,-0.15094934958667458
ACH-000087,-0.09279199311196484
ACH-000092,-0.21969520178351215
ACH-000095,-0.07030627373648947
ACH-000097,-0.18583176916877145
ACH-000098,-0.09982649440800356
ACH-000099,-0.054024129893514905
ACH-000108,-0.06644893065251514
ACH-000113,-0.1452269690053554
ACH-000116,-0.07204005258387912
ACH-000118,-0.2107315108499377
ACH-000120,-0.1757673279977859
ACH-000123,-0.23271308166162685
ACH-000127,-0.050978111051749625
ACH-000128,-0.047889306933847284
ACH-000132,-0.10803063133519036
ACH-000133,-0.2836439188886362
ACH-000137,-0.0981107966299758
ACH-000138,-0.1470117774644798
ACH-000142,-0.12031752220480672
ACH-000143,-0.3712376364588168
ACH-000146,-0.11416040533615768
ACH-000148,-0.06647124862051071
ACH-000150,0.1156106475495702
ACH-000152,-0.0841526616326241
ACH-000153,-0.07335352347855667
ACH-000159,-0.11320308794479494
ACH-000160,-0.08103957792243417
ACH-000163,-0.3914218963186872
ACH-000167,-0.04647246090635843
ACH-000168,-0.08708065308404431
ACH-000169,-0.1380895370103778
ACH-000178,-0.07188188592284712
ACH-000183,-0.21311765855840686
ACH-000188,-0.20899709555315832
ACH-000189,-0.1491271932263072
ACH-000190,-0.047212440003049014
ACH-000198,-0.10195027593367456
ACH-000203,0.007120334894767148
ACH-000204,-0.10625890100077744
ACH-000206,-0.2396027196585526
ACH-000207,-0.06323733016148546
ACH-000208,-0.18560247885683975
ACH-000210,-0.10070331578312518
ACH-000211,-0.1849107062773844
ACH-000215,-0.08077153826973135
ACH-000221,-0.20526992932644875
ACH-000222,-0.2148775657754116
ACH-000223,-0.14306831575979864
ACH-000226,-0.006776299547010944
ACH-000227,-0.09885416500929613
ACH-000228,-0.15427292179754534
ACH-000231,-0.13743298992954395
ACH-000232,-0.08996673926613198
ACH-000233,-0.1361111760871792
ACH-000234,-0.2743899513979387
ACH-000235,-0.20350908298658685
ACH-000237,-0.1173098347761464
ACH-000238,-0.2213810880424355
ACH-000242,-0.10978170772604556
ACH-000243,-0.13730764402648934
ACH-000244,-0.2146087123877876
ACH-000246,-0.1392756291028358
ACH-000248,-0.29391997960244515
ACH-000250,-0.08112090690650813
ACH-000251,0.035387603813973975
ACH-000252,-0.18688033366813367
ACH-000253,-0.19400091827927804
ACH-000255,-0.05063323575385519
ACH-000256,-0.14152913349060875
ACH-000257,-0.19673767969552228
ACH-000258,-0.1862511116440631
ACH-000259,-0.14180036232517726
ACH-000260,-0.2058434556195497
ACH-000261,-0.2011390201059492
ACH-000262,-0.0024155610348521235
ACH-000263,-0.06788365108219548
ACH-000264,-0.08029245230873241
ACH-000265,-0.04289745964470373
ACH-000266,-0.10646374979220193
ACH-000272,-0.15718569680023387
ACH-000274,-0.20163412160315045
ACH-000277,-0.4078775025039361
ACH-000278,-0.05354065035035882
ACH-000279,-0.038702154191659184
ACH-000280,-0.1945230165865618
ACH-000281,-0.23644501472628385
ACH-000288,-0.03501690409581985
ACH-000291,-0.2481328982237701
ACH-000293,-0.10166696329583337
ACH-000294,-0.16660654131464975
ACH-000295,-0.17311692943477078
ACH-000296,-0.2005818205433006
ACH-000302,-0.14341081149787566
ACH-000304,-0.12089582462047466
ACH-000307,-0.08622154315357268
ACH-000308,-0.1426919115173082
ACH-000310,-0.10458595306436252
ACH-000311,-0.24109486956310155
ACH-000312,-0.06476036292123713
ACH-000315,-0.10455635783200312
ACH-000316,-0.1237312650007249
ACH-000317,-0.08154798989757697
ACH-000318,-0.295591608001634
ACH-000319,-0.03054539440747502
ACH-000320,-0.01633307799819671
ACH-000322,-0.3852982580159421
ACH-000323,-0.15348348662983327
ACH-000324,-0.04510001417335477
ACH-000329,-0.061359323130616074
ACH-000330,-0.2494182420449199
ACH-000331,-0.0987139373666793
ACH-000332,-0.13796251907813906
ACH-000334,0.048128793514089635
ACH-000335,-0.12849335855427516
ACH-000336,-0.044694888816071435
ACH-000337,0.06665045200206121
ACH-000338,-0.27876318579091497
ACH-000339,-0.13958214107122174
ACH-000341,-0.06926329601170962
ACH-000348,-0.2286949677222967
ACH-000350,-0.13289056888219802
ACH-000352,-0.13317102927319913
ACH-000356,-0.061741305632972775
ACH-000361,0.00495393556950224
ACH-000362,-0.07367249360137129
ACH-000363,0.04169909632266666
ACH-000364,-0.05833981794348079
ACH-000365,-0.1701896242160138
ACH-000366,-0.12398372192164055
ACH-000368,-0.19495399805092795
ACH-000374,-0.032283854346277716
ACH-000375,-0.2902229657970866
ACH-000376,-0.2533704676877025
ACH-000381,-0.1134903710570081
ACH-000383,-0.11237132396330067
ACH-000387,-0.1002466221618256
ACH-000389,-0.13063277977447624
ACH-000390,0.04341602935293301
ACH-000393,-0.10224291003975536
ACH-000395,-0.4652705241822985
ACH-000396,-0.33449981717960725
ACH-000397,-0.02711451500893873
ACH-000401,-0.1429527401457742
ACH-000402,-0.2724896446603059
ACH-000403,-0.2620012329706748
ACH-000404,-0.13534190199006818
ACH-000406,0.0071246258391477815
ACH-000407,-0.1952446754040853
ACH-000408,-0.09712926515308726
ACH-000410,-0.010390708417632585
ACH-000411,-0.08875053396935635
ACH-000414,-0.11779858184631747
ACH-000415,-0.11437710697065445
ACH-000416,-0.21312179263513492
ACH-000420,-0.18601332294933245
ACH-000421,-0.07531104896462905
ACH-000424,-0.06176922411191541
ACH-000425,-0.17428775572238006
ACH-000426,-0.10649956142642457
ACH-000427,-0.2553279325718961
ACH-000433,-0.2294706356112895
ACH-000435,-0.3178671689178434
ACH-000436,-0.07806749512462609
