,G6PC (2538)
ACH-000004,-0.13336707407118276
ACH-000005,-0.14964261991501826
ACH-000007,-0.09433012801188144
ACH-000009,-0.27695682098684343
ACH-000011,-0.1337428032645948
ACH-000012,-0.2746052667258864
ACH-000013,-0.28878600101958923
ACH-000014,-0.21804654882811605
ACH-000015,-0.3044435945581891
ACH-000017,-0.21374570338501966
ACH-000018,-0.17853770157926702
ACH-000019,-0.2162441560439132
ACH-000021,-0.26802173547848795
ACH-000022,-0.10237169321864012
ACH-000025,-0.2303169003119484
ACH-000028,-0.2686683809633492
ACH-000030,-0.20675433404209456
ACH-000035,-0.2736369625439489
ACH-000036,-0.24579013407621225
ACH-000037,-0.18776013917958026
ACH-000039,-0.08842289764083301
ACH-000040,-0.17585699895861434
ACH-000041,-0.2717933634844643
ACH-000042,-0.2166751429478952
ACH-000045,-0.13663349382773698
ACH-000047,-0.2602111207092961
ACH-000052,-0.09519158236660688
ACH-000053,-0.21950474467320652
ACH-000054,-0.1944181664380276
ACH-000055,-0.1830793179191692
ACH-000060,-0.2113160205582112
ACH-000067,-0.3236399435463891
ACH-000070,-0.3249453118450023
ACH-000075,-0.16845589595629248
ACH-000078,-0.19890326917086645
ACH-000082,-0.20149796503209744
ACH-000085,-0.15459703579882014
ACH-000086,-0.2591389856625529
ACH-000087,-0.21762796249718191
ACH-000092,-0.2113119098984303
ACH-000095,-0.17743409252998155
ACH-000097,-0.207834117777546
ACH-000098,-0.21873767015251724
ACH-000099,-0.17219454234020418
ACH-000108,-0.2134693631155439
ACH-000113,-0.2331422816230177
ACH-000116,-0.221977841715482
ACH-000118,-0.23160555129174845
ACH-000120,-0.3851818600833085
ACH-000123,-0.20744756273618672
ACH-000127,-0.170355622252709
ACH-000128,-0.35873988494200404
ACH-000132,-0.31860461120376565
ACH-000133,-0.2155259543065136
ACH-000137,-0.2623845252311616
ACH-000138,-0.30565281658984395
ACH-000142,-0.3158055855759703
ACH-000143,-0.1270195523426242
ACH-000146,-0.18201879618186356
ACH-000148,-0.29428351671951936
ACH-000150,-0.2913975664240901
ACH-000152,-0.2781916711399809
ACH-000153,-0.33766301936641896
ACH-000159,-0.09140256061426087
ACH-000160,-0.13555508491468285
ACH-000163,-0.2140453531935058
ACH-000167,-0.09645266939806617
ACH-000168,-0.2787388903439551
ACH-000169,-0.2660992921344834
ACH-000178,-0.1957644251051098
ACH-000183,-0.20741203827783614
ACH-000188,-0.25611359165053194
ACH-000189,0.05520804773532681
ACH-000190,-0.11505328383004465
ACH-000198,-0.014225268078522688
ACH-000203,-0.047415240865672434
ACH-000204,-0.3177665199570277
ACH-000206,-0.07066579827527951
