,KHDRBS3 (10656)
ACH-000004,-0.11120919041802896
ACH-000005,-0.12065040142932658
ACH-000007,-0.2294772232964648
ACH-000009,-0.19027813534684626
ACH-000011,-0.22512615666576
ACH-000012,-0.2804529629071958
ACH-000013,-0.0268801905833802
ACH-000014,-0.18545193671897892
ACH-000015,-0.023090271434336115
ACH-000017,-0.055399148587878665
ACH-000018,0.011617515836805092
ACH-000019,0.05273920018895145
ACH-000021,-0.08952527140419393
ACH-000022,-0.1821415121739224
ACH-000025,-0.005629228838075717
ACH-000028,-0.038732937841329286
ACH-000030,-0.1331986747720094
ACH-000035,-0.03597395343063272
ACH-000036,-0.21144318486034555
ACH-000037,-0.127353632968769
ACH-000039,-0.19361005207015694
ACH-000040,-0.26584179646365924
ACH-000041,-0.1915433178869709
ACH-000042,-0.10743562234879962
ACH-000045,-0.016182292917086616
ACH-000047,-0.019198949972913597
ACH-000052,0.02304571731137833
ACH-000053,-0.06998444648734095
ACH-000054,-0.2474042948765188
ACH-000055,0.05966546780993539
ACH-000060,-0.17890633937011546
ACH-000067,-0.07651217092456236
ACH-000070,-0.15783154799952348
ACH-000075,-0.022261907353594217
ACH-000078,-0.2263265988173194
ACH-000082,-0.09163217798175692
ACH-000085,-0.4542628771703192
ACH-000086,-0.0762149575608616
ACH-000087,-0.255139324986821
ACH-000092,-0.01781654270656749
ACH-000095,-0.10122453967033393
ACH-000097,-0.09430328965105146
ACH-000098,-0.11761143071685046
ACH-000099,-0.1407523062659141
ACH-000108,-0.03686963818898981
ACH-000113,-0.0522230041033617
ACH-000116,-0.110142275981484
ACH-000118,-0.28113927539343525
ACH-000120,-0.08601371736520076
ACH-000123,-0.270947971297335
ACH-000127,-0.09160382640699953
ACH-000128,0.029850283540850887
ACH-000132,-0.1859026051672094
ACH-000133,-0.11167639960834956
ACH-000137,-0.11951415620133267
ACH-000138,0.010235090701290831
ACH-000142,-0.1391474509586776
ACH-000143,0.21013217458163774
ACH-000146,-0.10997489766521923
ACH-000148,-0.03212937828286419
ACH-000150,-0.34848705596828833
ACH-000152,-0.057567855125377175
ACH-000153,-0.061060502697255235
ACH-000159,-0.13463800784309032
ACH-000160,-0.02630678557023912
ACH-000163,-0.005406351586794751
ACH-000167,-0.02303427891574116
ACH-000168,-0.18710460653954689
ACH-000169,-0.030308510296107018
ACH-000178,-0.046688625649203064
ACH-000183,-0.013300486510197107
ACH-000188,-0.12465895454174747
ACH-000189,-0.03495715700592751
ACH-000190,-0.10321634723538584
ACH-000198,-0.09050177545458854
ACH-000203,-0.18673386411042764
ACH-000204,0.19077174112492112
ACH-000206,-0.1926148920289947
ACH-000207,-0.10196243253965023
ACH-000208,-0.0530363997310714
ACH-000210,-0.20873716548672272
ACH-000211,-0.15123449288340787
ACH-000215,-0.08737434947622649
ACH-000221,-0.009973070961956505
ACH-000222,0.03846721871481253
ACH-000223,-0.2249896222481676
ACH-000226,-0.10077016815768447
ACH-000227,-0.25992766362315084
ACH-000228,-0.17531282525521608
ACH-000231,-0.06670033860307531
ACH-000232,-0.34619901408718423
ACH-000233,-0.053877296640760734
ACH-000234,-0.13680268702076098
ACH-000235,-0.17427970765244888
ACH-000237,-0.2127340606167301
ACH-000238,-0.12676127169260595
