,CYHR1 (50626)
ACH-000004,-0.27311459771187885
ACH-000005,-0.052480156414552205
ACH-000007,-0.2824290994861556
ACH-000009,-0.27780926762811986
ACH-000011,-0.10028029536518304
ACH-000012,-0.16773552612418394
ACH-000013,-0.18070534782948844
ACH-000014,-0.27423481181823905
ACH-000015,-0.08824812382641548
ACH-000017,-0.3168142660909436
ACH-000018,-0.2791535886276628
ACH-000019,-0.17674335846766398
ACH-000021,-0.2585080167155233
ACH-000022,-0.2444116266164996
ACH-000025,-0.19821719182393727
ACH-000028,-0.20158756937832908
ACH-000030,-0.1782299563248081
ACH-000035,-0.14498069399201144
ACH-000036,-0.3045041058368635
ACH-000037,-0.191831338557
ACH-000039,-0.2467328307938701
ACH-000040,-0.2960699225938249
ACH-000041,-0.2583756434229144
ACH-000042,-0.3442819349275144
ACH-000045,-0.1381105329401193
ACH-000047,-0.2337560678002316
ACH-000052,-0.002938810588513413
ACH-000053,-0.09307998489293093
ACH-000054,-0.43271643176286906
ACH-000055,-0.1474109451506635
ACH-000060,-0.3396367470498118
ACH-000067,-0.2267043533808069
ACH-000070,-0.26921692253695345
ACH-000075,-0.10008646611718576
ACH-000078,-0.4361111675620957
ACH-000082,-0.3860382577369685
ACH-000085,-0.15166724661780814
ACH-000086,-0.08682139126584773
ACH-000087,-0.1675461662148973
ACH-000092,-0.3573858975176783
ACH-000095,-0.13709123307521626
ACH-000097,-0.3053668736463699
ACH-000098,-0.2840564934651097
ACH-000099,-0.29122639501179465
ACH-000108,-0.3247849789051261
ACH-000113,-0.28023587202556965
ACH-000116,-0.3096216763977659
ACH-000118,-0.15166829635985352
ACH-000120,-0.34296506394776977
ACH-000123,-0.2520661102597098
ACH-000127,-0.3550829713772473
ACH-000128,-0.3052023804052061
ACH-000132,-0.23853447249239934
ACH-000133,-0.2513778655575545
ACH-000137,-0.16212211242772298
ACH-000138,-0.03660046648235954
ACH-000142,-0.1867174957857147
ACH-000143,-0.3293449491526203
ACH-000146,-0.2660857556633399
ACH-000148,-0.2486226987424175
ACH-000150,-0.4291578539258132
ACH-000152,-0.25437795692767
ACH-000153,-0.1642972582717695
ACH-000159,-0.23844162801449895
ACH-000160,-0.2485575254463224
ACH-000163,-0.26738967753931897
ACH-000167,-0.07324840621801777
ACH-000168,-0.20893467336173746
ACH-000169,-0.21212891873519504
ACH-000178,-0.3763189283533845
ACH-000183,-0.3125485446484589
ACH-000188,-0.28880024751426986
ACH-000189,-0.14970072475394142
ACH-000190,-0.2512835285601732
ACH-000198,-0.18387690574797155
ACH-000203,-0.10569425433448686
ACH-000204,-0.17894203034827766
ACH-000206,-0.3758562626886175
ACH-000207,-0.3413215205315582
ACH-000208,-0.3063569249048172
ACH-000210,-0.6062077634995101
ACH-000211,-0.2112093762374046
ACH-000215,-0.3700607261198535
ACH-000221,-0.04443493603143766
ACH-000222,-0.2965999200420905
ACH-000223,-0.4213926017469245
ACH-000226,-0.13596481250019493
ACH-000227,-0.40858056066612186
ACH-000228,-0.09857692505458587
ACH-000231,-0.33266394125831084
ACH-000232,-0.2312872778362264
ACH-000233,-0.1863853697484611
ACH-000234,-0.4979619476539376
ACH-000235,-0.2922848072940593
ACH-000237,-0.4207192174432369
ACH-000238,-0.3224893921098036
ACH-000242,-0.15720600991445755
ACH-000243,-0.20772489275877204
ACH-000244,-0.2891216918523311
ACH-000246,-0.2097128410696406
ACH-000248,-0.22184809793232407
ACH-000250,-0.25099702276784003
ACH-000251,-0.16370508764528546
ACH-000252,-0.4519504673393075
ACH-000253,-0.38980073785618746
ACH-000255,-0.036114415308059374
ACH-000256,-0.4849912867636999
ACH-000257,-0.5120357959018101
ACH-000258,-0.4152959091772888
ACH-000259,-0.29214771079155705
ACH-000260,-0.2562836599232502
ACH-000261,-0.2767136105508199
ACH-000262,0.046871510097288405
ACH-000263,-0.5292632789635168
ACH-000264,-0.3488698533703161
ACH-000265,-0.1303185919451783
ACH-000266,-0.3627536205390357
ACH-000272,-0.3425928161963248
ACH-000274,-0.3626910791234709
ACH-000277,-1.015275319832348
ACH-000278,-0.3207296792398974
ACH-000279,-0.3285332424884429
ACH-000280,-0.2867664262462113
ACH-000281,-0.2116860561781035
ACH-000288,-0.1131976276188836
ACH-000291,-0.2267672046687269
ACH-000293,-0.2016865927469765
ACH-000294,-0.10235128997194948
ACH-000295,-0.2455201859084128
ACH-000296,-0.22899998444554096
ACH-000302,-0.1839053316562548
ACH-000304,-0.6583777414808271
ACH-000307,-0.25369589823832983
ACH-000308,-0.3012458074154188
ACH-000310,-0.3107045559573925
ACH-000311,-0.3412589400209583
ACH-000312,-0.1927042953301146
ACH-000315,-0.3757618274364901
ACH-000316,-0.20598808354396414
ACH-000317,-0.06949169323415835
ACH-000318,-0.450941015528928
ACH-000319,-0.20470171543561885
ACH-000320,-0.2619570332849234
ACH-000322,-0.3399171320048713
ACH-000323,-0.06973446882152498
ACH-000324,-0.27404835777986103
ACH-000329,-0.3146342108449389
ACH-000330,-0.2942673677988655
ACH-000331,-0.3942035346739606
ACH-000332,-0.407197951144633
ACH-000334,-0.19022667682301125
ACH-000335,-0.20758536887595014
ACH-000336,-0.4913070720002615
ACH-000337,-0.17778143053684586
ACH-000338,0.3462417567328624
ACH-000339,-0.28134185559196984
ACH-000341,-0.1759030592216479
ACH-000348,-0.2782562130633592
ACH-000350,-0.2355676433976613
ACH-000352,-0.3205864714813809
ACH-000356,-0.15153728056325733
ACH-000361,-0.35298246359188523
ACH-000362,-0.4310160880920999
ACH-000363,-0.3984421658771189
