,CALM1 (801)
ACH-000004,0.0374959590490567
ACH-000005,0.05849605005481361
ACH-000007,-0.11670166215210062
ACH-000009,-0.026257795966231002
ACH-000011,0.06971525380696478
ACH-000012,-0.6043778685517329
ACH-000013,-0.08144525753235858
ACH-000014,-0.17249101188014618
ACH-000015,0.022946927519372846
ACH-000017,-0.28732241819372634
ACH-000018,-0.047516076207357684
ACH-000019,-0.08416115741412837
ACH-000021,0.07842685517510557
ACH-000022,-0.117197100654846
ACH-000025,-0.1612274429381379
ACH-000028,-0.11994904498165025
ACH-000030,-0.14588889553574474
ACH-000035,0.13562957022501862
ACH-000036,-0.21185115966407647
ACH-000037,-0.040870685156675184
ACH-000039,-0.17101948513989867
ACH-000040,-0.10698001563848836
ACH-000041,-0.042199066746314864
ACH-000042,-0.027936675140251714
ACH-000045,0.07622132663808907
ACH-000047,-0.17869141489510054
ACH-000052,0.12042585608789713
ACH-000053,-0.04642631148187255
ACH-000054,-0.2383310776113456
ACH-000055,-0.13543278892061275
ACH-000060,-0.04075691427982973
ACH-000067,-0.19090632410720945
ACH-000070,0.14453744101419666
ACH-000075,-0.1836716989149298
ACH-000078,-0.031940395709935794
ACH-000082,-0.2560810226944716
ACH-000085,-0.04727241919836032
ACH-000086,0.04979217714475146
ACH-000087,-0.2561785168555785
ACH-000092,-0.1398726755553104
ACH-000095,-0.07436112989508452
ACH-000097,-0.2401127116794025
ACH-000098,-0.0911188559567308
ACH-000099,-0.08844159354812052
ACH-000108,-0.11495301872500495
ACH-000113,-0.06474760213347609
ACH-000116,-0.09889795424900633
ACH-000118,-0.07679997952256118
ACH-000120,-0.17853268099517944
ACH-000123,-0.10834662393834267
ACH-000127,-0.15981301080881627
ACH-000128,-0.1428626509332106
ACH-000132,-0.0090157045931006
ACH-000133,-0.09498485249586497
ACH-000137,-0.0008177264531231107
ACH-000138,-0.013102301397528906
ACH-000142,-0.040144220080603185
ACH-000143,-0.12311620443452807
ACH-000146,-0.028207085389409726
ACH-000148,-0.10163430597960604
ACH-000150,-0.0482873326088142
ACH-000152,-0.1306077972320633
ACH-000153,0.0540164040373255
ACH-000159,-0.10170003438463013
ACH-000160,-0.18640486521654048
ACH-000163,-0.15406027087210014
ACH-000167,-0.15919554338514105
ACH-000168,-0.4105709512805079
ACH-000169,-0.15297614155167213
ACH-000178,-0.12007144201117563
ACH-000183,-0.0380019488702214
ACH-000188,-0.3827847793349069
ACH-000189,-0.1043632773556546
ACH-000190,-0.07534063760139452
ACH-000198,0.08438562233463964
ACH-000203,0.13387255042666485
ACH-000204,-0.20925810323641425
ACH-000206,-0.25651996422023143
ACH-000207,-0.056719815513336734
ACH-000208,-0.2915992371905793
ACH-000210,0.058185251749171774
ACH-000211,-0.2026010494431092
ACH-000215,-0.09843413513350267
ACH-000221,-0.05175759451165349
ACH-000222,-0.007537396801394212
ACH-000223,-0.04597480403006576
