,VTI1B (10490)
ACH-000004,-0.06932108180817746
ACH-000005,-0.17220114717410145
ACH-000007,-0.16725840224317756
ACH-000009,-0.25444252900517805
ACH-000011,-0.3696549026139629
ACH-000012,-0.2883987528566577
ACH-000013,-0.22184194850897107
ACH-000014,-0.3459239393861453
ACH-000015,-0.28223376254460764
ACH-000017,-0.2991727093272645
ACH-000018,-0.3847461694787047
ACH-000019,-0.2531951100104937
ACH-000021,-0.135633177292138
ACH-000022,-0.2472998680610873
ACH-000025,-0.16280040957649286
ACH-000028,-0.13470346495715196
ACH-000030,-0.3180498241798628
ACH-000035,-0.3385286215181311
ACH-000036,-0.31566473741885875
ACH-000037,-0.2496586097817384
ACH-000039,-0.17692784830512645
ACH-000040,-0.3150241389181904
ACH-000041,-0.27521524423464017
ACH-000042,-0.11486247641930225
ACH-000045,-0.25894769560656544
ACH-000047,-0.12482864944414468
ACH-000052,-0.4753376511584382
ACH-000053,-0.07027071945772442
ACH-000054,-0.19943884283957908
ACH-000055,-0.2580876075469009
ACH-000060,-0.5062830873486329
ACH-000067,-0.11745586369421347
ACH-000070,-0.3124291616772545
ACH-000075,-0.24407409390644905
ACH-000078,-0.2204325098090693
ACH-000082,-0.35192682179790663
ACH-000085,-0.17099843925388036
ACH-000086,-0.2194962030244686
ACH-000087,-0.18501189162073872
ACH-000092,-0.3495244237526285
ACH-000095,-0.36008917532098206
ACH-000097,-0.3104237052669591
ACH-000098,-0.2040610465656238
ACH-000099,-0.3534693703213438
ACH-000108,-0.4490709717376116
ACH-000113,-0.22515004288742105
ACH-000116,-0.059514655496864965
ACH-000118,-0.19092378553061312
ACH-000120,-0.21063172228562446
ACH-000123,-0.3118723816934987
ACH-000127,-0.2572623299936318
ACH-000128,-0.3508925585316128
ACH-000132,-0.19795470127900489
ACH-000133,-0.2812676648626244
ACH-000137,-0.2116292493015664
ACH-000138,-0.1611087284259065
ACH-000142,-0.3116769499654472
ACH-000143,-0.3529110885128521
ACH-000146,-0.2672108407854146
ACH-000148,-0.2465992350560192
ACH-000150,-0.20285032882727733
ACH-000152,-0.3804470808457289
ACH-000153,-0.2834269494374745
ACH-000159,-0.2370638863781427
ACH-000160,-0.3347985677146829
ACH-000163,-0.3705179540703787
ACH-000167,0.07630937282642719
