,NUF2 (83540)
ACH-000004,-1.0513227825970528
ACH-000005,-0.8445348230815289
ACH-000007,-0.6822055896266149
ACH-000009,-0.997502250957264
ACH-000011,-1.0159459046177612
ACH-000012,-0.9462682785410594
ACH-000013,-0.9545853037975136
ACH-000014,-0.8736306466448354
ACH-000015,-1.069676913326961
ACH-000017,-1.036732019970537
ACH-000018,-0.8981356455301394
ACH-000019,-1.2281540376859743
ACH-000021,-1.023062800312742
ACH-000022,-1.1646559617309757
ACH-000025,-1.1154638531383956
ACH-000028,-1.2022439900767403
ACH-000030,-1.180138968745165
ACH-000035,-0.9573119666318024
ACH-000036,-1.1480660776583995
ACH-000037,-1.0621501924800385
ACH-000039,-0.9436313018879297
ACH-000040,-0.826563562297159
ACH-000041,-1.0313874918325157
ACH-000042,-1.1412262641160813
ACH-000045,-1.0889104627509218
ACH-000047,-1.0673179518880314
ACH-000052,-1.0146267360957566
ACH-000053,-1.1505333264124251
ACH-000054,-1.0129920010248994
ACH-000055,-0.8535561323622735
ACH-000060,-1.0452537584661663
ACH-000067,-1.1576416096559683
ACH-000070,-1.0763794413591077
ACH-000075,-0.9556776677175188
ACH-000078,-1.151741639704706
ACH-000082,-1.291445257523398
ACH-000085,-1.1044229833463153
ACH-000086,-1.2205785976918195
ACH-000087,-0.8868793662119923
ACH-000092,-1.3140108185669377
ACH-000095,-1.0328554389042408
ACH-000097,-1.1109992834612423
ACH-000098,-1.1500751076929492
ACH-000099,-1.1021815794433565
ACH-000108,-1.0470014270165326
ACH-000113,-0.8258455725749303
ACH-000116,-1.0761915747981512
ACH-000118,-0.9631128482903036
ACH-000120,-0.9462547172522456
ACH-000123,-0.8991788039762162
ACH-000127,-1.1261771343348208
ACH-000128,-0.9875334060225632
ACH-000132,-1.2963479542771044
ACH-000133,-1.1495122411339826
ACH-000137,-1.036363339198293
ACH-000138,-1.107979009892823
ACH-000142,-0.7602515914818253
ACH-000143,-0.7906710879253213
ACH-000146,-0.7667630050739132
ACH-000148,-0.9748420838738804
ACH-000150,-0.9122838686098124
ACH-000152,-1.2330967147085434
ACH-000153,-1.1271919073922032
ACH-000159,-1.1370964140221054
ACH-000160,-0.9563432330694788
ACH-000163,-1.1731304726181222
ACH-000167,-1.6650671152159937
ACH-000168,-1.0643399397349391
ACH-000169,-1.0393128330129675
ACH-000178,-1.000048718869443
ACH-000183,-0.9614435183671676
ACH-000188,-0.8754389407932723
ACH-000189,-1.0374516747560132
ACH-000190,-0.9605574567605174
ACH-000198,-0.8909009455213927
ACH-000203,-0.7658056100974451
ACH-000204,-1.0530935012116915
ACH-000206,-0.9035357658979098
ACH-000207,-1.2751600846747326
ACH-000208,-1.0963312874290907
ACH-000210,-1.3713711164269804
ACH-000211,-0.9207415160700462
ACH-000215,-1.2467317130125437
ACH-000221,-1.0880702975775396
ACH-000222,-1.0760894290463046
ACH-000223,-0.9579461259694172
ACH-000226,-0.9022142536492468
ACH-000227,-1.1946085292671114
ACH-000228,-1.0915379273477517
ACH-000231,-1.2905840470500174
ACH-000232,-1.1330964687431129
ACH-000233,-1.0267779188170116
