,ROR2 (4920)
ACH-000004,0.08373432814722004
ACH-000005,-0.13990834770808894
ACH-000007,0.058254468785710126
ACH-000009,-0.18170095665771646
ACH-000011,-0.13125604087060005
ACH-000012,-0.20525750625523528
ACH-000013,-0.2545347827279378
ACH-000014,-0.1736387336080401
ACH-000015,-0.2282066095885404
ACH-000017,-0.2185251604294076
ACH-000018,-0.1790796170269222
ACH-000019,-0.3237571399984763
ACH-000021,-0.09950428163066902
ACH-000022,-0.1856532406805427
ACH-000025,-0.12111429779754353
ACH-000028,-0.0658961465737806
ACH-000030,-0.12506204931152734
ACH-000035,-0.03878564652232177
ACH-000036,-0.11519902027958075
ACH-000037,-0.30628372641501866
ACH-000039,-0.1781233611567883
ACH-000040,-0.2567494083112493
ACH-000041,-0.18594916518501808
ACH-000042,-0.13075262473151505
ACH-000045,-0.013739442785145372
ACH-000047,-0.02058255442236421
ACH-000052,-0.3336139554589994
ACH-000053,-0.1670098718590478
ACH-000054,-0.053949517363549915
ACH-000055,-0.17201777372299706
ACH-000060,-0.12858186555059534
ACH-000067,-0.14046155404229774
ACH-000070,-0.24744906064690786
ACH-000075,0.009844805573362652
ACH-000078,-0.10889622816952677
ACH-000082,-0.09232202075352776
ACH-000085,-0.3066329689237335
ACH-000086,-0.19750565002452225
ACH-000087,-0.16071823272163085
ACH-000092,-0.16776525783467755
ACH-000095,-0.16715244863091755
ACH-000097,-0.1377894966540152
ACH-000098,-0.14124685789765618
ACH-000099,-0.14875838085388862
ACH-000108,-0.04992365513434988
ACH-000113,-0.148271382801548
ACH-000116,-0.026836677730622625
ACH-000118,-0.13342564216230632
ACH-000120,-0.15112466643956074
ACH-000123,-0.21378773534083853
ACH-000127,-0.1280006086716531
ACH-000128,0.008636120314515303
ACH-000132,-0.1648981670668641
ACH-000133,-0.202658652940279
ACH-000137,-0.17432777729828638
ACH-000138,-0.060948520211182036
ACH-000142,-0.07058498127335397
ACH-000143,-0.267709446639498
ACH-000146,-0.07935608364252428
ACH-000148,-0.1420817681479576
ACH-000150,-0.14301491449436102
ACH-000152,-0.19474117645605668
ACH-000153,0.11328190184224382
ACH-000159,-0.16096809353824668
ACH-000160,-0.16886993896841598
ACH-000163,-0.16847711597458512
ACH-000167,-0.0043653377541798925
ACH-000168,-0.23639686082428998
ACH-000169,-0.09844191253657404
ACH-000178,-0.25924308512291744
ACH-000183,-0.13454096586012565
ACH-000188,-0.2177836854768728
ACH-000189,-0.2312809434665745
ACH-000190,-0.38035956362565015
ACH-000198,-0.05482169421497026
ACH-000203,0.03299296071909416
ACH-000204,-0.191385438998996
ACH-000206,0.05427617489482105
ACH-000207,-0.11189918781691174
ACH-000208,-0.116592893585319
ACH-000210,-0.20280270432939806
ACH-000211,-0.1243963672521536
ACH-000215,-0.11666727641081485
ACH-000221,-0.43383639497708776
ACH-000222,-0.14646513297054126
ACH-000223,-0.17882311861870942
ACH-000226,-0.03647432995456668
ACH-000227,-0.11128754051863246
ACH-000228,-0.011146753641846543
ACH-000231,-0.08890418140628234
ACH-000232,-0.06588174942147372
ACH-000233,-0.11216830092445676
ACH-000234,-0.17050495501990298
ACH-000235,-0.12115385168112905
ACH-000237,-0.1696624759684988
