,OSBPL1A (114876)
ACH-000004,-0.04119457517416279
ACH-000005,0.08013870133862824
ACH-000007,-0.09639351167762067
ACH-000009,-0.0650364659166977
ACH-000011,-0.12110657931594568
ACH-000012,-0.1591435189970249
ACH-000013,-0.12559936479306574
ACH-000014,-0.04134787509059192
ACH-000015,0.07185002488046323
ACH-000017,0.005910327714968464
ACH-000018,-0.1574361850754217
ACH-000019,-0.11869987957911557
ACH-000021,-0.08147885954813197
ACH-000022,-0.22245690823937006
ACH-000025,-0.01838589755009952
ACH-000028,0.031404095377706116
ACH-000030,-0.07318176732735482
ACH-000035,0.003451755224372288
ACH-000036,-0.1431120835875813
ACH-000037,-0.2352198442021479
ACH-000039,-0.062474396143640434
ACH-000040,0.08740226479673673
ACH-000041,-0.10593610346080767
ACH-000042,-0.16397184312671498
ACH-000045,-0.056131080840324435
ACH-000047,0.07429687054332809
ACH-000052,-0.21820004267575535
ACH-000053,-0.08840588826737772
ACH-000054,0.014556746683424516
ACH-000055,-0.1021514031309146
ACH-000060,-0.07620868094436753
ACH-000067,-0.0940433093099432
ACH-000070,-0.12936946315531195
ACH-000075,0.053180424947236335
ACH-000078,-0.15376996597824133
ACH-000082,-0.07527689048362657
ACH-000085,-0.17809368024854447
ACH-000086,0.033924500578670753
ACH-000087,0.22516925790049394
ACH-000092,-0.07901727964031356
ACH-000095,-0.09959202803523902
ACH-000097,-0.1797070240433189
ACH-000098,-0.06621278811258917
ACH-000099,-0.11152097053709936
ACH-000108,0.06429855517526588
ACH-000113,-0.052600574267872735
ACH-000116,-0.015116384533693066
ACH-000118,-0.007085503651724034
ACH-000120,-0.0609552875200686
ACH-000123,-0.032799196301307273
ACH-000127,-0.06571847968032284
ACH-000128,-0.08490094384300212
ACH-000132,-0.17884491499095315
ACH-000133,-0.023081360596578514
ACH-000137,-0.18962248567217044
ACH-000138,-0.07124979293420497
ACH-000142,-0.08697824697830196
ACH-000143,-0.06180869457257562
