,GLP2R (9340)
ACH-000004,-0.020640656723784512
ACH-000005,-0.28520634817064944
ACH-000007,-0.11056701529788447
ACH-000009,-0.06259791822632244
ACH-000011,0.04350683495430562
ACH-000012,-0.043268198549426914
ACH-000013,-0.0903992100088736
ACH-000014,0.03098976174437105
ACH-000015,-0.07368401521539023
ACH-000017,0.01910417307281927
ACH-000018,0.06321083631576219
ACH-000019,-0.007378363829231941
ACH-000021,0.00862164668454047
ACH-000022,0.034988242138165836
ACH-000025,0.06632652995639919
ACH-000028,-0.0006412567922004296
ACH-000030,0.055952689938940814
ACH-000035,-0.12843222597619486
ACH-000036,0.09344659124505383
ACH-000037,0.11203051228091923
ACH-000039,-0.12553288938567278
ACH-000040,-0.09232513304849893
ACH-000041,-0.153779665341547
ACH-000042,-0.016535363290558585
ACH-000045,0.1615673616101588
ACH-000047,-0.025757389473205456
ACH-000052,-0.036806474058224986
ACH-000053,-0.02113464916328684
ACH-000054,0.01550298725726277
ACH-000055,-0.17288999741079555
ACH-000060,-0.09370056116587136
ACH-000067,-0.0471048243353823
ACH-000070,0.04019958785538248
ACH-000075,-0.14323480532437813
ACH-000078,-0.09556831824265002
ACH-000082,0.007463898844077622
ACH-000085,-0.03772703621996794
ACH-000086,0.1022303182909704
ACH-000087,-0.0044687700863750525
ACH-000092,0.18423178359207504
ACH-000095,-0.0011828501840789973
ACH-000097,0.05367619811755678
ACH-000098,0.04285916266724647
ACH-000099,0.021614386422692027
ACH-000108,0.011239068685535257
ACH-000113,0.08737102644997084
ACH-000116,-0.1065422181980187
ACH-000118,0.10590670571817784
ACH-000120,0.07789265869513252
ACH-000123,0.013861901812699116
ACH-000127,-0.03096390309410578
ACH-000128,0.011741615587704209
ACH-000132,0.04224673433562022
ACH-000133,0.06068788094107778
ACH-000137,0.0043727474494844034
ACH-000138,-0.03587390715418126
ACH-000142,0.11563453748537066
ACH-000143,-0.013543670379262572
ACH-000146,0.011165280723581044
