,ATXN7L3B (552889)
ACH-000004,-0.02960177354932663
ACH-000005,0.2174731712081852
ACH-000007,0.029728502514631962
ACH-000009,-0.12473763699620476
ACH-000011,-0.2591446812006197
ACH-000012,-0.1673162745556168
ACH-000013,-0.06370454775452025
ACH-000014,-0.01069339643027332
ACH-000015,-0.13435535880700575
ACH-000017,-0.20798872427873705
ACH-000018,-0.162956406568151
ACH-000019,-0.06897163262215113
ACH-000021,0.022772618524509028
ACH-000022,-0.07057428720739051
ACH-000025,-0.12091237484734345
ACH-000028,-0.06328039018945772
ACH-000030,-0.16333021937721992
ACH-000035,0.11458005818822635
ACH-000036,-0.164617767008517
ACH-000037,-0.0894227317236469
ACH-000039,-0.10124020404247944
ACH-000040,-0.14321056386726475
ACH-000041,-0.19355339731952664
ACH-000042,-0.03743615440428637
ACH-000045,-0.005597797212098055
ACH-000047,-0.14829630651265566
ACH-000052,-0.21599988206367848
ACH-000053,-0.12103570396205475
ACH-000054,-0.054776514048495484
ACH-000055,-0.4558247980571827
ACH-000060,-0.049881162278327895
ACH-000067,-0.2707013117366128
ACH-000070,-0.16723527450906533
ACH-000075,-0.09012546315276483
ACH-000078,0.06704189623123047
ACH-000082,-0.07470649586786625
ACH-000085,-0.13626139655747904
ACH-000086,-0.2621555183405864
ACH-000087,-0.5057595115844717
ACH-000092,-0.08984988175439282
ACH-000095,-0.11994042621954078
ACH-000097,-0.036122079304519716
ACH-000098,-0.04455207339605872
ACH-000099,0.031992265004145884
ACH-000108,0.16977846142729552
ACH-000113,-0.0932402147825472
ACH-000116,-0.14059863518293306
ACH-000118,-0.08393874824342093
ACH-000120,0.056531512383455926
ACH-000123,-0.14827673027325214
ACH-000127,-0.07862464402681016
ACH-000128,-0.2624780942364245
ACH-000132,0.0246873500622262
ACH-000133,-0.26253423314990176
ACH-000137,-0.22848990020296914
ACH-000138,-0.11389458626708755
ACH-000142,-0.02589256066320233
ACH-000143,-0.2406524920483573
ACH-000146,-0.004127933844255485
ACH-000148,-0.04262437388535592
ACH-000150,-0.1730667281931357
ACH-000152,-0.17072411404151502
ACH-000153,-0.09417077114197324
ACH-000159,0.009068189575512515
ACH-000160,-0.09739014419371964
ACH-000163,-0.1998408216252776
ACH-000167,0.15074124835633834
ACH-000168,-0.17007739318245324
ACH-000169,-0.044662338903551285
ACH-000178,-0.11587273210055002
ACH-000183,0.14819114997814448
ACH-000188,-0.08436619222585523
ACH-000189,-0.3372841308367777
ACH-000190,-0.08870843531681638
ACH-000198,-0.07519493504295861
ACH-000203,-0.4493129083717301
ACH-000204,-0.316640680754306
ACH-000206,-0.1006703595701536
ACH-000207,-0.1443950913165559
ACH-000208,-0.037680511807723055
ACH-000210,-0.09779980038703733
ACH-000211,-0.11601965997966572
ACH-000215,-0.10216983426819876
ACH-000221,-0.01849566614447025
ACH-000222,0.1037207423699102
ACH-000223,-0.30472805381005397
ACH-000226,-0.217734476627974
ACH-000227,-0.04179294818138676
ACH-000228,-0.3084156132940141
ACH-000231,-0.11719349671699834
ACH-000232,-0.2694870654739425
ACH-000233,-0.28390054016647626
ACH-000234,-0.21398308858236126
ACH-000235,-0.12258689457016947
ACH-000237,-0.2015784236537558
ACH-000238,-0.2741715234998313
ACH-000242,-0.42608458743276095
ACH-000243,-0.03193545255618056
ACH-000244,0.0953871670562419
ACH-000246,-0.162349317155344
ACH-000248,-0.1414572448978501
ACH-000250,0.022785778441232963
ACH-000251,0.008654436452317943
ACH-000252,-0.06998523926609072
ACH-000253,-0.05241688069703582
ACH-000255,0.026001564947538008
ACH-000256,-0.0581129673885265
ACH-000257,-0.2696198474156074
ACH-000258,-0.23218556095464485
ACH-000259,-0.05937724388887632
ACH-000260,-0.15250562695251654
ACH-000261,-0.11348711950904923
ACH-000262,-0.11337073151230025
ACH-000263,-0.3751753337854502
ACH-000264,-0.13732073618905233
ACH-000265,-0.0943753766062006
ACH-000266,-0.1427729963956597
ACH-000272,0.044450809605779004
ACH-000274,-0.07446822519865652
ACH-000277,-0.3236572159215029
ACH-000278,-0.11201300680015756
ACH-000279,-0.1618861643210282
ACH-000280,-0.047759158807856666
ACH-000281,-0.19763851963719334
ACH-000288,-0.053913164042938125
ACH-000291,-0.1459478218651081
ACH-000293,-0.15132414517062615
ACH-000294,0.04047033280518428
ACH-000295,-0.1789666995001006
ACH-000296,0.10324022960742828
ACH-000302,0.02651754563120004
ACH-000304,-0.16123046645523947
ACH-000307,-0.04691060758669799
ACH-000308,-0.09422988140101067
ACH-000310,-0.07890528310068001
ACH-000311,-0.08152236373666691
ACH-000312,0.01962764881778176
ACH-000315,0.040019006867963655
ACH-000316,-0.11910908712836735
ACH-000317,-0.0613268456821701
ACH-000318,-0.17516433973771334
ACH-000319,-0.1959327893594161
ACH-000320,-0.024213225201593733
ACH-000322,-0.1882958686673899
ACH-000323,0.08997070057399162
ACH-000324,-0.015308816901813476
ACH-000329,-0.14058391269069825
ACH-000330,-0.11864812761483992
ACH-000331,-0.4380956483304584
ACH-000332,-0.1368137286722171
ACH-000334,-0.1954330631091808
ACH-000335,-0.18571372692734306
ACH-000336,0.22510272758981145
ACH-000337,-0.16083233300102798
ACH-000338,0.09149944622291506
ACH-000339,-0.2075095684606351
ACH-000341,-0.10275493716734947
ACH-000348,-0.0851928523539674
ACH-000350,-0.06102643098587648
ACH-000352,0.11846591000841435
ACH-000356,-0.2139534879292551
ACH-000361,0.038826320827647066
ACH-000362,-0.0299529626074033
ACH-000363,-0.05210222002401897
ACH-000364,-0.050413400587153004
ACH-000365,-0.07695343247422133
ACH-000366,0.08575721509562084
ACH-000368,-0.2413611200140631
ACH-000374,-0.1162767774910743
ACH-000375,-0.2014197285497677
ACH-000376,-0.12722803073217662
ACH-000381,0.04206354353817468
ACH-000383,-0.14101612261502067
ACH-000387,-0.055473925707480436
ACH-000389,-0.10403788704683772
ACH-000390,-0.03777018537965367
ACH-000393,-0.08726433806310152
ACH-000395,-0.11150058008897716
