,HNRNPU (3192)
ACH-000004,-0.7264507382440909
ACH-000005,-0.6536441692172283
ACH-000007,-0.8251531845433526
ACH-000009,-0.9973062024817064
ACH-000011,-1.0457111905032876
ACH-000012,-0.9336914754170024
ACH-000013,-0.7894887208995843
ACH-000014,-0.9526380760467557
ACH-000015,-0.7489201098455414
ACH-000017,-1.3647426418089619
ACH-000018,-0.7980815850486648
ACH-000019,-0.4881510724999726
ACH-000021,-0.7977892676669349
ACH-000022,-0.6591287477025596
ACH-000025,-0.9528213475641574
ACH-000028,-0.7027837002328539
ACH-000030,-0.5972358894012312
ACH-000035,-0.6322068592094975
ACH-000036,-0.9632974003874114
ACH-000037,-0.730023751540182
ACH-000039,-0.8833871235890561
ACH-000040,-1.0384142720431864
ACH-000041,-0.5958612954521674
ACH-000042,-0.8165251865980246
ACH-000045,-0.7246135177639634
ACH-000047,-1.0014291082552451
ACH-000052,-0.6784155591734207
ACH-000053,-0.9183706564992076
ACH-000054,-0.8858678491191002
ACH-000055,-0.5031683972515314
ACH-000060,-0.9227106381465732
ACH-000067,-0.7136728486905822
ACH-000070,-0.8050294917065326
ACH-000075,-0.606384702569078
ACH-000078,-0.7600282979094539
ACH-000082,-0.660305660760289
ACH-000085,-1.0661025664033643
ACH-000086,-1.0345114868482428
ACH-000087,-0.9362463451862724
ACH-000092,-1.0013033708548726
ACH-000095,-0.7795019449615928
ACH-000097,-0.8906502826465047
ACH-000098,-0.7804374098593753
ACH-000099,-1.0030587836571805
ACH-000108,-0.610690817737953
ACH-000113,-0.6471667029891861
ACH-000116,-0.8569425387627907
ACH-000118,-0.8510433005868857
ACH-000120,-0.6852652657610553
ACH-000123,-1.0284445614674251
ACH-000127,-0.7764131552071145
ACH-000128,-0.7061950762821135
ACH-000132,-0.9019580558590138
ACH-000133,-0.9397488747048328
ACH-000137,-0.767962426935076
ACH-000138,-0.7257930195263069
ACH-000142,-1.0086641189465908
ACH-000143,-0.9044354137125248
ACH-000146,-0.6778620397098122
ACH-000148,-0.9234739815401628
ACH-000150,-0.8338391884697398
ACH-000152,-0.8512969695694108
ACH-000153,-0.922467359942166
ACH-000159,-1.0054509876752058
ACH-000160,-0.6733389943293699
ACH-000163,-0.5854038419302823
ACH-000167,-0.1861779204719855
ACH-000168,-0.5142394123528986
ACH-000169,-1.0245233743354187
ACH-000178,-0.8876833940055956
ACH-000183,-0.8510643195080356
ACH-000188,-0.6267582755565675
