,IQCE (23288)
ACH-000004,-0.1422279282554196
ACH-000005,-0.12298554050169813
ACH-000007,-0.2293602110940441
ACH-000009,-0.1756834364053697
ACH-000011,-0.03064128016221985
ACH-000012,-0.12729065688106886
ACH-000013,-0.1231958525866449
ACH-000014,-0.2709417240380348
ACH-000015,-0.17827567267645442
ACH-000017,-0.1937243644057289
ACH-000018,-0.12979113095946213
ACH-000019,-0.07131854911241277
ACH-000021,-0.11560988898136125
ACH-000022,-0.2503777742914364
ACH-000025,-0.1684323122424491
ACH-000028,-0.03600287713061892
ACH-000030,-0.07748556761431523
ACH-000035,-0.04723213813184503
ACH-000036,-0.2458629729540666
ACH-000037,-0.09575663099325687
ACH-000039,-0.1717889302720838
ACH-000040,-0.2442064999995375
ACH-000041,0.0538662857190564
ACH-000042,-0.2563714452750593
ACH-000045,-0.1857542245882069
ACH-000047,-0.3011972983398036
ACH-000052,-0.011403839219973948
ACH-000053,-0.16091429111408964
ACH-000054,-0.1983890562514508
ACH-000055,-0.0792147847768392
ACH-000060,-0.2246879348537084
ACH-000067,-0.18207879447394826
ACH-000070,-0.1614108021211473
ACH-000075,-0.0632972929208899
ACH-000078,-0.11974841459362535
ACH-000082,-0.2991911280136643
ACH-000085,-0.24211088413592535
ACH-000086,0.12610426999328422
ACH-000087,-0.08685625529969876
ACH-000092,-0.2800771435403275
ACH-000095,-0.21238256784786708
ACH-000097,-0.182808149296708
ACH-000098,-0.16189846055060453
ACH-000099,-0.25211026387795776
ACH-000108,-0.2508715777329278
ACH-000113,-0.09484932781590262
ACH-000116,0.02321116336459381
ACH-000118,-0.09315923808543017
ACH-000120,-0.3079210873171419
ACH-000123,-0.06698495051165003
ACH-000127,-0.0435686794821819
ACH-000128,-0.3350907078141085
ACH-000132,-0.2366912259749295
ACH-000133,-0.1951994440377342
ACH-000137,-0.05432870713116778
ACH-000138,-0.15704235113680967
ACH-000142,-0.22054367052045495
ACH-000143,-0.24777376061371906
ACH-000146,-0.10119350082940708
ACH-000148,-0.10857725887469108
ACH-000150,-0.08178802188944889
ACH-000152,-0.16612739729688136
ACH-000153,-0.0066373280064961114
ACH-000159,-0.12669573108400034
ACH-000160,-0.13296381363347945
ACH-000163,-0.14848038727197374
ACH-000167,-0.36924028083394544
ACH-000168,-0.2371746723759449
ACH-000169,-0.2975110237192236
ACH-000178,-0.09795205157509734
ACH-000183,-0.10474334692477248
ACH-000188,0.013052085681211805
ACH-000189,-0.10843810177507722
ACH-000190,-0.3798167960548134
ACH-000198,-0.2594896781702253
ACH-000203,-0.08473107120815844
ACH-000204,0.09007800745431672
ACH-000206,-0.0217597272929098
ACH-000207,-0.0850366316408575
ACH-000208,-0.1078238745927688
ACH-000210,-0.3147416570045399
ACH-000211,-0.07928572023019755
ACH-000215,-0.12784925215227816
ACH-000221,-0.11924984481143387
ACH-000222,-0.2492678698132772
ACH-000223,-0.12428011929153418
ACH-000226,-0.0004383235244550039
ACH-000227,-0.21577240717395885
ACH-000228,0.02591386427972096
ACH-000231,-0.07955724813926271
ACH-000232,-0.14761760984279412
ACH-000233,-0.04838804225998288
ACH-000234,-0.11267945371144387
ACH-000235,-0.14699447310361224
ACH-000237,-0.18055115198527288
ACH-000238,-0.14308234910181145
ACH-000242,-0.22216147017339172
ACH-000243,-0.05771095184258904
ACH-000244,-0.4399889454822011
ACH-000246,-0.28663228748652336
ACH-000248,-0.08090643494355833
ACH-000250,-0.14983178760013102
ACH-000251,-0.1052307395545639
ACH-000252,-0.1135393174067036
ACH-000253,-0.09873900885980724
ACH-000255,-0.07858475915073826
ACH-000256,-0.1509948357524748
ACH-000257,-0.22185543048566514
ACH-000258,-0.0009078359059893537
ACH-000259,-0.2342130510140623
ACH-000260,-0.061183530729336036
ACH-000261,-0.13702733846002665
ACH-000262,-0.21414810584115074
ACH-000263,-0.2353569362572968
ACH-000264,-0.16265716498978608
ACH-000265,-0.02905733258199226
ACH-000266,-0.25410323507176474
ACH-000272,-0.03787330279229933
ACH-000274,-0.19673738501167545
ACH-000277,-0.12193954959132115
ACH-000278,-0.2330675191313693
ACH-000279,-0.17939176660610975
ACH-000280,-0.07541426016100664
ACH-000281,-0.3205345987737304
ACH-000288,-0.17120153016750475
ACH-000291,-0.2381051768711437
ACH-000293,-0.051349253733871225
ACH-000294,-0.13622160962265484
ACH-000295,-0.02750887357753432
ACH-000296,0.064152324993849
ACH-000302,-0.21512220609165564
ACH-000304,-0.10701326518711272
ACH-000307,-0.06481088024524323
ACH-000308,-0.2090632966341106
ACH-000310,-0.2607364705165891
ACH-000311,-0.06466447913449863
ACH-000312,-0.2511153691510246
ACH-000315,-0.20601293367811635
ACH-000316,-0.11186576310748736
ACH-000317,-0.07299348882452751
ACH-000318,-0.05484020057030229
ACH-000319,-0.15576646462394925
ACH-000320,-0.2642602642283578
ACH-000322,-0.06473713056987031
ACH-000323,-0.34618662609791623
ACH-000324,-0.13074948705217435
ACH-000329,-0.18002031420178358
ACH-000330,-0.22282749228060933
ACH-000331,-0.06495312413840704
ACH-000332,-0.20112393691842295
ACH-000334,-0.2437459469545801
ACH-000335,-0.02339425718876305
ACH-000336,-0.14152922541846594
ACH-000337,-0.09416203405635844
ACH-000338,-0.496464918468156
ACH-000339,-0.14105104514916728
