,DIXDC1 (85458)
ACH-000004,-0.07752083534603002
ACH-000005,-0.1798244733676886
ACH-000007,-0.0014440192658390536
ACH-000009,-0.13169653660090394
ACH-000011,-0.2211521045263096
ACH-000012,-0.0919223242157707
ACH-000013,-0.07149162003901817
ACH-000014,0.08395949023598367
ACH-000015,-0.08500964718508869
ACH-000017,-0.10241761985910984
ACH-000018,-0.15638182225605055
ACH-000019,-0.025080312374041312
ACH-000021,-0.07512997249148091
ACH-000022,-0.20859516880048729
ACH-000025,-0.20126480769030744
ACH-000028,-0.018431211744158085
ACH-000030,-0.11056441335622916
ACH-000035,-0.06800892254692131
ACH-000036,-0.1560841314747258
ACH-000037,-0.01384998110365268
ACH-000039,-0.374429726770292
ACH-000040,-0.2266802690968658
ACH-000041,0.04312240690451124
ACH-000042,-0.13151199902027166
ACH-000045,-0.1659541474320391
ACH-000047,-0.05136214213264858
ACH-000052,0.0830725749015076
ACH-000053,-0.18752928805445812
ACH-000054,-0.13925345799386665
ACH-000055,-0.1602825968735161
ACH-000060,-0.08067414015465417
ACH-000067,-0.18332557254947535
ACH-000070,-0.1649130224368483
ACH-000075,-0.1664757386719404
ACH-000078,-0.25682409476065343
ACH-000082,-0.1342729134342753
ACH-000085,-0.1652281931688789
ACH-000086,-0.1103265855654824
ACH-000087,-0.31723605161353025
ACH-000092,-0.09752755772559146
ACH-000095,-0.16931362233571298
ACH-000097,-0.18222225612017795
ACH-000098,0.06410531224249917
ACH-000099,-0.1468820475350012
ACH-000108,-0.1058327400202717
ACH-000113,-0.07531343596631218
ACH-000116,-0.08656996635835401
ACH-000118,-0.15898529003530845
ACH-000120,-0.10056668196651536
ACH-000123,-0.20696928072486165
ACH-000127,-0.07396804318212623
ACH-000128,-0.11606012623588678
ACH-000132,-0.15051539302241054
ACH-000133,-0.053523181626376336
ACH-000137,-0.0823109085663459
ACH-000138,-0.08351861251502922
ACH-000142,-0.04082864507896181
ACH-000143,-0.1080574720399921
ACH-000146,-0.1314732613748755
ACH-000148,-0.02351924289543301
ACH-000150,-0.26018242545571835
ACH-000152,-0.03708809985674591
ACH-000153,-0.054083564318170026
ACH-000159,-0.09029656090266397
ACH-000160,-0.05216161936656773
ACH-000163,0.01056904047729407
ACH-000167,0.06695406716271575
ACH-000168,-0.0986893339364749
ACH-000169,-0.10442065841999346
ACH-000178,0.010563543936267808
ACH-000183,-0.09378779587074616
ACH-000188,-0.14566381455661945
ACH-000189,-0.26212220456647056
ACH-000190,-0.16789883490612234
ACH-000198,-0.2481440197926865
ACH-000203,-0.2640850671284196
ACH-000204,-0.2612714473155273
ACH-000206,0.13709941043275847
ACH-000207,-0.27412973849522515
ACH-000208,-0.19233186961108406
ACH-000210,0.09678968541528588
ACH-000211,-0.11439498148820346
ACH-000215,-0.07647031491286713
ACH-000221,-0.05477551285954155
ACH-000222,-0.018690786695656242
ACH-000223,-0.07071966165495387
ACH-000226,-0.039768773368620364
ACH-000227,-0.17898374412728074
ACH-000228,-0.1069300641081704
ACH-000231,-0.11191710912407317
ACH-000232,-0.01296599315058108
ACH-000233,0.06527570511025084
ACH-000234,-0.16741320798384973
ACH-000235,-0.09965139373749493
ACH-000237,-0.2193095910805079
ACH-000238,-0.17962482163484988
ACH-000242,-0.0211943292758195
ACH-000243,0.02723563746808281
ACH-000244,-0.07643019094997543
ACH-000246,0.03464938997819934
ACH-000248,0.033199232524109584
ACH-000250,-0.09430718284501803
ACH-000251,-0.017036421229497643
ACH-000252,-0.08962930250051117
ACH-000253,-0.24583521154136115
ACH-000255,-0.026036335705341092
ACH-000256,-0.1888992238987536
ACH-000257,-0.06685706794657145
ACH-000258,-0.06805668620818943
ACH-000259,-0.14448766074710315
ACH-000260,-0.010125258471799457
ACH-000261,-0.062480914817995364
ACH-000262,0.09718700742831947
ACH-000263,-0.12410376323522455
ACH-000264,-0.10487213257979444
ACH-000265,-0.17157937320532635
ACH-000266,-0.1025826678531632
ACH-000272,-0.1034083192727278
ACH-000274,-0.6006674325377395
ACH-000277,-0.13115662663662309
ACH-000278,-0.3404930644756081
ACH-000279,-0.1414462953413876
ACH-000280,-0.0775252640219055
ACH-000281,-0.15132601850924882
ACH-000288,-0.04840913402462959
ACH-000291,-0.07417195335876023
ACH-000293,-0.194821444494383
ACH-000294,-0.07077179667283158
ACH-000295,0.08138279280861886
ACH-000296,-0.043227259202962526
ACH-000302,-0.03908813747646128
ACH-000304,-0.07653445198884815
ACH-000307,0.05762724266738053
ACH-000308,-0.16731973381466925
ACH-000310,-0.2699230798798205
ACH-000311,-0.11758469337718895
ACH-000312,-0.25915049611375784
ACH-000315,-0.10654770589583544
ACH-000316,-0.26541040340968275
ACH-000317,0.032978332754657565
ACH-000318,-0.1689306531054008
ACH-000319,-0.2591563744314295
ACH-000320,0.03959380528280728
ACH-000322,-0.2813220358381985
ACH-000323,-0.08174852779879135
ACH-000324,-0.11480832571891493
ACH-000329,-0.018811954514727888
ACH-000330,-0.19730960890661733
