,SEPN1 (57190)
ACH-000004,-0.1931017348522198
ACH-000005,-0.002622892776082443
ACH-000007,-0.10616715986482568
ACH-000009,0.024220341727413486
ACH-000011,-0.03577600726934964
ACH-000012,-0.1913456163734403
ACH-000013,-0.2055769770581763
ACH-000014,-0.0682751266715205
ACH-000015,-0.07790670335651723
ACH-000017,0.02997555281870484
ACH-000018,-0.23417545927240946
ACH-000019,0.04305678240641319
ACH-000021,-0.1373098106222828
ACH-000022,-0.08723325647173609
ACH-000025,-0.11935731756691595
ACH-000028,-0.2274552129295099
ACH-000030,-0.02426752976178944
ACH-000035,-0.10663357871555394
ACH-000036,-0.011073014008204922
ACH-000037,-0.16008147974598888
ACH-000039,-0.09687283650552593
ACH-000040,-0.17082661574379762
ACH-000041,-0.3201666403387175
ACH-000042,-0.015972903261509904
ACH-000045,-0.08316180550303334
ACH-000047,-0.09682981539502483
ACH-000052,-0.0479748679884105
ACH-000053,-0.03124563718815257
ACH-000054,-0.24693050777070574
ACH-000055,-0.3014948247228293
ACH-000060,-0.06268131310150883
ACH-000067,-0.1383706001907542
ACH-000070,-0.2596963971599424
ACH-000075,-0.2694753123746233
ACH-000078,-0.08344055918003611
ACH-000082,0.06970745826432932
ACH-000085,-0.26424901247705296
ACH-000086,-0.020276677426331026
ACH-000087,-0.08039058305866137
ACH-000092,-0.15502735474823467
ACH-000095,-0.1932114113376131
ACH-000097,0.04668226196773556
ACH-000098,-0.06865004643412463
ACH-000099,-0.03869549709624195
ACH-000108,-0.18229230526639964
ACH-000113,-0.16248371080084953
ACH-000116,-0.09179990641496427
ACH-000118,0.15269359493097595
ACH-000120,0.026225235910824284
ACH-000123,0.13409185837083154
ACH-000127,0.010941607323585864
ACH-000128,-0.06606399717683338
ACH-000132,-0.2295421665037613
ACH-000133,-0.011316096143926473
ACH-000137,-0.10044560685146216
ACH-000138,-0.06704196922872596
ACH-000142,-0.1922327191014797
ACH-000143,-0.25784063151864856
ACH-000146,-0.08908743964546928
ACH-000148,0.001840228631938768
ACH-000150,-0.3275537292175048
ACH-000152,-0.07231155699768324
ACH-000153,-0.04833972698553709
ACH-000159,0.001746140771633142
ACH-000160,-0.052602337190488416
ACH-000163,0.0353093818356985
ACH-000167,0.11396539311589265
ACH-000168,-0.2720091827451372
ACH-000169,-0.01839347256845399
ACH-000178,-0.15672405474620396
ACH-000183,0.12631936005058444
ACH-000188,-0.14336693832218805
ACH-000189,-0.15886515513145386
ACH-000190,-0.14884977241927266
ACH-000198,-0.15256769682690785
ACH-000203,-0.5824736581796587
ACH-000204,-0.06388329465806339
ACH-000206,0.007679801065386755
ACH-000207,0.15108114073751666
ACH-000208,-0.2475486023434751
ACH-000210,-0.14906203992632888
ACH-000211,0.014139682215935818
ACH-000215,-0.10946269882461962
ACH-000221,-0.1805280532134416
ACH-000222,-0.13078640104546366
ACH-000223,-0.21397843681389345
ACH-000226,-0.19588334243308345
ACH-000227,-0.024859433459364155
ACH-000228,-0.096275041929614
ACH-000231,-0.08158755893274093
ACH-000232,-0.0471344932375144
ACH-000233,-0.001920517087281656
ACH-000234,-0.2360518713843215
ACH-000235,-0.1460241361921067
ACH-000237,-0.06796203800297014
ACH-000238,-0.046565061243122485
ACH-000242,0.2086613055440914
ACH-000243,-0.1037735664992736
ACH-000244,-0.16953785993635614
ACH-000246,-0.09726886947897144
ACH-000248,-0.12541619021479905
ACH-000250,-0.0782297737645206
ACH-000251,-0.2257034380441396
ACH-000252,-0.24460041472927105
ACH-000253,-0.12429003106329638
ACH-000255,-0.04767184385619002
ACH-000256,0.01557562929534076
ACH-000257,-0.2532001077898294
ACH-000258,-0.03311474528594672
ACH-000259,-0.019457499649271726
ACH-000260,-0.16631443215077546
ACH-000261,-0.038348806663658856
ACH-000262,-0.18260670446572413
ACH-000263,0.243681771212414
ACH-000264,-0.01683739368920894
ACH-000265,-0.11889608100158446
ACH-000266,-0.07228580560635192
ACH-000272,-0.10408486826291403
ACH-000274,-0.1214026093341488
ACH-000277,-0.07105373345663345
ACH-000278,-0.07064788111782612
ACH-000279,-0.07305754007400933
ACH-000280,-0.0174184352131699
ACH-000281,-0.27035819655459953
ACH-000288,-0.2310351324943449
ACH-000291,-0.18222183294275648
ACH-000293,-0.24535456639240105
ACH-000294,-0.07321026266572181
ACH-000295,-0.07067964089388333
ACH-000296,-0.24630014058050226
ACH-000302,-0.062107066318782114
ACH-000304,0.07712282836532919
ACH-000307,0.0025068199963671693
ACH-000308,-0.029692116447992363
ACH-000310,-0.06395443356783137
ACH-000311,-0.09349836466804584
ACH-000312,-0.17037481706127247
ACH-000315,0.1365243582695892
ACH-000316,0.040572969269719567
ACH-000317,-0.12021180624883045
ACH-000318,-0.010998259486540471
ACH-000319,-0.06255341573751913
ACH-000320,-0.0275640912171104
ACH-000322,-0.10287820892973044
ACH-000323,-0.12209490955745515
ACH-000324,-0.10031011801826624
ACH-000329,-0.06798328349123957
ACH-000330,-0.01746838661312596
ACH-000331,-0.07534982019151612
ACH-000332,-0.12707527695465765
ACH-000334,0.03421984117990613
ACH-000335,-0.09037424213691823
ACH-000336,0.3362047251685675
ACH-000337,-0.0014377944826257825
ACH-000338,0.13459806728559592
ACH-000339,-0.05395609520992374
ACH-000341,-0.16732446970960935
ACH-000348,0.014332218127887932
ACH-000350,-0.12674665552342967
ACH-000352,-0.06618283428720374
ACH-000356,-0.10999609738117958
ACH-000361,-0.0431660263056691
ACH-000362,-0.10698020578354543
ACH-000363,-0.02360846438470104
ACH-000364,-0.17476816750575958
ACH-000365,-0.08098525088510443
ACH-000366,-0.05941006766510104
ACH-000368,-0.13432859745873932
ACH-000374,-0.08108938359421759
ACH-000375,-0.19972198532574076
ACH-000376,-0.17891768079699613
ACH-000381,-0.1201923673590708
ACH-000383,-0.017240553118053257
ACH-000387,-0.08690749806454537
