,TRHDE (29953)
ACH-000004,0.0549826871090926
ACH-000005,-0.274092406612421
ACH-000007,0.12951433319053274
ACH-000009,0.060947233357696425
ACH-000011,-0.0746247210312391
ACH-000012,-0.032214681141007145
ACH-000013,-0.032497180789997186
ACH-000014,-0.1557588560013326
ACH-000015,-0.11842994783563995
ACH-000017,-0.2122587207492393
ACH-000018,-0.06586858714255953
ACH-000019,0.013843514491621856
ACH-000021,-0.12203515338310335
ACH-000022,-0.14027535414828088
ACH-000025,-0.1797950678794711
ACH-000028,-0.05279183854406532
ACH-000030,-0.023567113614536263
ACH-000035,-0.21259771838101896
ACH-000036,-0.0712399046240733
ACH-000037,-0.1768476471258445
ACH-000039,-0.19120227232929585
ACH-000040,-0.20997399879676426
ACH-000041,-0.022358713973152332
ACH-000042,-0.07075389478491467
ACH-000045,-0.023210332259581815
ACH-000047,-0.14375100459905588
ACH-000052,-0.016107539376344474
ACH-000053,-0.05303491311390345
ACH-000054,-0.07782448537614739
ACH-000055,-0.12582494640219266
ACH-000060,-0.03190469466042197
ACH-000067,0.009930961283190336
ACH-000070,0.0029242744559472267
ACH-000075,-0.07758458212518604
ACH-000078,0.12157181967952775
ACH-000082,-0.08653284775037268
ACH-000085,-0.223166995138548
ACH-000086,-0.04547008461787986
ACH-000087,-0.1593732467008028
ACH-000092,-0.05673023935706474
ACH-000095,-0.0657885020976781
ACH-000097,-0.05745385746440451
ACH-000098,-0.07345786124546229
ACH-000099,-0.09442162954919654
ACH-000108,-0.14113515724867362
ACH-000113,-0.21846756371494253
ACH-000116,-0.05380234878856892
ACH-000118,-0.14905560754655608
ACH-000120,-0.13514876822406802
ACH-000123,-0.12494609990100272
ACH-000127,-0.04469463692997923
ACH-000128,-0.30006783529689424
ACH-000132,-0.062449566684458224
ACH-000133,-0.13460322249432913
ACH-000137,-0.15957014511988676
ACH-000138,-0.015619209976298155
ACH-000142,0.054647109594604185
ACH-000143,-0.17823060427419188
ACH-000146,-0.08338731665797383
ACH-000148,-0.11131443948601456
ACH-000150,-0.014707042720594926
ACH-000152,-0.006352870772268722
ACH-000153,-0.04685325295041758
ACH-000159,-0.0588598102697856
ACH-000160,-0.08702316437148469
ACH-000163,-0.17550971214478592
ACH-000167,0.08821930969030196
ACH-000168,0.03840521285875215
ACH-000169,-0.1070875544606166
ACH-000178,-0.014692138609741954
ACH-000183,-0.03175127434117675
ACH-000188,-0.08339605018889608
ACH-000189,-0.07295546559988086
ACH-000190,0.10667976108842163
ACH-000198,-0.10591322233296607
ACH-000203,-0.18828903386263468
ACH-000204,0.012575536094367208
ACH-000206,0.1304657286539629
ACH-000207,0.09984074291511977
ACH-000208,-0.3557782232253394
ACH-000210,-0.008237252878242035
ACH-000211,0.011575563164114287
ACH-000215,-0.08463018408402875
ACH-000221,0.01714743951088247
ACH-000222,-0.05336386332854602
ACH-000223,-0.04001852580168359
ACH-000226,-0.10643693700490496
ACH-000227,0.03102061411376745
ACH-000228,-0.008036379942347866
ACH-000231,-0.035743157831123834
ACH-000232,-0.06817955388208209
ACH-000233,-0.019803326712743197
ACH-000234,-0.12651532433113216
ACH-000235,-0.2264552497851389
ACH-000237,-0.08615859989644525
ACH-000238,-0.08551833365295991
ACH-000242,-0.30194521850277817
ACH-000243,-0.08738958071034973
ACH-000244,-0.0010904006181047619
ACH-000246,-0.0016123331100517302
ACH-000248,-0.1999421249826188
ACH-000250,0.06194129761968604
ACH-000251,-0.003885658649726746
ACH-000252,0.022786909930345385
ACH-000253,-0.0199152525332325
ACH-000255,0.05603274926715842
ACH-000256,-0.12958339090830231
ACH-000257,-0.15414234024845766
ACH-000258,-0.17129486285850332
ACH-000259,-0.04592417104831535
ACH-000260,-0.0231008640309619
ACH-000261,-0.16241129508718904
ACH-000262,-0.2610513969468977
ACH-000263,0.20216597202807596
ACH-000264,-0.006174554404113672
ACH-000265,-0.2250306099950941
ACH-000266,-0.10270860340692796
ACH-000272,-0.03794325565073859
ACH-000274,0.00947667374844173
ACH-000277,-0.08726941182199692
ACH-000278,-0.1889460355446948
ACH-000279,-0.059030299208899364
ACH-000280,-0.09493179810569922
ACH-000281,-0.040618801557603716
ACH-000288,-0.01068321783630783
ACH-000291,-0.100096855784593
ACH-000293,-0.12512899978172826
ACH-000294,-0.0994346466701474
ACH-000295,0.17381472783002108
ACH-000296,-0.1292053259349348
ACH-000302,-0.13190812395612858
ACH-000304,0.1749864048090133
ACH-000307,0.036039277170686
ACH-000308,-0.007850693989918217
ACH-000310,0.023319922727959786
ACH-000311,-0.18045481355061466
ACH-000312,-0.13669737172049606
ACH-000315,-0.11967787569404215
ACH-000316,0.031628794419603375
ACH-000317,-0.09788774283199894
ACH-000318,-0.006244587235171011
ACH-000319,-0.2138604772695784
ACH-000320,-0.137442190974435
ACH-000322,-0.03604543654725606
ACH-000323,-0.18023290043249504
ACH-000324,-0.05126465938437661
ACH-000329,-0.03967863605880754
ACH-000330,0.014441945339226282
ACH-000331,-0.17382261685181358
ACH-000332,-0.06814895975653798
ACH-000334,-0.08308388035668292
ACH-000335,-0.2482392734594993
ACH-000336,-0.02929874727950078
