,SORBS2 (8470)
ACH-000004,0.25710170813825456
ACH-000005,0.05830041765420761
ACH-000007,0.1508114614045738
ACH-000009,0.11727487447284005
ACH-000011,0.08830477648199737
ACH-000012,0.24856236292058384
ACH-000013,0.17143795243924706
ACH-000014,0.06943182556803297
ACH-000015,0.10048604402216678
ACH-000017,0.18338744209723584
ACH-000018,0.14583954638291954
ACH-000019,0.1174321425275422
ACH-000021,0.1069922287839607
ACH-000022,0.0150470739511511
ACH-000025,-0.07812786163855323
ACH-000028,0.2093975573884196
ACH-000030,0.1270488493435154
ACH-000035,0.20501132777720774
ACH-000036,-0.007201737786917474
ACH-000037,0.011467970373359416
ACH-000039,0.04510025869075534
ACH-000040,-0.07992354823393294
ACH-000041,0.017640520212215252
ACH-000042,0.043800549697983526
ACH-000045,0.08523481212631756
ACH-000047,0.08538072709284837
ACH-000052,0.049953435849090067
ACH-000053,0.06419511558875847
ACH-000054,0.1061416429076994
ACH-000055,0.14709257448025476
ACH-000060,0.012221046284976134
ACH-000067,0.03630872602807012
ACH-000070,-0.03644226359056734
ACH-000075,0.06238548745198776
ACH-000078,-0.06316756482135415
ACH-000082,0.16948156440956236
ACH-000085,0.355822167521677
ACH-000086,0.2080374915937472
ACH-000087,0.17400154416203814
ACH-000092,0.058348542275902734
ACH-000095,0.07068792620429801
ACH-000097,0.10499139745436492
ACH-000098,-0.022933981180359074
ACH-000099,-0.00517385583907247
ACH-000108,-0.04568282807948132
ACH-000113,0.18882900477479111
ACH-000116,0.10507341893373114
ACH-000118,0.08366914174592674
ACH-000120,0.07288242691540063
ACH-000123,0.10413624745308526
ACH-000127,0.11120862412411513
ACH-000128,0.21469455049550104
ACH-000132,0.10969827676336273
ACH-000133,0.29605816613777663
ACH-000137,0.27937977887242643
ACH-000138,0.057219251542683626
ACH-000142,0.07433610886294474
ACH-000143,0.01726852225274866
ACH-000146,0.04858888998926783
ACH-000148,0.024139763358345574
ACH-000150,0.07638338809119091
ACH-000152,0.0506986274035468
ACH-000153,0.1398610376568723
ACH-000159,0.08693908856464375
ACH-000160,0.20287646588491168
ACH-000163,0.06958426615392438
ACH-000167,-0.1405433349113243
ACH-000168,-0.0541205563856422
ACH-000169,0.038396830020818035
ACH-000178,0.07025924534271219
ACH-000183,0.029011607529404675
ACH-000188,0.15693181347452198
ACH-000189,0.04415231208683802
ACH-000190,0.16084722625660766
ACH-000198,-0.019189196933658663
ACH-000203,-0.5651312528362503
ACH-000204,-0.008983224428468686
ACH-000206,0.0902303192375396
ACH-000207,0.2377683621285581
ACH-000208,-0.0771594571174016
ACH-000210,0.08791093102612857
ACH-000211,0.032598167778096834
ACH-000215,0.05417856383072852
ACH-000221,0.11936377681906117
ACH-000222,0.07164666329782553
ACH-000223,0.06510620262257512
ACH-000226,0.15978560583875326
ACH-000227,-0.10189425839887148
ACH-000228,0.15476338528131456
ACH-000231,0.13998942726042254
ACH-000232,0.07595100633252755
ACH-000233,0.019980408523109536
ACH-000234,0.029745354951602774
ACH-000235,-0.015415672928165425
ACH-000237,0.037229455169896786
ACH-000238,-0.03125787097214991
ACH-000242,0.10789334537045432
ACH-000243,0.04965296035893249
ACH-000244,0.24364730081219624
ACH-000246,0.14363492504482295
ACH-000248,0.1565388634576792
ACH-000250,0.043156084297404265
ACH-000251,-0.025314006608346425
ACH-000252,0.2384962378371584
ACH-000253,0.1352495097341209
ACH-000255,0.1098934504862747
ACH-000256,0.24219330637528025
ACH-000257,0.2265042226851857
ACH-000258,0.008571151007646669
ACH-000259,0.1302328683583116
ACH-000260,0.02944600554715861
ACH-000261,-0.051475000479872746
ACH-000262,0.10854235523576436
ACH-000263,0.15127452376064196
ACH-000264,0.17525847684173984
ACH-000265,-0.0029830629342100785
ACH-000266,0.1144329459822254
ACH-000272,0.02769263189643365
ACH-000274,0.09629192860390462
ACH-000277,-0.06503023107616128
ACH-000278,0.05389142597304651
ACH-000279,0.007588423116788758
ACH-000280,0.0804800225404813
ACH-000281,-0.021141168742008668
ACH-000288,0.033676307139893766
ACH-000291,0.15756320473142854
ACH-000293,0.10801766782052724
