,SCRN3 (79634)
ACH-000004,-0.1036851319502983
ACH-000005,-0.04210300730454362
ACH-000007,0.07223223067047266
ACH-000009,-0.04782108656136816
ACH-000011,-0.15873811992886555
ACH-000012,-0.03924482792695238
ACH-000013,-0.10597599701994673
ACH-000014,-0.14771405951700647
ACH-000015,-0.10434941356131223
ACH-000017,0.007978839331863823
ACH-000018,-0.3277909543705421
ACH-000019,-0.1780946584162108
ACH-000021,0.033463078038328334
ACH-000022,-0.10443915769356923
ACH-000025,-0.03951295731670485
ACH-000028,-0.13469330827443102
ACH-000030,-0.16841989296145446
ACH-000035,-0.08185040518143513
ACH-000036,-0.0848568567132951
ACH-000037,-0.04351469561403228
ACH-000039,-0.07353528352873175
ACH-000040,0.08246065137226137
ACH-000041,-0.20051502964508225
ACH-000042,0.005173261509018906
ACH-000045,-0.057858017231696215
ACH-000047,-0.14149366403758215
ACH-000052,0.12131880747923593
ACH-000053,-0.08112460989376705
ACH-000054,-0.008855010225078853
ACH-000055,-0.12645917623931655
ACH-000060,-0.08651872604958896
ACH-000067,-0.1762844819876012
ACH-000070,0.11401831152773165
ACH-000075,0.07925234733288236
ACH-000078,-0.06056794175408284
ACH-000082,-0.03320368041350718
ACH-000085,-0.09243088638759138
ACH-000086,-0.11485377834729618
ACH-000087,0.18940016759637646
ACH-000092,-0.2662012464818615
ACH-000095,-0.13533362580132466
ACH-000097,0.04518583454848641
ACH-000098,-0.10171947570322312
ACH-000099,-0.10528888162532388
ACH-000108,-0.06386178715733558
ACH-000113,-0.08240594229381601
ACH-000116,-0.03859068814392769
ACH-000118,-0.11981681943246435
ACH-000120,-0.07788558999827375
ACH-000123,-0.04199360058344687
ACH-000127,-0.0902457116847285
ACH-000128,-0.002991413275178511
ACH-000132,0.033800888684950736
ACH-000133,-0.17781719299659485
ACH-000137,-0.06120122737277306
ACH-000138,-0.0022437571286298085
ACH-000142,-0.1725654992738208
ACH-000143,-0.024192758685268108
ACH-000146,-0.0028743314547203034
ACH-000148,-0.016009518013087337
ACH-000150,-0.06673488157737399
ACH-000152,-0.031638641705270885
ACH-000153,-0.3112231065279593
ACH-000159,-0.10290509073718536
ACH-000160,-0.054982255911028566
ACH-000163,-0.20382411669039024
ACH-000167,-0.205234635803444
ACH-000168,-0.2261877703355694
ACH-000169,-0.14607424931645993
ACH-000178,-0.033131004605444665
ACH-000183,-0.19970120495277435
ACH-000188,-0.0639491939846348
ACH-000189,-0.17650430622932814
ACH-000190,-0.049733127110188166
ACH-000198,0.010570374413809263
ACH-000203,0.09090420349252436
ACH-000204,-0.00305761771271318
ACH-000206,-0.08202521910235958
ACH-000207,0.010585662086318445
ACH-000208,0.3562461993521387
ACH-000210,-0.13410096033929772
ACH-000211,-0.12640736416568435
ACH-000215,-0.15269329157661155
ACH-000221,0.0015629009495699525
ACH-000222,-0.06631716317604824
ACH-000223,-0.21452923251193626
ACH-000226,0.002389362950964671
ACH-000227,-0.06822000352267643
ACH-000228,-0.17529258468708636
ACH-000231,-0.06964236048771506
ACH-000232,-0.08408822627099358
ACH-000233,0.0706038912012136
ACH-000234,-0.1428819232814387
ACH-000235,-0.08533285697230507
ACH-000237,-0.03663568154256791
ACH-000238,-0.16726454807679605
ACH-000242,-0.048578372653510934
ACH-000243,-0.1236389432538467
ACH-000244,-0.09986126616179347
ACH-000246,-0.082855776891965
ACH-000248,-0.002690012865604348
ACH-000250,-0.11515020596332905
ACH-000251,-0.06413542708312654
ACH-000252,-0.03140416611718468
ACH-000253,-0.14160456617141973
ACH-000255,-0.14406565412534994
ACH-000256,-0.032127885566101536
ACH-000257,-0.16661351756726067
ACH-000258,-0.1277296172726895
ACH-000259,-0.11343068384029086
ACH-000260,-0.10917003114827656
ACH-000261,-0.008567127682810384
ACH-000262,-0.0989337201348119
ACH-000263,0.0807378819192241
ACH-000264,-0.12676157181738054
ACH-000265,-0.09471235687909503
ACH-000266,-0.12595356636667465
ACH-000272,-0.14243309346992095
ACH-000274,-0.12246368489469245
ACH-000277,-0.06997513276836483
ACH-000278,-0.28014859938447384
ACH-000279,-0.2251450071031349
ACH-000280,-0.02397429302200737
ACH-000281,-0.07381700970935376
ACH-000288,-0.09359371543510232
ACH-000291,-0.014903570910381931
ACH-000293,0.04376651108745288
ACH-000294,-0.050963397245837205
ACH-000295,0.014125737869611903
ACH-000296,0.013838486330594445
ACH-000302,-0.09108706361283106
ACH-000304,0.0821058981597074
ACH-000307,-0.11228866167817242
ACH-000308,-0.0738650468591027
ACH-000310,-0.0932534277412989
ACH-000311,-0.1049511409987874
ACH-000312,-0.12308166909027535
ACH-000315,-0.30725608634018964
ACH-000316,-0.13050681806548525
ACH-000317,0.06651063839907645
ACH-000318,-0.07479153819432474
ACH-000319,0.007138407131288383
ACH-000320,0.054926721696862
ACH-000322,-0.09694352811035307
ACH-000323,-0.07735318588023253
ACH-000324,-0.06636212290584716
ACH-000329,-0.17214980216855505
ACH-000330,-0.057471734888629236
ACH-000331,-0.11055861230449517
ACH-000332,-0.08315248499982614
ACH-000334,-0.13135755749667807
ACH-000335,0.014714891662572881
ACH-000336,-0.17098204985243134
ACH-000337,-0.16997108548501855
ACH-000338,-0.2363273810857931
ACH-000339,-0.0136921399045932
ACH-000341,-0.16565563451253587
ACH-000348,0.00021636761895172806
ACH-000350,0.07578273616480248
ACH-000352,0.020605808957114426
ACH-000356,-0.10935671826260736
ACH-000361,0.06650234465032852
ACH-000362,-0.14910813645177212
ACH-000363,-0.048567613913698654
ACH-000364,-0.09169165911657112
ACH-000365,-0.006679759149763547
ACH-000366,-0.04669846827475223
ACH-000368,0.011206689354739079
ACH-000374,-0.15697099009988666
ACH-000375,0.002018271635088173
ACH-000376,-0.10917202694016108
ACH-000381,-0.2143301498306908
ACH-000383,-0.11960354554917164
ACH-000387,-0.2864679142633393
ACH-000389,-0.09877277839991144
ACH-000390,-0.10716664371677972
ACH-000393,-0.04873528586621608
ACH-000395,-0.060717841949527375
ACH-000396,-0.06104938919647265
ACH-000397,-0.08415726703363749
ACH-000401,-0.10029162614532176
ACH-000402,0.11253358599041603
ACH-000403,-0.1385188432202383
ACH-000404,-0.14292571290848566
ACH-000406,-0.12417159098795633
ACH-000407,-0.21810450353249405
ACH-000408,-0.05679952835886533
ACH-000410,-0.1943403756646789
ACH-000411,-0.013177437312738145
ACH-000414,-0.22904016625193654
ACH-000415,-0.14226921729057582
ACH-000416,-0.14928803782461042
ACH-000420,-0.2093629631032264
ACH-000421,-0.07672225144079235
ACH-000424,-0.10155411465306016
ACH-000425,-0.11109879409014972
ACH-000426,0.11366791367160838
ACH-000427,-0.1001684753796179
ACH-000433,-0.1797562668788091
ACH-000435,-0.2895050591866026
ACH-000436,-0.23174585202597175
ACH-000444,0.0024286772033135662
ACH-000445,-0.012424857398029638
ACH-000448,-0.1549047251407165
ACH-000450,-0.11068578856831436
ACH-000452,-0.08902941689078481
ACH-000454,0.025607404870703485
ACH-000458,-0.025268359490032685
ACH-000459,0.004911576904585151
ACH-000460,-0.12910381447006986
ACH-000461,-0.1367570492863297
ACH-000463,0.03620376938655958
ACH-000464,-0.016615586518620128
ACH-000466,-0.16611758388411424
ACH-000467,-0.10241829657919603
ACH-000468,-0.08905938695712731
ACH-000469,-0.06344068408616749
ACH-000470,-0.11006772010823143
ACH-000471,-0.20928968185529973
ACH-000472,-0.07856434823120195
ACH-000473,0.018207743769182997
