,PRMT5 (10419)
ACH-000004,-1.3317563303908848
ACH-000005,-1.3495939145779134
ACH-000007,-1.0197381554427818
ACH-000009,-0.9797658723212204
ACH-000011,-1.1732830809595476
ACH-000012,-0.8886693333688751
ACH-000013,-1.2223843359650537
ACH-000014,-1.1775218475762872
ACH-000015,-1.053541946671633
ACH-000017,-0.9732619828075044
ACH-000018,-1.0658414706902497
ACH-000019,-0.9980909445808492
ACH-000021,-1.0064966845336485
ACH-000022,-1.0855440971167187
ACH-000025,-1.0140625101559444
ACH-000028,-1.0223277508539816
ACH-000030,-1.0382079634649888
ACH-000035,-1.3547694820295038
ACH-000036,-1.056997282707541
ACH-000037,-1.1759824738371902
ACH-000039,-0.908179626276342
ACH-000040,-0.9252951917176382
ACH-000041,-1.0249597900831298
ACH-000042,-1.1563528137253416
ACH-000045,-0.8442254123611608
ACH-000047,-1.0111693490165259
ACH-000052,-0.8512748802118655
ACH-000053,-0.8991574237302812
ACH-000054,-0.8726947330605163
ACH-000055,-0.9081684456443836
ACH-000060,-1.1392393308585196
ACH-000067,-0.9823054516298472
ACH-000070,-1.052107521834749
ACH-000075,-1.4344928831861508
ACH-000078,-1.0797260239053552
ACH-000082,-0.7461890059594039
ACH-000085,-1.3944012139753517
ACH-000086,-0.9171694935120548
ACH-000087,-1.1476740638203504
ACH-000092,-0.9494055988363213
ACH-000095,-0.8926515537900449
ACH-000097,-0.8710219956987786
ACH-000098,-0.9970688520964374
ACH-000099,-0.9001912337463667
ACH-000108,-1.1855311492722935
ACH-000113,-0.8471561063428834
ACH-000116,-1.1583199874816876
ACH-000118,-0.891152460540079
ACH-000120,-0.9707856355397418
ACH-000123,-1.0461522246874884
ACH-000127,-1.0868883585693827
ACH-000128,-0.8515197381833617
ACH-000132,-0.7102029011117468
ACH-000133,-0.9819658825498324
ACH-000137,-1.1828328000446686
ACH-000138,-0.9086884374485931
ACH-000142,-0.9659295443146032
ACH-000143,-1.167393068417553
ACH-000146,-1.0093592532203066
ACH-000148,-1.155600019728194
ACH-000150,-1.0764317240255892
ACH-000152,-0.8783568717080731
ACH-000153,-1.3380366022454142
ACH-000159,-1.0225589475172578
ACH-000160,-0.5911940242643956
ACH-000163,-1.0023620872582482
ACH-000167,-0.3869385975918547
ACH-000168,-1.406899708320053
ACH-000169,-0.7819672231537841
ACH-000178,-0.9236970737944944
ACH-000183,-0.9843600094501228
ACH-000188,-1.0756745071543028
ACH-000189,-1.0895869764120425
ACH-000190,-0.49213261393524893
ACH-000198,-0.9386264667280454
ACH-000203,-1.300921366057366
ACH-000204,-1.1511194955775772
ACH-000206,-0.7179332115724126
ACH-000207,-0.8313767461484709
ACH-000208,-0.9949941064566252
ACH-000210,-0.8121696436120159
ACH-000211,-1.0826936814643835
ACH-000215,-0.9863587117576604
ACH-000221,-0.8847946770269794
ACH-000222,-1.094834371233674
ACH-000223,-0.8882602841656304
ACH-000226,-0.881481875143804
ACH-000227,-0.5273998836226985
ACH-000228,-1.1648562692694089
ACH-000231,-1.0272099082719934
ACH-000232,-0.8474791265062219
ACH-000233,-0.8172569293779846
ACH-000234,-0.8523875590909029
ACH-000235,-0.90025350176977
ACH-000237,-0.9942086037468798
ACH-000238,-0.995330547667718
ACH-000242,-0.9308026298665856
ACH-000243,-1.121678665315696
ACH-000244,-1.2502601102462925
ACH-000246,-1.1055720142556584
ACH-000248,-1.0298208786046152
ACH-000250,-0.9963760210592879
ACH-000251,-1.172368840820286
ACH-000252,-0.8511586489487268
ACH-000253,-0.8402708280954779
ACH-000255,-1.0007740856856937
ACH-000256,-0.8319271807512065
ACH-000257,-0.634638601756308
ACH-000258,-0.5541312871199335
ACH-000259,-1.0846780771638431
ACH-000260,-1.0123058590434972
ACH-000261,-1.0939525237468009
ACH-000262,-1.219742204735597
ACH-000263,-0.7798973854665346
ACH-000264,-0.8703662596944003
ACH-000265,-1.0288722427593946
ACH-000266,-0.8789935329282056
ACH-000272,-0.7328856313448618
