,SEBOX (645832)
ACH-000004,-0.06712726901692466
ACH-000005,-0.1534948845356859
ACH-000007,-0.1105994407768034
ACH-000009,-0.15364351414710195
ACH-000011,-0.3247325792404729
ACH-000012,-0.07707926843843868
ACH-000013,-0.1849776656432133
ACH-000014,-0.09116624113647384
ACH-000015,-0.03399809079175805
ACH-000017,-0.25672071022031057
ACH-000018,-0.2248093919480272
ACH-000019,-0.16806114113208825
ACH-000021,-0.199523404430448
ACH-000022,-0.4809893771718251
ACH-000025,0.0003540743338019937
ACH-000028,-0.18944090559240773
ACH-000030,-0.18897323200125368
ACH-000035,-0.183853129002412
ACH-000036,-0.10881340819850817
ACH-000037,-0.09172335202912396
ACH-000039,-0.2338252291585883
ACH-000040,-0.05994002169598036
ACH-000041,-0.3425941526084618
ACH-000042,-0.029983638054842894
ACH-000045,-0.0767063963606652
ACH-000047,-0.19152973835214696
ACH-000052,-0.11265149475802465
ACH-000053,0.03320508624585723
ACH-000054,-0.1325670281555192
ACH-000055,-0.04389569282151316
ACH-000060,-0.07244878005037217
ACH-000067,-0.19767798336720316
ACH-000070,-0.15494502907960422
ACH-000075,-0.1346813339702183
ACH-000078,-0.05049122821973229
ACH-000082,-0.1930755446971123
ACH-000085,-0.07451649636235687
ACH-000086,-0.12551175916682966
ACH-000087,-0.001403732874189356
ACH-000092,-0.03432438247343942
ACH-000095,-0.3472652250178151
ACH-000097,-0.14154133761354318
ACH-000098,-0.027471400612934845
ACH-000099,-0.03671425470299875
ACH-000108,-0.12206000240805223
ACH-000113,-0.1199230809669175
ACH-000116,-0.2598914758813015
ACH-000118,-0.033956984927723345
ACH-000120,0.005302286648713633
ACH-000123,-0.1074967527981609
ACH-000127,-0.030641383824105407
ACH-000128,-0.22035472744071635
ACH-000132,-6.360996131905056e-05
ACH-000133,-0.03932285461538915
ACH-000137,-0.1355758990997844
ACH-000138,-0.0791577647701693
ACH-000142,-0.20271732097847395
ACH-000143,-0.12645752069496652
ACH-000146,-0.1607691468301762
ACH-000148,-0.18864835546634373
ACH-000150,-0.07049193075020259
ACH-000152,-0.12713760181998918
ACH-000153,-0.07476210383365361
ACH-000159,-0.03450186517508616
ACH-000160,-0.1592293214469574
ACH-000163,-0.07407953047770317
ACH-000167,0.11499246025581505
ACH-000168,0.13480433044403825
ACH-000169,-0.23060627477984424
ACH-000178,-0.14180327077142998
ACH-000183,-0.1625600462007092
ACH-000188,-0.14433505940735872
ACH-000189,-0.1051787666303278
ACH-000190,-0.2858520550743233
ACH-000198,-0.05904351483233908
ACH-000203,0.33655689567378305
ACH-000204,-0.2395095070467563
ACH-000206,0.14654577458379014
ACH-000207,0.051771150747586286
ACH-000208,-0.2663809750028145
ACH-000210,-0.2610857678483957
ACH-000211,-0.2038950781005217
ACH-000215,-0.17514671953522082
ACH-000221,-0.12043639392756965
ACH-000222,-0.012722223347569629
ACH-000223,-0.10968797391075798
ACH-000226,-0.1124044349610264
ACH-000227,-0.03634878701344275
ACH-000228,-0.05027150542995165
ACH-000231,-0.054318650634779767
ACH-000232,-0.1355053339623324
ACH-000233,-0.044819421442225664
ACH-000234,-0.2437011114838709
ACH-000235,-0.14454970490886546
ACH-000237,-0.03043410593247348
ACH-000238,0.0017703773631390222
ACH-000242,0.08906973265685332
ACH-000243,-0.1741020776599985
ACH-000244,0.032335513636619434
ACH-000246,-0.08564277074496354
ACH-000248,-0.30044091867705786
ACH-000250,-0.12840130877191638
ACH-000251,-0.06180495457814734
ACH-000252,-0.1255455185965766
ACH-000253,-0.008749901318944897
