,DHPS (1725)
ACH-000004,-1.2531613452467447
ACH-000005,-1.2167340213313833
ACH-000007,-1.098645632666772
ACH-000009,-1.0040467509585598
ACH-000011,-0.9071290313987708
ACH-000012,-1.0081196106187773
ACH-000013,-1.0532874268464194
ACH-000014,-0.8866377517179994
ACH-000015,-1.1453432101221626
ACH-000017,-1.3603929584851957
ACH-000018,-1.2259541869712671
ACH-000019,-0.6524450137177821
ACH-000021,-1.0238219956656869
ACH-000022,-1.1962910210514317
ACH-000025,-0.9994414115853534
ACH-000028,-0.9898570359536216
ACH-000030,-1.0082740288460121
ACH-000035,-1.0400680128074256
ACH-000036,-1.0032844608628808
ACH-000037,-0.35822664583864644
ACH-000039,-1.0056515814741744
ACH-000040,-0.9460146431574068
ACH-000041,-1.2011564813030302
ACH-000042,-0.9209725930709596
ACH-000045,-0.7107621581453532
ACH-000047,-0.938276031667776
ACH-000052,-0.8427822054322247
ACH-000053,-0.6136769572093042
ACH-000054,-0.7368675882009111
ACH-000055,-0.9737614940996971
ACH-000060,-0.9147097167281129
ACH-000067,-1.1877594255926365
ACH-000070,-0.8669059625047335
ACH-000075,-1.0345174951970026
ACH-000078,-0.8217177746199616
ACH-000082,-0.6002288816191632
ACH-000085,-1.2333130796626859
ACH-000086,-1.0473554757286505
ACH-000087,-0.8664392828201314
ACH-000092,-0.8443631265758376
ACH-000095,-0.736203252933936
ACH-000097,-0.7491945208898327
ACH-000098,-1.0891216222447389
ACH-000099,-0.8143523443832513
ACH-000108,-0.8042935019656052
ACH-000113,-0.7784980455649453
ACH-000116,-1.148605944994464
ACH-000118,-0.7303379635772321
ACH-000120,-1.0597146992479618
ACH-000123,-0.7873348016765167
ACH-000127,-0.8046894882904617
ACH-000128,-1.0261574374781828
ACH-000132,-0.8236898315733867
ACH-000133,-0.7841048523008871
ACH-000137,-0.7717334783921992
ACH-000138,-1.0294215906718625
ACH-000142,-1.0873524699955674
ACH-000143,-0.9610977155587932
ACH-000146,-0.8257328566433825
ACH-000148,-0.8629793602218708
ACH-000150,-1.1386158802714046
ACH-000152,-0.7793052927382841
ACH-000153,-0.8688992820653059
ACH-000159,-0.4830494379553319
ACH-000160,-0.8362353380865649
ACH-000163,-0.928579460072657
ACH-000167,-0.7669664755682013
ACH-000168,-0.9527061216475194
ACH-000169,-0.7075299334476578
ACH-000178,-0.9131114150405938
ACH-000183,-0.6609122691491771
ACH-000188,-0.9467666046010452
ACH-000189,-0.4392026435373391
ACH-000190,-0.9110860314647204
ACH-000198,-0.7344249654299494
ACH-000203,-0.9549892780725604
ACH-000204,-0.5816311682663609
ACH-000206,-0.8288206538919383
ACH-000207,-0.6908781852628894
ACH-000208,-0.98646364175221
ACH-000210,-0.4720658897063157
ACH-000211,-0.9672833808447808
ACH-000215,-0.9540554149986842
ACH-000221,-0.9835636913436728
