,RAPSN (5913)
ACH-000004,0.10803143870766582
ACH-000005,-0.05259933656059526
ACH-000007,-0.08511776076758093
ACH-000009,0.1301140100874807
ACH-000011,0.12925279702834533
ACH-000012,-0.016154427082024834
ACH-000013,-0.07605813491513222
ACH-000014,0.038600361469615166
ACH-000015,0.003031707206774418
ACH-000017,0.008920764827705761
ACH-000018,0.10225575690574476
ACH-000019,-0.10441044085139543
ACH-000021,-0.08043244086645296
ACH-000022,-0.018876521663672482
ACH-000025,0.007313105363044795
ACH-000028,-0.1153647301348806
ACH-000030,-0.06926460588863574
ACH-000035,0.14798908941202946
ACH-000036,0.16149698671356238
ACH-000037,0.055086173926315665
ACH-000039,0.10192100213441564
ACH-000040,0.10273225037707186
ACH-000041,-0.0010125486080120073
ACH-000042,-0.018238190393323445
ACH-000045,0.018767689092999085
ACH-000047,0.0016567267486404516
ACH-000052,-0.08120865806212943
ACH-000053,0.01554765419650665
ACH-000054,0.09007483050538567
ACH-000055,0.30608931040172577
ACH-000060,0.16702138545077047
ACH-000067,0.0901302591100043
ACH-000070,-0.20696399638646004
ACH-000075,-0.038810237372311394
ACH-000078,0.04624957132539035
ACH-000082,0.0492019316065544
ACH-000085,0.04252290232018464
ACH-000086,-0.07196541222213344
ACH-000087,0.006962312300560565
ACH-000092,0.0967248755940346
ACH-000095,0.13770844546337008
ACH-000097,0.0229284050429929
ACH-000098,0.02692443689439035
ACH-000099,0.03438092716751872
ACH-000108,0.014351578562656156
ACH-000113,-0.07208880289715289
ACH-000116,-0.0018036715617866504
ACH-000118,0.0073625242146180435
ACH-000120,-0.061612128000487223
ACH-000123,0.031890380553592015
ACH-000127,0.04381652290356913
ACH-000128,0.14584220079283758
ACH-000132,-0.04325475360420241
ACH-000133,0.0005080878415978763
ACH-000137,-0.02597961291555081
ACH-000138,0.035890482911662615
ACH-000142,0.08491654809182632
ACH-000143,0.297175434368937
ACH-000146,0.0389711042454529
ACH-000148,-0.008129357553907327
ACH-000150,0.029964518722114274
ACH-000152,0.21977147639521166
ACH-000153,0.15206942152303965
ACH-000159,0.029350901500859776
ACH-000160,0.08348171110388691
ACH-000163,0.1268916717857247
ACH-000167,-0.07692745035163141
ACH-000168,0.003288262836472431
ACH-000169,0.16348249804853576
ACH-000178,0.07520444502917062
ACH-000183,0.11560696355093387
ACH-000188,0.03625120089851686
ACH-000189,-0.19912038398246165
