,ORAOV1 (220064)
ACH-000004,-1.3523736895982414
ACH-000005,-1.43283745162537
ACH-000007,-1.2903112242455368
ACH-000009,-1.2429119683200782
ACH-000011,-1.23889328014247
ACH-000012,-1.0305739420647948
ACH-000013,-1.3008707609550043
ACH-000014,-1.0917825619992776
ACH-000015,-1.245315468075707
ACH-000017,-1.2550515615578894
ACH-000018,-1.2382143003158257
ACH-000019,-1.012095387714081
ACH-000021,-1.2303076717905277
ACH-000022,-1.2142060304078777
ACH-000025,-1.121074663927821
ACH-000028,-1.1836781052506211
ACH-000030,-1.3068639714860144
ACH-000035,-1.1845142580401455
ACH-000036,-1.2776456380399228
ACH-000037,-1.3849159366548591
ACH-000039,-1.2179158555264702
ACH-000040,-1.0265487802007185
ACH-000041,-1.0565462011679354
ACH-000042,-1.1518191638701027
ACH-000045,-1.209180227007182
ACH-000047,-1.076743217061495
ACH-000052,-1.382482372702554
ACH-000053,-1.294588526649934
ACH-000054,-1.3168188904504894
ACH-000055,-1.152782268930436
ACH-000060,-1.1489126401880203
ACH-000067,-1.1098232492305853
ACH-000070,-1.202984411850036
ACH-000075,-1.1237467360838846
ACH-000078,-1.213048732638066
ACH-000082,-1.1269017354113922
ACH-000085,-1.2537194625620205
ACH-000086,-1.4948647087179467
ACH-000087,-1.26326766876787
ACH-000092,-1.445214470341324
ACH-000095,-0.9508205987429312
ACH-000097,-0.9727694396667768
ACH-000098,-1.3076063523682082
ACH-000099,-1.2422377539433838
ACH-000108,-1.1814638677675855
ACH-000113,-1.2069841063551012
ACH-000116,-1.0631272478849174
ACH-000118,-1.2185880662888469
ACH-000120,-1.333597750446259
ACH-000123,-1.3210402618779231
ACH-000127,-1.2339976447207015
ACH-000128,-1.3120549600167293
ACH-000132,-1.1572655097005689
ACH-000133,-1.1752007036820282
ACH-000137,-1.1621518068837495
ACH-000138,-1.24786569876196
ACH-000142,-1.093782673351391
ACH-000143,-1.2034560715378195
ACH-000146,-1.419836627494589
ACH-000148,-1.3817296712890241
ACH-000150,-1.1998754475924758
ACH-000152,-1.3890744568577733
ACH-000153,-1.4418011913969997
ACH-000159,-1.2503859486735558
ACH-000160,-1.5058746671669343
ACH-000163,-1.2248236211002477
ACH-000167,-1.9392380556414144
ACH-000168,-1.0676602563809503
ACH-000169,-1.226969628042624
ACH-000178,-1.2110144570380166
ACH-000183,-1.1937558021824122
ACH-000188,-0.8560120548889422
ACH-000189,-1.4034400244629504
ACH-000190,-1.5617900887652356
ACH-000198,-1.0937798494166122
ACH-000203,-0.6183979385916517
ACH-000204,-1.105010093320396
ACH-000206,-1.0460088234658205
ACH-000207,-1.3071026325145731
ACH-000208,-1.097087358236286
ACH-000210,-1.0883573193055611
ACH-000211,-1.2019464794812742
ACH-000215,-1.3100174484699267
ACH-000221,-1.3550460483013609
ACH-000222,-1.2657282954881104
ACH-000223,-1.291994161225562
ACH-000226,-1.0503066043741438
ACH-000227,-1.0384937140918444
ACH-000228,-1.15497980293826
ACH-000231,-1.386061371060208
ACH-000232,-1.2715028580089194
ACH-000233,-1.4008802295221454
ACH-000234,-1.1627969630362491
ACH-000235,-1.2160329447616631
ACH-000237,-1.2475469714866514
ACH-000238,-0.997770313644412
ACH-000242,-1.1705082117114252
ACH-000243,-1.1281724287968191
ACH-000244,-0.891878373793443
ACH-000246,-1.2517141982121402
ACH-000248,-1.1120066817597742
ACH-000250,-1.1936628468493389
ACH-000251,-1.0350050295263895
ACH-000252,-1.352348569339609
ACH-000253,-1.3051202177279233
ACH-000255,-0.923666949462514
ACH-000256,-1.1821603850941484
ACH-000257,-1.066246878263952
ACH-000258,-1.3337942463885697
ACH-000259,-1.286238441653306
ACH-000260,-1.0659459861245058
ACH-000261,-1.121845522686472
ACH-000262,-0.9998395879086908
ACH-000263,-0.8432196055010096
ACH-000264,-0.993696099846474
ACH-000265,-0.999630882532066
ACH-000266,-1.0074979547276277
ACH-000272,-1.1994395211618238
ACH-000274,-0.3046043307369917
ACH-000277,-1.0730732933872809
ACH-000278,-1.1028540873381256
ACH-000279,-1.357952347427125
ACH-000280,-1.3729059847171563
ACH-000281,-1.2105722872927829
ACH-000288,-1.3406296571849032
ACH-000291,-1.4389804906938832
ACH-000293,-1.1421142808537823
ACH-000294,-1.5054399370957297
ACH-000295,-1.2224073685545849
ACH-000296,-1.2185194444085965
ACH-000302,-1.2218475804155309
ACH-000304,-1.340484238189745
ACH-000307,-1.1874641569786732
ACH-000308,-1.351623824537422
ACH-000310,-0.8943960767853227
ACH-000311,-1.146511453814428
ACH-000312,-1.1682199310930552
ACH-000315,-1.0847277602551326
ACH-000316,-0.6399476690609872
ACH-000317,-1.33962486310982
ACH-000318,-1.1582536984566776
ACH-000319,-1.333352510841549
ACH-000320,-1.2378282341668798
ACH-000322,-1.4845021803107947
ACH-000323,-1.1771328910778502
ACH-000324,-1.177152804382506
ACH-000329,-1.2539567563175755
ACH-000330,-1.2462838425356424
ACH-000331,-1.0472250037181392
ACH-000332,-1.1210438067725432
ACH-000334,-0.8385777525711092
ACH-000335,-0.9948387454102892
ACH-000336,-1.0543173000082684
ACH-000337,-1.0803138832710395
ACH-000338,-1.4896518264441558
ACH-000339,-1.251857707046662
ACH-000341,-1.299009208189231
ACH-000348,-1.2732108476361017
ACH-000350,-0.906669633100088
ACH-000352,-1.027503289539582
ACH-000356,-1.160132006469137
ACH-000361,-1.3319546087891072
ACH-000362,-1.2128841137749349
ACH-000363,-0.9488653484963072
ACH-000364,-1.2889097505496223
ACH-000365,-1.3046191392024291
ACH-000366,-1.3906055959155577
ACH-000368,-1.1181827554097146
ACH-000374,-0.8679175106787663
ACH-000375,-1.163712094099311
ACH-000376,-1.054422166209785
ACH-000381,-1.111952394029586
ACH-000383,-1.1805504674336966
ACH-000387,-1.0384138935772038
ACH-000389,-1.0133276612341715
ACH-000390,-1.3008086047422482
ACH-000393,-1.2341971802018439
ACH-000395,-1.3341527409312923
ACH-000396,-1.396804797602843
ACH-000397,-1.2303088958751327
ACH-000401,-1.3114129517352833
ACH-000402,-1.1262193061402817
ACH-000403,-1.0935956216005944
ACH-000404,-1.5645571686845636
ACH-000406,-1.251651613935692
ACH-000407,-1.30148581325196
ACH-000408,-1.179902360945018
ACH-000410,-1.182513698229372
ACH-000411,-1.0731343327877036
ACH-000414,-1.3119305946852091
ACH-000415,-0.7465308712851485
ACH-000416,-1.2189262885288994
ACH-000420,-1.4332976465996259
ACH-000421,-1.310631001916665
ACH-000424,-1.1205705677907367
ACH-000425,-1.4241180548537875
ACH-000426,-1.3571409341424632
ACH-000427,-1.1228753111305338
ACH-000433,-1.1215436597327084
ACH-000435,-1.0017385069336235
ACH-000436,-0.5802059006452118
ACH-000444,-1.2903060075518245
ACH-000445,-1.1243179300659183
ACH-000448,-0.9806237916352208
ACH-000450,-1.2191013910415884
ACH-000452,-1.189808496732082
ACH-000454,-1.081443358839076
ACH-000458,-0.8935171812685925
ACH-000459,-1.535475053135532
ACH-000460,-1.1971926950671452
ACH-000461,-1.0379332529732916
ACH-000463,-1.3109181021168614
ACH-000464,-1.0423897840190597
ACH-000466,-1.448155589335252
ACH-000467,-1.0710180964838472
ACH-000468,-1.2399487220206555
ACH-000469,-1.1080030370215803
ACH-000470,-1.3485524820774402
ACH-000471,-0.9405893402557508
ACH-000472,-1.24082601986659
ACH-000473,-1.1599597303534128
ACH-000475,-1.115575997425818
ACH-000476,-0.9568590019062652
ACH-000477,-1.2140264480373602
ACH-000479,-1.2691606713445192
ACH-000480,-1.229175122538636
ACH-000481,-1.1908348580277222
ACH-000483,-1.0581819511089734
ACH-000484,-1.3784735116137492
ACH-000485,-1.1009340693815233
ACH-000486,-0.6039027219535558
ACH-000487,-1.208975213154126
ACH-000488,-0.9119354831119396
ACH-000490,-1.269841403918731
