,ARID3C (138715)
ACH-000004,-0.2193926598701904
ACH-000005,-0.3624972501741473
ACH-000007,-0.18696241865027355
ACH-000009,-0.19574049118498832
ACH-000011,-0.2652426478089922
ACH-000012,-0.1826777803140426
ACH-000013,-0.13114398783442732
ACH-000014,-0.13027762291705422
ACH-000015,-0.21479113478822687
ACH-000017,-0.2991679418143429
ACH-000018,-0.13952358026805514
ACH-000019,-0.1672181216855863
ACH-000021,-0.1993889959414304
ACH-000022,-0.09035604344120923
ACH-000025,-0.21630305008795733
ACH-000028,0.01345318733347539
ACH-000030,-0.20357145298186105
ACH-000035,-0.2940510312397497
ACH-000036,-0.18117684791860972
ACH-000037,-0.3589680518704844
ACH-000039,-0.2310499814446017
ACH-000040,-0.12487965041881853
ACH-000041,-0.42907182894984813
ACH-000042,-0.1815816077675016
ACH-000045,-0.0659289323092878
ACH-000047,-0.20050079794719397
ACH-000052,0.037543530729894865
ACH-000053,-0.07510430396219359
ACH-000054,-0.2753505434310533
ACH-000055,-0.16867451454783816
ACH-000060,-0.21686288111217947
ACH-000067,-0.018141252616852708
ACH-000070,-0.28527848404174105
ACH-000075,-0.2445522643163641
ACH-000078,-0.2916191712840607
ACH-000082,-0.26383832012244024
ACH-000085,-0.750865414726121
ACH-000086,-0.10009070635929736
ACH-000087,-0.3567868647538221
ACH-000092,-0.3946243293738239
ACH-000095,-0.19515165676428825
ACH-000097,-0.15383520557891367
ACH-000098,-0.2559487918575784
ACH-000099,-0.2088756066896226
ACH-000108,-0.060631208578143775
ACH-000113,-0.058327947054541425
ACH-000116,-0.07836477031384119
ACH-000118,-0.3005463010528034
ACH-000120,-0.04252707951443342
ACH-000123,-0.2003073789174228
ACH-000127,-0.10808128835078867
ACH-000128,-0.1328999264901774
ACH-000132,-0.2608102024820542
ACH-000133,-0.2741668705847163
ACH-000137,-0.16077008619803895
ACH-000138,-0.17673254746403075
ACH-000142,0.04914873550625441
ACH-000143,-0.1914353235208825
ACH-000146,-0.2309246773538512
ACH-000148,-0.1899191732847831
ACH-000150,-0.4870293411592834
ACH-000152,-0.16805788106015768
ACH-000153,0.17323820107793728
ACH-000159,-0.14722941690402822
ACH-000160,0.0730905254050098
ACH-000163,-0.1846240326916426
ACH-000167,0.4413417531130484
ACH-000168,-0.1003020195585682
ACH-000169,-0.3419881840423695
ACH-000178,-0.12567046783402772
ACH-000183,-0.07065022880149613
ACH-000188,-0.35297014870319793
ACH-000189,-0.022446141676742744
ACH-000190,0.326434180088274
ACH-000198,-0.18778173686280852
ACH-000203,-0.8351167556803097
ACH-000204,-0.02987786692273383
ACH-000206,-0.2278352642287537
ACH-000207,-0.3331047288271706
ACH-000208,-0.15727489523164032
ACH-000210,-0.03905813508492061
ACH-000211,-0.10472895675178236
ACH-000215,-0.2951660579698237
ACH-000221,-0.2322029496158396
ACH-000222,-0.3068112420171007
ACH-000223,-0.10385787896844928
ACH-000226,-0.4157821833490384
ACH-000227,-0.1572253860529015
ACH-000228,-0.321710199788508
ACH-000231,-0.2138412588188799
ACH-000232,-0.14823002616305014
ACH-000233,-0.17811164606012986
ACH-000234,-0.17820994847826052
ACH-000235,-0.2058337024454718
ACH-000237,-0.2982446801833585
ACH-000238,-0.4110307395001761
ACH-000242,-0.11936753713877928
ACH-000243,-0.14709126750097298
ACH-000244,-0.4522742255263473
ACH-000246,-0.09023124529544063
ACH-000248,-0.3083674725136803
ACH-000250,-0.08136611953308155
ACH-000251,-0.03272721666252553
ACH-000252,-0.15839607029068498
ACH-000253,-0.20069043831012
ACH-000255,-0.2533706783833931
ACH-000256,-0.13802354536431308
ACH-000257,-0.1542072848252148
ACH-000258,-0.3607190844457603
ACH-000259,-0.2305240418689957
ACH-000260,-0.111585104572766
ACH-000261,-0.3021114649880174
ACH-000262,-0.12531115153218647
ACH-000263,-0.4490817025348898
ACH-000264,-0.20568414151413336
ACH-000265,-0.11757577470803098
ACH-000266,-0.2713557944844284
ACH-000272,-0.17082036918943536
ACH-000274,-0.5802925141459556
ACH-000277,-0.2071564165640824
ACH-000278,-0.3976872138289779
ACH-000279,-0.23071105100343398
ACH-000280,-0.3218152590131043
ACH-000281,-0.24468916579988595
ACH-000288,-0.17583617411959895
ACH-000291,-0.07169678469027681
ACH-000293,-0.2340924252204008
ACH-000294,-0.20697990792715185
ACH-000295,0.043831933165550216
ACH-000296,-0.1637131543181645
ACH-000302,-0.12239527848041748
ACH-000304,-0.11028218190936044
ACH-000307,-0.16562393169646913
ACH-000308,-0.19662831532197447
ACH-000310,-0.4326251400229421
ACH-000311,-0.1159759758395064
ACH-000312,-0.08957240847402939
ACH-000315,-0.22926246017482754
ACH-000316,-0.19403512374952486
ACH-000317,-0.1734836226957258
ACH-000318,-0.20349436246623373
ACH-000319,-0.2786624936733958
ACH-000320,-0.14371453010793492
ACH-000322,-0.3366642416410414
ACH-000323,-0.2375425306612321
ACH-000324,-0.2202582977497916
ACH-000329,-0.12158497131332915
ACH-000330,-0.3003911828066261
ACH-000331,-0.4179163722331509
ACH-000332,-0.1723197781220783
ACH-000334,-0.06679576377541506
ACH-000335,-0.2003532256232368
ACH-000336,-0.1797379565394372
ACH-000337,-0.2906118057793597
ACH-000338,0.07604671249927354
ACH-000339,-0.25409068891740244
ACH-000341,-0.107821555106707
ACH-000348,-0.2840318333459381
ACH-000350,-0.15678390649878327
ACH-000352,-0.14243366761648066
ACH-000356,-0.20418773389293646
ACH-000361,0.01918149462168186
ACH-000362,-0.2143602840455844
