,KREMEN2 (79412)
ACH-000004,-0.22470513385114466
ACH-000005,0.010059779042210934
ACH-000007,-0.026143309508701414
ACH-000009,-0.15193717754080924
ACH-000011,-0.2318597723570362
ACH-000012,-0.16388754330880453
ACH-000013,-0.16773808450376565
ACH-000014,0.007302521923523307
ACH-000015,-0.06763750023755863
ACH-000017,-0.18849987552876665
ACH-000018,-0.23956440284841954
ACH-000019,-0.14401304964598338
ACH-000021,-0.21315038596933134
ACH-000022,-0.006659136033488618
ACH-000025,-0.18448589724171327
ACH-000028,-0.2867810834488277
ACH-000030,-0.10027917933728102
ACH-000035,-0.10397032253732902
ACH-000036,-0.2949114216853874
ACH-000037,-0.19732080554520015
ACH-000039,-0.2282953872441416
ACH-000040,-0.13959589395087094
ACH-000041,-0.07843127200407854
ACH-000042,-0.18606404565032567
ACH-000045,-0.22424032994207144
ACH-000047,-0.3066519656973309
ACH-000052,-0.1368628317864709
ACH-000053,-0.2192786189661997
ACH-000054,-0.15066200192355378
ACH-000055,0.0943830413703176
ACH-000060,-0.2194712257831671
ACH-000067,-0.2747386260085988
ACH-000070,-0.09107085816051608
ACH-000075,-0.18565141079894532
ACH-000078,0.0230404145208772
ACH-000082,-0.10701082193918562
ACH-000085,-0.024821977886108626
ACH-000086,-0.08455492067056615
ACH-000087,-0.29015376778998403
ACH-000092,-0.2942215434034793
ACH-000095,-0.10125310891460183
ACH-000097,-0.28326644513099275
ACH-000098,-0.2293551552989879
ACH-000099,-0.08649346351903135
ACH-000108,-0.3323989928274234
ACH-000113,-0.1716388013791778
ACH-000116,-0.05539983418924031
ACH-000118,-0.16137540807755082
ACH-000120,0.00940796344626823
ACH-000123,-0.13423139903307524
ACH-000127,-0.045191416218394766
ACH-000128,0.14629105122968108
ACH-000132,-0.2363865579092244
ACH-000133,-0.21367080431699112
ACH-000137,-0.2601426665457945
ACH-000138,-0.3690026651103723
ACH-000142,-0.1810629686069548
ACH-000143,-0.24905092953575095
ACH-000146,-0.1811642550732186
ACH-000148,-0.2644695269876073
ACH-000150,-0.354361277399829
ACH-000152,-0.10297079513201564
ACH-000153,-0.02664381893024294
ACH-000159,-0.17903634347362812
ACH-000160,-0.06007124696688568
ACH-000163,-0.03404515469030451
ACH-000167,-0.2219205179206538
ACH-000168,-0.2341553010310385
ACH-000169,-0.24810848406908895
ACH-000178,-0.12191947763504965
ACH-000183,-0.039126744267086816
ACH-000188,-0.07666423983567111
ACH-000189,-0.06736361017037105
ACH-000190,-0.04202358499800427
ACH-000198,-0.10838627652374967
ACH-000203,-0.2494807083642925
ACH-000204,-0.4108706678734095
