,SLC35E2B (728661)
ACH-000004,0.21354952236424132
ACH-000005,-0.1152883989735357
ACH-000007,0.020899294772837772
ACH-000009,-0.16601074699061455
ACH-000011,0.07724002562129342
ACH-000012,-0.0015631854238122695
ACH-000013,0.04337531648529678
ACH-000014,0.07185921460856999
ACH-000015,0.042150151684882536
ACH-000017,-0.03887813429337132
ACH-000018,0.2836184522227844
ACH-000019,0.08075394619758075
ACH-000021,0.02979589356171088
ACH-000022,-0.0026781181621818354
ACH-000025,0.012705865076227205
ACH-000028,0.0694230223768521
ACH-000030,-0.008889405340749564
ACH-000035,0.04003130574880355
ACH-000036,-0.005020245599102352
ACH-000037,-0.07740744395562038
ACH-000039,0.0666239487990101
ACH-000040,-0.14189137686634354
ACH-000041,0.13314371541820985
ACH-000042,0.0393942581926152
ACH-000045,0.08947624970266957
ACH-000047,-0.028728402276936058
ACH-000052,0.04451175846053372
ACH-000053,-0.03747859336309008
ACH-000054,-0.09114103663770556
ACH-000055,-0.002731696983955745
ACH-000060,-0.13641338229922115
ACH-000067,-0.008260203000454144
ACH-000070,0.0463307716858426
ACH-000075,-0.17415080685407006
ACH-000078,-0.0659313104658191
ACH-000082,0.005613016593552464
ACH-000085,-0.11624203693228916
ACH-000086,0.005644286192852106
ACH-000087,-0.10545177419701812
ACH-000092,0.05454583723119305
ACH-000095,0.05883535575937762
ACH-000097,0.008430893563408391
ACH-000098,0.1315655732398094
ACH-000099,0.024357525052405928
ACH-000108,-0.011188454982958751
ACH-000113,0.04851497122573757
ACH-000116,0.06848487996515153
ACH-000118,0.0691376153873139
ACH-000120,0.10280767031997393
ACH-000123,0.20583548054473225
ACH-000127,-0.026945521031735642
ACH-000128,0.05578705774224183
ACH-000132,0.11129167997789667
ACH-000133,0.09061427765907608
ACH-000137,0.14404702100505562
ACH-000138,-0.016562600301236855
ACH-000142,-0.023179881359514917
ACH-000143,-0.0386273355471044
ACH-000146,0.030373866631056387
ACH-000148,-0.0150810692253806
ACH-000150,-0.2846091161493503
ACH-000152,0.07727061080164077
ACH-000153,0.09059504081181673
ACH-000159,-0.02073809333269189
ACH-000160,-0.02600365945507728
ACH-000163,0.029859575399570605
ACH-000167,-0.2227081735886784
ACH-000168,-0.07924110617071052
ACH-000169,0.1380353594043423
ACH-000178,-0.011478462671532323
ACH-000183,0.0014737827301839208
ACH-000188,-0.12464255667008835
ACH-000189,0.07119214833943346
ACH-000190,-0.04005903798547891
