,MCMBP (79892)
ACH-000004,-0.6262062955723217
ACH-000005,-0.6926466637513258
ACH-000007,-0.950887089631198
ACH-000009,-0.6292335809139279
ACH-000011,-0.6339521745704165
ACH-000012,-0.6850037549414119
ACH-000013,-0.6298402351746301
ACH-000014,-0.8045537038180152
ACH-000015,-0.5556310912394355
ACH-000017,-0.5571832964912273
ACH-000018,-0.7289384281616351
ACH-000019,-0.4913228934927098
ACH-000021,-0.3759566386780507
ACH-000022,-0.6358395971601181
ACH-000025,-0.8247083312480481
ACH-000028,-0.5497082315177979
ACH-000030,-0.6795117591425158
ACH-000035,-0.5991158540969886
ACH-000036,-0.6548729733647022
ACH-000037,-0.4772015714279673
ACH-000039,-0.6737848432803275
ACH-000040,-0.7989292042976981
ACH-000041,-0.7359753332327885
ACH-000042,-0.4927738075603601
ACH-000045,-0.6094661818222691
ACH-000047,-0.7149542271685977
ACH-000052,-0.6606017373308436
ACH-000053,-0.3911559957619243
ACH-000054,-0.5647289812998435
ACH-000055,-0.7078408618435316
ACH-000060,-0.6821837031518541
ACH-000067,-1.0294331410181412
ACH-000070,-0.5290100587993691
ACH-000075,-0.5867480283094735
ACH-000078,-0.6728119465377975
ACH-000082,-0.3478990137136746
ACH-000085,-0.5775323762617455
ACH-000086,-0.6152731068952939
ACH-000087,-0.7250632710468446
ACH-000092,-0.4802045534814133
ACH-000095,-0.5883980071519221
ACH-000097,-0.6691042220816501
ACH-000098,-0.7585284516623386
ACH-000099,-0.6812059107851621
ACH-000108,-0.44656709874794026
ACH-000113,-0.6277677127908837
ACH-000116,-0.4702691000855794
ACH-000118,-0.8119357335085682
ACH-000120,-0.7409703916140519
ACH-000123,-0.5294140952251479
ACH-000127,-0.5674325644506927
ACH-000128,-0.6352295709466422
ACH-000132,-0.6630749488663008
ACH-000133,-0.8454233400671318
ACH-000137,-0.5920988863995287
ACH-000138,-0.5259591487099897
ACH-000142,-0.7283528034080614
ACH-000143,-0.8874689495925188
ACH-000146,-0.30456106254114057
ACH-000148,-0.8133383356131467
ACH-000150,-0.3821907073588928
ACH-000152,-0.6952974044446472
ACH-000153,-0.5990179285413185
ACH-000159,-0.6032403162404556
ACH-000160,-0.3996438489730434
ACH-000163,-0.6795617380145124
ACH-000167,-0.19624476383552888
ACH-000168,-0.6387240426835483
ACH-000169,-0.4560137639699686
ACH-000178,-0.5443999823401482
ACH-000183,-0.6430248571427593
ACH-000188,-0.5318067585733992
