,DPRX (503834)
ACH-000004,-0.2639889845507697
ACH-000005,-0.09419967096347813
ACH-000007,-0.26137922934813584
ACH-000009,-0.17445264070682687
ACH-000011,-0.15797753811215434
ACH-000012,-0.06221948317250354
ACH-000013,-0.5969212877974557
ACH-000014,0.0590820288187368
ACH-000015,-0.1873977232620058
ACH-000017,-0.1168550363264793
ACH-000018,-0.23009190689841064
ACH-000019,-0.16903521400876076
ACH-000021,-0.16008399557123704
ACH-000022,-0.21023368080265
ACH-000025,-0.08407434106649501
ACH-000028,-0.04502961454908206
ACH-000030,-0.3067467848207869
ACH-000035,-0.21510082913543774
ACH-000036,-0.1013500421034216
ACH-000037,-0.1124944033498033
ACH-000039,-0.2541555791184089
ACH-000040,-0.0927515521717597
ACH-000041,-0.18396710334868735
ACH-000042,-0.07464972510258623
ACH-000045,-0.20990241887276054
ACH-000047,-0.19407778625367045
ACH-000052,-0.07833643140907694
ACH-000053,-0.08939166935492998
ACH-000054,-0.14818763235983665
ACH-000055,-0.06544978000300666
ACH-000060,-0.02857242717594502
ACH-000067,-0.07252773615593804
ACH-000070,-0.023291285508421296
ACH-000075,0.0715101544482272
ACH-000078,-0.1556465788872653
ACH-000082,-0.0008618009515305642
ACH-000085,0.0921244962396609
ACH-000086,-0.14978158810102185
ACH-000087,-0.05561861794378721
ACH-000092,-0.07181849943321501
ACH-000095,-0.1305963082702014
ACH-000097,-0.13821982910334835
ACH-000098,-0.21929999949250112
ACH-000099,-0.23459091000206575
ACH-000108,-0.21469533933657456
ACH-000113,-0.05975087593963229
ACH-000116,-0.06544082312676447
ACH-000118,-0.06077893899193521
ACH-000120,-0.21617783581070926
ACH-000123,-0.101029454392095
ACH-000127,-0.019076622358201643
ACH-000128,0.05953389670374869
ACH-000132,-0.08126008341318149
ACH-000133,-0.2327615439785604
ACH-000137,-0.019614336969781692
ACH-000138,-0.14850489659515892
ACH-000142,-0.3435166782545131
ACH-000143,-0.1306687971691052
ACH-000146,-0.050476610299679855
ACH-000148,-0.17882758635577864
ACH-000150,-0.2076075355786063
ACH-000152,-0.1882128057405661
ACH-000153,-0.016210208331511308
ACH-000159,-0.14108180380256166
ACH-000160,-0.014249503634735525
ACH-000163,-0.09738416118364104
ACH-000167,-0.2929955057783671
ACH-000168,-0.2137356525184084
ACH-000169,-0.2478083439108294
ACH-000178,-0.23374974470600698
ACH-000183,-0.2531276695535905
ACH-000188,0.0
ACH-000189,-0.21309690949011015
ACH-000190,-0.07315488059347072
ACH-000198,-0.12290166314855405
ACH-000203,0.05037956755774582
ACH-000204,-0.0572035876854857
ACH-000206,0.08635682214018331
ACH-000207,-0.10425161431017832
ACH-000208,0.06097346882689054
ACH-000210,-0.29060885749926346
ACH-000211,-0.11266377931180813
ACH-000215,-0.16989656549917445
ACH-000221,-0.12567500911959506
ACH-000222,-0.3249778541146967
ACH-000223,-0.11521292752139513
ACH-000226,-0.06425672122077229
ACH-000227,-0.14764534948466831
ACH-000228,0.057438054387615435
ACH-000231,-0.028758891559590213
ACH-000232,-0.14609697243235453
ACH-000233,-0.0526983546927278
ACH-000234,-0.04037025731691367
ACH-000235,-0.10324088624254604
ACH-000237,-0.07548583580901566
ACH-000238,0.021338896768329257
ACH-000242,-0.0241738689100702
ACH-000243,-0.17118609801204018
ACH-000244,-0.08491112315940227
ACH-000246,-0.1519760723727762
ACH-000248,-0.1737139485175609
ACH-000250,-0.10788434489384822
ACH-000251,-0.13688368070140253
ACH-000252,-0.2486260465085975
ACH-000253,0.0959076491082931
ACH-000255,-0.1316673319065523
ACH-000256,-0.16007210332279767
ACH-000257,-0.12460688611629865
ACH-000258,0.0824631004822467
ACH-000259,-0.07415600214883786
ACH-000260,-0.04815008880801185
ACH-000261,-0.059101076054770114
ACH-000262,-0.25051665542020785
ACH-000263,-0.2434343758868397
ACH-000264,-0.12289380180004945
ACH-000265,-0.2421040829843877
ACH-000266,-0.08679451186519926
ACH-000272,-0.0907789277513082
ACH-000274,-0.050933274075339915
ACH-000277,-0.01840641009531241
ACH-000278,-0.1874459536864785
ACH-000279,-0.12414840518650305
ACH-000280,-0.190017688497448
ACH-000281,-0.10929869161961953
ACH-000288,-0.1162521802764872
ACH-000291,-0.12340656339421252
ACH-000293,-0.04551756474796567
ACH-000294,-0.1925945608410683
ACH-000295,-0.022249591963937814
ACH-000296,-0.38129698095601255
ACH-000302,-0.35530784783428915
ACH-000304,-0.22495877403346048
ACH-000307,-0.03983193144132355
ACH-000308,-0.13665043644375868
ACH-000310,0.03246023043755278
ACH-000311,-0.013668438666965524
ACH-000312,-0.004810386115280315
ACH-000315,-0.21311277020163555
ACH-000316,-0.1968381514065244
ACH-000317,-0.13507059616430314
ACH-000318,-0.21320223507352928
ACH-000319,-0.11693337662492015
ACH-000320,-0.036386552066818914
ACH-000322,-0.00904673102478083
ACH-000323,-0.07396139232279418
ACH-000324,-0.10244097239044317
