,DHODH (1723)
ACH-000004,-1.2736364723560214
ACH-000005,-0.7060494504709991
ACH-000007,-0.6096843777969255
ACH-000009,-0.4572135919982099
ACH-000011,-0.5585388953504482
ACH-000012,-0.35880121439054824
ACH-000013,-0.3373738137791223
ACH-000014,-0.3732809467719279
ACH-000015,-0.23370348130190174
ACH-000017,-0.7954056695251562
ACH-000018,-0.5954339571261036
ACH-000019,-0.4826456430721675
ACH-000021,-0.4289255263534646
ACH-000022,-0.3882642546990272
ACH-000025,-0.4022734547502401
ACH-000028,-0.5418698764770193
ACH-000030,-0.9748535388830998
ACH-000035,-0.4213964142345568
ACH-000036,-0.3257416785756831
ACH-000037,-0.6490500208951875
ACH-000039,-0.3492632705059926
ACH-000040,-0.44728298091222396
ACH-000041,-0.3285939100175819
ACH-000042,-0.5835162241440077
ACH-000045,-0.3982524906401459
ACH-000047,-0.5776612214467289
ACH-000052,-0.3506638087334986
ACH-000053,-0.7587847815673453
ACH-000054,-0.2519324114785205
ACH-000055,-0.4829626945820492
ACH-000060,-0.28428041107932644
ACH-000067,-0.4396797664438719
ACH-000070,-1.1354771354060418
ACH-000075,-0.3249924107803165
ACH-000078,-0.31136711838519016
ACH-000082,-0.38641674284439775
ACH-000085,-0.3667892111051458
ACH-000086,-0.3748669271783151
ACH-000087,-0.12106994343795935
ACH-000092,-0.3438040160617527
ACH-000095,-0.2139766439357959
ACH-000097,-0.7847489151783822
ACH-000098,-0.4006351338714846
ACH-000099,-0.3117910578706535
ACH-000108,-0.6775827982252037
ACH-000113,-0.017620197690292563
ACH-000116,-0.1721308228552216
ACH-000118,-0.2330212554344651
ACH-000120,-0.4722081878084749
ACH-000123,-0.14953641451098848
ACH-000127,-0.5911428131195301
ACH-000128,-0.4285128717711705
ACH-000132,-0.42930127720464656
ACH-000133,-0.44716618571667577
ACH-000137,-0.5937359794287862
ACH-000138,-0.547962345822029
ACH-000142,-0.21930194599293865
ACH-000143,-0.41060082389831465
ACH-000146,-0.584625869073607
ACH-000148,-0.3435540629475439
ACH-000150,-0.17640797815341155
ACH-000152,-0.4616813263789002
ACH-000153,-0.6074677034243341
ACH-000159,-0.4961385172150536
ACH-000160,-0.3778789952991543
ACH-000163,-0.31169988088241785
ACH-000167,-0.5936411609483982
ACH-000168,-0.5185651295472424
ACH-000169,-0.3271515599989375
ACH-000178,-0.5038343634798599
ACH-000183,-0.8712724799083624
ACH-000188,-0.41517602176454027
ACH-000189,-0.4486818112366693
ACH-000190,-0.4325502278138069
ACH-000198,-0.763459951765928
ACH-000203,-0.3760443395649979
ACH-000204,-0.3808042512054059
ACH-000206,-0.4739195210070316
ACH-000207,-0.5850663820152511
ACH-000208,-0.2687047584136804
ACH-000210,-0.3187423936490874
ACH-000211,-0.3605842735807332
ACH-000215,-0.2271559345696237
ACH-000221,-0.45356135176468104
ACH-000222,-0.4912948926536994
ACH-000223,-0.5622897098166203
ACH-000226,-0.9252848931558336
ACH-000227,-0.5374894809680137
ACH-000228,-0.5195082604924497
ACH-000231,-0.3172944139565797
ACH-000232,-0.09473144113637064
ACH-000233,-0.843964648587451
ACH-000234,-0.4463992750220411
ACH-000235,-0.9560343172379354
ACH-000237,-0.4638078439490693
ACH-000238,-0.4172040737991011
ACH-000242,-0.06793275361843586
ACH-000243,-0.33056201265234497
ACH-000244,-0.2570348491876108
ACH-000246,-0.20480897770531392
ACH-000248,-0.5396638651480313
ACH-000250,-0.35590878161748496
ACH-000251,-0.3455809938893511
ACH-000252,-0.3444438029093745
ACH-000253,-0.803445086399505
ACH-000255,-0.24531205094152014
ACH-000256,-0.369471558445358
ACH-000257,-0.6119295985573521
ACH-000258,-0.6779302171679726
ACH-000259,-0.08733249325458464
ACH-000260,-0.24936770437639205
ACH-000261,-0.2881253170644205
ACH-000262,-0.38963124596144977
ACH-000263,-0.3935603661343733
ACH-000264,-0.3700561931058957
ACH-000265,-0.24372595667532335
ACH-000266,-0.4675672121638778
ACH-000272,-0.556991677623236
ACH-000274,-0.3735816113790605
ACH-000277,-0.5461370084055099
ACH-000278,-0.361547370032163
ACH-000279,-0.9467349938650874
ACH-000280,-0.4187548988515469
ACH-000281,-0.7049928779288482
ACH-000288,-0.32824456088210585
ACH-000291,-0.25049968785173865
ACH-000293,-0.5408650146685259
ACH-000294,-0.6048265141645898
ACH-000295,-0.8703195900494456
ACH-000296,-0.34171179924903283
ACH-000302,-0.1873292120125668
ACH-000304,-0.5189256176762321
ACH-000307,-0.8195474980667515
ACH-000308,-0.3458710852229667
ACH-000310,-0.2791380032600105
ACH-000311,-0.5601084697226948
ACH-000312,-0.3720838763010704
ACH-000315,-0.8915265106968667
ACH-000316,-0.5056162751296857
ACH-000317,-0.6706034725707994
ACH-000318,-0.3919101733768489
ACH-000319,-0.5015141763531851
ACH-000320,-0.5450373094362218
ACH-000322,-0.5288849047207611
ACH-000323,-0.3188139278642189
ACH-000324,-0.4683995956410533
ACH-000329,-0.4914066736868042
ACH-000330,-0.6102563322528414
ACH-000331,-0.19453108696771074
ACH-000332,-0.19038744106409736
ACH-000334,-0.599771242674412
ACH-000335,-0.4768609592913558
ACH-000336,-0.13318733372336589
ACH-000337,-0.9796913571398306
ACH-000338,-0.6076180853737956
ACH-000339,-1.1393127564925702
ACH-000341,-0.3921338537751378
ACH-000348,-0.4955561007387941
ACH-000350,-0.5806063864417831
ACH-000352,-0.4716761735062064
ACH-000356,-0.6545000905976311
ACH-000361,-0.4076646203596469
ACH-000362,-0.6427452024517455
ACH-000363,-0.8659352401904971
ACH-000364,-0.13619582608906974
ACH-000365,-0.7544840740818621
ACH-000366,-0.8832918938934762
ACH-000368,-0.5877616611046872
ACH-000374,-0.10853088523706918
ACH-000375,-0.641686375668746
ACH-000376,-0.26654073834591524
ACH-000381,-0.722454462585215
ACH-000383,-0.9775688863314304
ACH-000387,-1.0054571649135162
ACH-000389,-0.3265923274699041
ACH-000390,-0.5753973785266387
ACH-000393,-0.4358195703676052
ACH-000395,-0.6403208012715653
ACH-000396,-0.4882952469397359
ACH-000397,-0.3267869752248721
ACH-000401,-0.8291120244586854
ACH-000402,-0.5570476578158887
ACH-000403,-0.3126848376130816
ACH-000404,-0.32428363648388425
ACH-000406,-1.0159546096887822
ACH-000407,-0.3811283492174513
ACH-000408,-0.49348152989313593
ACH-000410,-0.3631476844716908
ACH-000411,-0.6299668834529006
ACH-000414,-0.4031795876095943
ACH-000415,-0.3303930508019532
ACH-000416,-1.1407370119171558
ACH-000420,-0.405946170851092
ACH-000421,-0.5409791327998971
ACH-000424,-0.4855407285488319
ACH-000425,-0.6776775228522312
ACH-000426,-0.5930234324859698
ACH-000427,-0.5294395803827291
ACH-000433,-0.5176794639003394
ACH-000435,-0.9060862925949368
ACH-000436,-0.5996346897749074
ACH-000444,-0.4144091072251614
ACH-000445,-0.395079867139806
ACH-000448,-0.6742701801290425
ACH-000450,-0.329050217837278
ACH-000452,-0.5231366671316796
ACH-000454,-0.5984076359422049
ACH-000458,-0.4216086151393483
ACH-000459,-0.8804056240551464
ACH-000460,-0.7849473808457583
ACH-000461,-0.6683071652518383
ACH-000463,-0.4384147359936797
ACH-000464,-0.4929352404332267
ACH-000466,-0.4958183362066863
ACH-000467,-0.4690071984325215
ACH-000468,-0.6031378777572111
ACH-000469,-0.27867155752737705
ACH-000470,-0.553319849165632
ACH-000471,-0.3673612983487024
ACH-000472,-0.47325664276142104
ACH-000473,-0.3103165898102871
ACH-000475,-0.5007254021242136
ACH-000476,-0.3450960290740038
ACH-000477,-0.5601378157330248
ACH-000479,-0.5152123780517729
ACH-000480,-0.2773830824495083
