,HIST1H2AE (3012)
ACH-000004,-0.5178859604777178
ACH-000005,-0.5084437231933175
ACH-000007,-0.3342018834413013
ACH-000009,-0.4256763976547492
ACH-000011,-0.6322535210490893
ACH-000012,-0.5190600782755858
ACH-000013,-0.366184079307036
ACH-000014,-0.5382300737265426
ACH-000015,-0.3009247524760563
ACH-000017,-0.7836014343809065
ACH-000018,-0.43823151609652855
ACH-000019,-0.5069218886038699
ACH-000021,-0.34774098606571274
ACH-000022,-0.270209775595839
ACH-000025,-0.5041815508374335
ACH-000028,-0.3286504060876237
ACH-000030,-0.4602534422556753
ACH-000035,-0.4155534099934809
ACH-000036,-0.3607493401666759
ACH-000037,-0.3556649258051158
ACH-000039,-0.6072864189612719
ACH-000040,-0.5186537348228218
ACH-000041,-0.43709682216694257
ACH-000042,-0.2878950902946817
ACH-000045,-0.5974580620572063
ACH-000047,-0.4193797180146671
ACH-000052,-0.3982573545187562
ACH-000053,-0.478773444052326
ACH-000054,-0.3986156186385459
ACH-000055,-0.5865922670067127
ACH-000060,-0.3894537407248989
ACH-000067,-0.41764924578644097
ACH-000070,-0.5001776834222783
ACH-000075,-0.5301262310090756
ACH-000078,-0.5477884250090977
ACH-000082,-0.6008426212230467
ACH-000085,-0.4516425204461941
ACH-000086,-0.5548526925920664
ACH-000087,-0.4923434754551948
ACH-000092,-0.4017991751506837
ACH-000095,-0.5102804768393814
ACH-000097,-0.4115348656551657
ACH-000098,-0.39096649738522105
ACH-000099,-0.3873945642761087
ACH-000108,-0.4447039279716991
ACH-000113,-0.40574832278892
ACH-000116,-0.4094308580855992
ACH-000118,-0.5192641253189735
ACH-000120,-0.30724081902686723
ACH-000123,-0.44204034263651176
ACH-000127,-0.4746916633295766
ACH-000128,-0.4535241779478351
ACH-000132,-0.24539292186257816
ACH-000133,-0.3423561712938979
ACH-000137,-0.2810044738657912
ACH-000138,-0.5237117587832705
ACH-000142,-0.3734696257398972
ACH-000143,-0.4919339408072544
ACH-000146,-0.4728624213024718
ACH-000148,-0.35118189650977216
ACH-000150,-0.5910409133586524
ACH-000152,-0.5953412720294459
ACH-000153,-0.4135359822323954
ACH-000159,-0.6709199350552657
ACH-000160,-0.3132405120198562
ACH-000163,-0.4671954824013974
ACH-000167,-0.4491246782325768
ACH-000168,-0.5327013396131937
ACH-000169,-0.5419022978576521
ACH-000178,-0.4135174774989254
ACH-000183,-0.4421996036971552
ACH-000188,-0.4994755950819344
ACH-000189,-0.5761148536122976
ACH-000190,-0.3558367943009908
ACH-000198,-0.5522094098051864
ACH-000203,-0.16230322675175793
ACH-000204,-0.4031060880591505
ACH-000206,-0.9196993964226986
ACH-000207,-0.4465338838880895
ACH-000208,-0.1985388914298088
ACH-000210,-0.1519164518981826
ACH-000211,-0.2771085446169074
ACH-000215,-0.45476975077482795
ACH-000221,-0.1149824127257398
ACH-000222,-0.4190569312603516
ACH-000223,-0.6156200731275382
ACH-000226,-0.5384952636107782
ACH-000227,-0.4865610632197331
ACH-000228,-0.2310580141147636
ACH-000231,-0.5291612214094765
ACH-000232,-0.4383087749860535
ACH-000233,-0.5157809774811412
ACH-000234,-0.510960335524529
ACH-000235,-0.3488540389105369
ACH-000237,-0.4689759938099664
ACH-000238,-0.3944080493292921
ACH-000242,-0.6057682089417922
ACH-000243,-0.3999025350238089
ACH-000244,-0.4148848081372888
ACH-000246,-0.4186633665622237
ACH-000248,-0.5722234929644491
ACH-000250,-0.4010668570835717
ACH-000251,-0.5110574892883721
ACH-000252,-0.3587482686719674
ACH-000253,-0.4640404631831443
ACH-000255,-0.3946278777814968
ACH-000256,-0.5658842672498374
ACH-000257,-0.4059374118008813
ACH-000258,-0.14105715187269036
ACH-000259,-0.5296155097042069
ACH-000260,-0.4724507389694649
ACH-000261,-0.3509946127402001
ACH-000262,-0.2024404214057872
ACH-000263,-0.6496776112607294
ACH-000264,-0.495964855464304
ACH-000265,-0.3277753832432718
ACH-000266,-0.3843456599690748
ACH-000272,-0.5680617927561604
ACH-000274,-0.3297489110928741
ACH-000277,-0.6008566423149108
ACH-000278,-0.6109906884363662
ACH-000279,-0.5138515851270777
ACH-000280,-0.491544973905117
ACH-000281,-0.4934825579835325
ACH-000288,-0.4760817784550485
ACH-000291,-0.29232538097059124
ACH-000293,-0.5381347935851849
ACH-000294,-0.4010614697195782
ACH-000295,-0.43339661145419
ACH-000296,-0.4002230525705507
ACH-000302,-0.2722199871301658
ACH-000304,-0.6541542964973094
ACH-000307,-0.4994001237312236
ACH-000308,-0.5364643587183552
ACH-000310,-0.6441970204089545
ACH-000311,-0.3934863924608625
ACH-000312,-0.26887425429092565
ACH-000315,-0.1867273756419411
ACH-000316,-0.5678045950715953
ACH-000317,-0.5191215725726479
ACH-000318,-0.3287593343571679
ACH-000319,-0.4320938924735479
ACH-000320,-0.3545346769219481
ACH-000322,-0.5626902166802271
ACH-000323,-0.3228308762085049
ACH-000324,-0.5428148675216916
ACH-000329,-0.5389316340792905
ACH-000330,-0.612437778408295
ACH-000331,-0.4463562332328593
ACH-000332,-0.4573111462449471
ACH-000334,-0.4401196120901613
ACH-000335,-0.6131046471831101
ACH-000336,-0.365029318661863
