,TCEB2 (6923)
ACH-000004,-1.326058767893509
ACH-000005,-1.627984352315551
ACH-000007,-0.9722531899465728
ACH-000009,-0.3299148355794719
ACH-000011,-0.9757994011218828
ACH-000012,-1.1282856440594358
ACH-000013,-1.1985712013991248
ACH-000014,-1.484034305978459
ACH-000015,-1.1155650156025505
ACH-000017,-1.2306436977232158
ACH-000018,-1.1620550050962646
ACH-000019,-1.0042371014647764
ACH-000021,-1.1070519547511521
ACH-000022,-0.7526434004461806
ACH-000025,-1.153621109373697
ACH-000028,-1.062371735261945
ACH-000030,-1.276525620879041
ACH-000035,-1.0100675511043973
ACH-000036,-1.032630896384304
ACH-000037,-1.1150021344630183
ACH-000039,-1.155033104144857
ACH-000040,-1.1108687036880545
ACH-000041,-1.2863918121061173
ACH-000042,-0.9583028267001424
ACH-000045,-1.051504403454525
ACH-000047,-0.9351758107586328
ACH-000052,-0.9356437668115816
ACH-000053,-1.081919947225863
ACH-000054,-0.7816939733011328
ACH-000055,-1.228658332539113
ACH-000060,-1.0158462138698727
ACH-000067,-1.009878325595925
ACH-000070,-1.2092252781713708
ACH-000075,-0.987168224782102
ACH-000078,-1.4071552862516186
ACH-000082,-1.4925587691572648
ACH-000085,-1.3739399997824022
ACH-000086,-0.5714171944197355
ACH-000087,-0.9925536936510276
ACH-000092,-0.9884537706971164
ACH-000095,-1.1636224937426765
ACH-000097,-1.1285515867208942
ACH-000098,-0.4646737915602926
ACH-000099,-1.0480697365100788
ACH-000108,-0.9970870708155298
ACH-000113,-1.1392235036053326
ACH-000116,-1.238327188464777
ACH-000118,-1.058763828046848
ACH-000120,-1.0632076208656698
ACH-000123,-1.0633784842342069
ACH-000127,-1.2585871637382868
ACH-000128,-1.1796627686134702
ACH-000132,-0.9894805661621361
ACH-000133,-1.3696722945133952
ACH-000137,-1.0033808733925296
ACH-000138,-1.2249579742061956
ACH-000142,-1.3204208129706372
ACH-000143,-0.7215443475328149
ACH-000146,-1.3992148454593871
ACH-000148,-1.2902016589523542
ACH-000150,-0.8600743475432817
ACH-000152,-0.5282605032292365
ACH-000153,-0.6882402691948659
ACH-000159,-0.7240569489514241
ACH-000160,-0.7936168912649051
ACH-000163,-1.178798297274821
ACH-000167,-1.3419482039537354
ACH-000168,-1.4452190605598387
ACH-000169,-1.2671863829106214
ACH-000178,-0.987265272902202
ACH-000183,-1.0193880004333875
ACH-000188,-1.0443774995472088
ACH-000189,-0.8153918362278707
ACH-000190,-0.8348523903986507
ACH-000198,-1.2115237948887168
ACH-000203,-0.8843354141797717
ACH-000204,-0.8682686843200472
ACH-000206,-1.3763970718602996
ACH-000207,-1.192201105538323
ACH-000208,-0.8998152845044364
ACH-000210,-1.1684153507730524
ACH-000211,-1.0826281369036548
ACH-000215,-1.1930755040442522
ACH-000221,-0.9153316345300648
ACH-000222,-1.0563958125535473
ACH-000223,-0.5830977037316564
ACH-000226,-1.0089637506433
ACH-000227,-1.1112636103857958
ACH-000228,-1.1947614201453531
ACH-000231,-1.2232040522077785
ACH-000232,-1.267783088299464
ACH-000233,-1.2380157136444443
ACH-000234,-1.290663605435667
ACH-000235,-1.2134849421238287
