,DRGX (644168)
ACH-000004,0.2711326920236417
ACH-000005,0.2264142686385892
ACH-000007,-0.019206746744186508
ACH-000009,-0.024832701293472082
ACH-000011,-0.10999914052304308
ACH-000012,-0.11491916952057273
ACH-000013,-0.014065115898915112
ACH-000014,-0.23301397073686786
ACH-000015,-0.16737385358699575
ACH-000017,-0.04071091364782115
ACH-000018,-0.026944752461715803
ACH-000019,-0.07813592104253363
ACH-000021,0.0019821418163639857
ACH-000022,-0.013965135034647948
ACH-000025,-0.3607503531933107
ACH-000028,-0.08543898772790186
ACH-000030,-0.2634097062264932
ACH-000035,-0.17631794194512102
ACH-000036,-0.09197164290006596
ACH-000037,-0.05060881509208065
ACH-000039,-0.015156605245353325
ACH-000040,-0.14884543300809475
ACH-000041,-0.1479338308499361
ACH-000042,-0.09378369916437687
ACH-000045,-0.14569907786485833
ACH-000047,-0.04018897289065846
ACH-000052,0.09100659869220944
ACH-000053,-0.042762001584427035
ACH-000054,-0.10418886843380934
ACH-000055,-0.2369665881447229
ACH-000060,-0.05414453882175972
ACH-000067,-0.2323065900718789
ACH-000070,-0.4160324075282755
ACH-000075,-0.2162206937757891
ACH-000078,-0.0927082523172038
ACH-000082,-0.004183738356725877
ACH-000085,-0.169397474317492
ACH-000086,-0.16102912361145902
ACH-000087,-0.058914089578652275
ACH-000092,-0.07450946574827802
ACH-000095,-0.044203818081996984
ACH-000097,-0.07645619465332948
ACH-000098,-0.02616613395153784
ACH-000099,-0.18981384882539715
ACH-000108,-0.14710422104954998
ACH-000113,-0.1398737045326464
ACH-000116,-0.018532651416282603
ACH-000118,-0.20472906406597813
ACH-000120,-0.13089326623814848
ACH-000123,-0.12244159054572208
ACH-000127,-0.16729021680529885
ACH-000128,-0.1877843490251406
ACH-000132,-0.11296448553189968
ACH-000133,-0.05623821053312051
ACH-000137,0.05518986564507563
ACH-000138,0.05721149807395458
ACH-000142,-0.019233946795204074
ACH-000143,0.11059690526153278
ACH-000146,-0.018315494083843985
ACH-000148,-0.12212270818588257
ACH-000150,-0.12389388346992468
ACH-000152,-0.07206725682837427
ACH-000153,-0.24436210776827344
ACH-000159,-0.028360549622463118
ACH-000160,-0.1399384913999015
ACH-000163,-0.20080150447514467
ACH-000167,0.26003562619887843
ACH-000168,0.02384219554401369
ACH-000169,-0.15646594276503156
ACH-000178,-0.035018414691187945
ACH-000183,-0.09127243337644844
ACH-000188,-0.03700387409943225
ACH-000189,-0.11437616496659996
ACH-000190,0.0219021930190422
ACH-000198,-0.1779600837993386
ACH-000203,0.1126307174753812
ACH-000204,0.057894725631085775
ACH-000206,0.12606084106933094
ACH-000207,-0.10439908840434142
ACH-000208,0.18525916172216134
ACH-000210,-0.20942983633109666
