,HKDC1 (80201)
ACH-000004,0.053937032923763235
ACH-000005,0.07517279959942505
ACH-000007,-0.0774148396575389
ACH-000009,-0.051157854944070325
ACH-000011,-0.02771647546014069
ACH-000012,-0.12469916157346428
ACH-000013,-0.017271519675090732
ACH-000014,-0.018819017195496758
ACH-000015,-0.1570302201606819
ACH-000017,-0.0429661889786577
ACH-000018,-0.2117389822970077
ACH-000019,0.1546747938303917
ACH-000021,-0.1418007867149001
ACH-000022,0.004465356051022995
ACH-000025,-0.0310147467396519
ACH-000028,-0.13843223301208685
ACH-000030,-0.19536466984998999
ACH-000035,-0.13952152935456047
ACH-000036,-0.20481514255021488
ACH-000037,-0.05666967286482689
ACH-000039,0.04254970681242688
ACH-000040,-0.16363829990517229
ACH-000041,-0.17473698388561254
ACH-000042,-0.1219759566135991
ACH-000045,-0.12622851480435845
ACH-000047,0.019953858543851042
ACH-000052,0.10555137706293327
ACH-000053,-0.1671308440476868
ACH-000054,-0.0063989669328152286
ACH-000055,-0.10096326836377
ACH-000060,-0.1061390357545583
ACH-000067,-0.02976251317582697
ACH-000070,-0.22230468783581314
ACH-000075,-0.15612326750044167
ACH-000078,-0.1003991322415774
ACH-000082,-0.005754613069640418
ACH-000085,-0.3063144249749584
ACH-000086,-0.15780070108816094
ACH-000087,0.007092471822021262
ACH-000092,-0.11600892134078912
ACH-000095,-0.026953034921948813
ACH-000097,-0.1014999691309237
ACH-000098,-0.020351063991823917
ACH-000099,-0.14093512357344745
ACH-000108,-0.24546209524027154
ACH-000113,-0.1411784132915268
ACH-000116,-0.14752322677538304
ACH-000118,-0.010050540147928494
ACH-000120,-0.0839838847936355
ACH-000123,-0.06036436855480279
ACH-000127,-0.17598705580597976
ACH-000128,-0.0445828699010784
ACH-000132,-0.08972240876409532
ACH-000133,-0.2170967698036207
ACH-000137,-0.1019665713458346
ACH-000138,0.012239361686978716
ACH-000142,-0.049886039688153534
ACH-000143,-0.12698776404006332
ACH-000146,0.0580098213888821
ACH-000148,-0.07658176184375858
ACH-000150,-0.06961612946427871
