,CFC1 (55997)
ACH-000004,-0.11489107760910199
ACH-000005,-0.262058524299202
ACH-000007,-0.034875460167491226
ACH-000009,-0.151455923577484
ACH-000011,-0.18169189035714506
ACH-000012,-0.07714832381682166
ACH-000013,0.013005119216906441
ACH-000014,-0.041095145473458015
ACH-000015,-0.18118674679185312
ACH-000017,-0.19186982002932867
ACH-000018,-0.2979458102888549
ACH-000019,-0.12163278314455457
ACH-000021,-0.01970708215890876
ACH-000022,-0.1537627645207003
ACH-000025,-0.07112907532899003
ACH-000028,-0.11286467594989932
ACH-000030,-0.0855977125361873
ACH-000035,-0.101897849796794
ACH-000036,-0.03755588576850534
ACH-000037,0.026203146447435686
ACH-000039,0.02216504697185007
ACH-000040,-0.01899574187172645
ACH-000041,-0.08034718142263818
ACH-000042,-0.15188991539462987
ACH-000045,-0.18602974051177867
ACH-000047,-0.12699512272232902
ACH-000052,-0.2463919458707417
ACH-000053,-0.1506847486576303
ACH-000054,-0.1922081267180294
ACH-000055,-0.06193683033101804
ACH-000060,-0.08545073222108142
ACH-000067,-0.06596806030734004
ACH-000070,-0.1938613855698996
ACH-000075,-0.09204295265078308
ACH-000078,-0.21950934138937675
ACH-000082,-0.1241412511745101
ACH-000085,-0.2254174617550148
ACH-000086,-0.08814522711303609
ACH-000087,-0.03845032521525797
ACH-000092,-0.1982754533072395
ACH-000095,-0.12699341364484487
ACH-000097,-0.20233156653158416
ACH-000098,-0.18766916316094875
ACH-000099,-0.17588147631540127
ACH-000108,-0.194655307340559
ACH-000113,0.015494365729008225
ACH-000116,-0.09831602502965056
ACH-000118,-0.0430262852920259
ACH-000120,-0.08556015060703696
ACH-000123,-0.14456187879920535
ACH-000127,-0.14825941252156566
ACH-000128,-0.2683092573255058
ACH-000132,0.002579769879218204
ACH-000133,-0.015803334090573256
ACH-000137,-0.12494127544473504
ACH-000138,-0.15420209395056195
ACH-000142,-0.033841348948393364
ACH-000143,-0.04015009604445231
ACH-000146,-0.05183522367679412
ACH-000148,-0.1581056810311504
ACH-000150,0.03412509914438449
ACH-000152,-0.1066358387668518
ACH-000153,-0.10989942310033078
ACH-000159,-0.10165267275397466
ACH-000160,-0.13299118625589212
ACH-000163,-0.13376491875337476
ACH-000167,-0.2543187643695324
ACH-000168,-0.42872375736293
ACH-000169,-0.11926811577036532
ACH-000178,-0.0766660981887552
ACH-000183,-0.08575476430704965
ACH-000188,0.007815510265553756
ACH-000189,0.05417923852285187
ACH-000190,-0.09054575739412528
