,FTSJ2 (29960)
ACH-000004,-0.2414394728834737
ACH-000005,-0.3745027028605806
ACH-000007,-0.3895445476695849
ACH-000009,-0.3742476962475361
ACH-000011,-0.10737045352850337
ACH-000012,-0.4586443076197944
ACH-000013,-0.4535326563961974
ACH-000014,-0.3544038961926516
ACH-000015,-0.5826958052921845
ACH-000017,-0.3153627664232177
ACH-000018,-0.15068449672710618
ACH-000019,-0.3589763515178114
ACH-000021,-0.3077816671099879
ACH-000022,-0.4634896666672698
ACH-000025,-0.5057589534956807
ACH-000028,-0.5365409454972201
ACH-000030,-0.23198950855210115
ACH-000035,-0.3169801995035246
ACH-000036,-0.20132006921103304
ACH-000037,-0.4085363967886778
ACH-000039,-0.23077837863135406
ACH-000040,-0.4220255036353903
ACH-000041,-0.3069626953963501
ACH-000042,-0.4303836100735171
ACH-000045,-0.6727840991124481
ACH-000047,-0.5282297836303317
ACH-000052,-0.2392208344309325
ACH-000053,-0.2220339050898324
ACH-000054,-0.32095408464921826
ACH-000055,-0.1960081420491076
ACH-000060,-0.3921858705550837
ACH-000067,-0.0937466149674648
ACH-000070,-0.382706466277212
ACH-000075,-0.3929730325702365
ACH-000078,-0.2841912298955655
ACH-000082,-0.5138268913944835
ACH-000085,-0.3754470953491124
ACH-000086,-0.5492382148466284
ACH-000087,-0.6626935275890218
ACH-000092,-0.3581320475491624
ACH-000095,-0.3266649552140937
ACH-000097,-0.23816512810628146
ACH-000098,-0.3788754973926537
ACH-000099,-0.5132990207739643
ACH-000108,-0.4032144859118225
ACH-000113,-0.6988846278731984
ACH-000116,-0.44870258879901626
ACH-000118,-0.5370377085011129
ACH-000120,-0.3781981664486749
ACH-000123,-0.6717203105105137
ACH-000127,-0.497719194080636
ACH-000128,-0.821606631581558
ACH-000132,-0.3771493711026709
ACH-000133,-0.31806318281076384
ACH-000137,-0.27310400496144355
ACH-000138,-0.33758686027899915
ACH-000142,-0.19956091920220104
ACH-000143,-0.3873072005893641
ACH-000146,-0.2997227012566009
ACH-000148,-0.4329984546948624
