,POLRMT (5442)
ACH-000004,-0.4754113974384376
ACH-000005,-0.3627631386585257
ACH-000007,-0.4660862383014522
ACH-000009,-0.4735258054952951
ACH-000011,-0.2002002822678928
ACH-000012,-0.7789960619135512
ACH-000013,-0.5379442684108939
ACH-000014,-0.3470717909367177
ACH-000015,-0.6893943341948053
ACH-000017,-0.461771818476359
ACH-000018,-0.732115929498245
ACH-000019,-0.7866724069311769
ACH-000021,-0.5015438232085779
ACH-000022,-0.6076466354349185
ACH-000025,-0.6516226097530082
ACH-000028,-0.7619489086340469
ACH-000030,-0.4896908946841625
ACH-000035,-0.7202422200107432
ACH-000036,-0.10274011695457468
ACH-000037,-0.4511071735751574
ACH-000039,-0.6732257952612286
ACH-000040,-0.3467288514009954
ACH-000041,-0.5357150008205481
ACH-000042,-0.5956340316202382
ACH-000045,-0.657398206551441
ACH-000047,-0.5008983409702411
ACH-000052,-0.3930121581596129
ACH-000053,-0.3955147581712468
ACH-000054,-0.6437325223668422
ACH-000055,-0.4713650036222688
ACH-000060,-0.3794732477964871
ACH-000067,-0.5112949823010128
ACH-000070,-0.6192222883711629
ACH-000075,-0.3602553552040684
ACH-000078,-0.37075012416153547
ACH-000082,-0.4495297642338149
ACH-000085,-0.4475079280410433
ACH-000086,-0.7812445363564993
ACH-000087,-0.5429323434047814
ACH-000092,-0.2312573899319862
ACH-000095,-0.16146691394633342
ACH-000097,-0.5480583829289472
ACH-000098,-0.5634665337570499
ACH-000099,-0.4990504391775117
ACH-000108,-0.5507135419132146
ACH-000113,-0.4769022961981748
ACH-000116,-0.6125905303789952
ACH-000118,-0.7625227501007127
ACH-000120,-0.3733517732378386
ACH-000123,-0.4176144231950921
ACH-000127,-0.9197820984766842
ACH-000128,-0.6175242585728179
ACH-000132,-0.4484942948101141
ACH-000133,-0.6677442471002365
ACH-000137,-0.2804504987079501
ACH-000138,-0.5628791264130817
ACH-000142,-0.5471722554131876
ACH-000143,-0.5367292030438817
ACH-000146,-0.5006954433084303
ACH-000148,-0.5486008089728034
ACH-000150,-0.8343234219946875
ACH-000152,-0.5754773449297605
ACH-000153,-0.29026488554077834
ACH-000159,-0.3147165306028909
ACH-000160,-0.6185815166707259
ACH-000163,-0.29840179256599764
ACH-000167,-0.15057443874121285
ACH-000168,-0.32978680108054564
ACH-000169,-0.6858473755527545
ACH-000178,-0.6196142579387277
ACH-000183,-0.2981080335080442
ACH-000188,-0.5530553163428357
ACH-000189,-0.5994121677760599
ACH-000190,-0.6610860933612998
ACH-000198,-0.35462681712810074
ACH-000203,0.022670300319443292
ACH-000204,-0.247738601656568
ACH-000206,-0.5206308547604043
ACH-000207,-0.5671947956222556
ACH-000208,-0.3876804430327781
ACH-000210,-0.6387899596856501
ACH-000211,-0.4373728572800438
ACH-000215,-0.4070407982304376
ACH-000221,-1.0505567438939298
ACH-000222,-0.4019778261804341
ACH-000223,-0.6104789107095238
ACH-000226,-0.5567610012548283
ACH-000227,-0.2935643655675226
ACH-000228,-0.6533421924718804
ACH-000231,-0.5897186330102419
ACH-000232,-0.6117519259954769
ACH-000233,-0.6042926444170917
ACH-000234,-0.6055618138373579
ACH-000235,-0.43486419951177785
ACH-000237,-0.3259395815849321
ACH-000238,-0.4882554703445725
ACH-000242,-1.01498748308953
ACH-000243,-0.47032960060570894
ACH-000244,-0.5001542006698539
ACH-000246,-0.6482171520912811
ACH-000248,-0.7092766367597096
ACH-000250,-0.28604732316978426
ACH-000251,-0.44700178806422014
ACH-000252,-0.3477789392621214
ACH-000253,-0.4129031475070165
ACH-000255,-0.5353861277316904
ACH-000256,-0.5910865486757219
ACH-000257,-0.6158533978895434
ACH-000258,-0.4559424799576611
ACH-000259,-0.6364651501982861
ACH-000260,-0.2895317427604969
ACH-000261,-0.4751374160156861
ACH-000262,-0.3297502933405828
ACH-000263,-0.8273864592610244
ACH-000264,-0.4541524382987681
ACH-000265,-0.723821799378932
ACH-000266,-0.34533909427137466
ACH-000272,-0.3089395639257654
ACH-000274,-0.4042304772329819
ACH-000277,-0.4371836084758081
ACH-000278,-0.3288549785355338
ACH-000279,-0.7186082124168367
ACH-000280,-0.41878207074803614
ACH-000281,-0.43140860922947
ACH-000288,-0.7641573779459084
ACH-000291,-0.322827756016042
ACH-000293,-0.6077137178483683
ACH-000294,-0.4649730433034294
ACH-000295,-0.4827853238909273
ACH-000296,-0.6200112167418671
ACH-000302,-0.5435341118602498
ACH-000304,-0.8182534913699963
ACH-000307,-0.5051159368110314
ACH-000308,-0.6186494586530129
ACH-000310,-0.3950154577210966
ACH-000311,-0.4586543051861716
ACH-000312,-0.6503847980829379
ACH-000315,-0.5227073513449104
ACH-000316,-0.40224088070839015
ACH-000317,-0.9790191228771906
ACH-000318,-0.4348717866955623
ACH-000319,-0.3103647507294661
ACH-000320,-0.4349366457121983
ACH-000322,-0.41721801761212624
ACH-000323,-0.7129627123881767
ACH-000324,-0.566137715218391
ACH-000329,-0.6435924301023926
ACH-000330,-0.5029947373036172
ACH-000331,-0.4860201139590714
ACH-000332,-0.2430087557123977
ACH-000334,-0.3865435877163439
ACH-000335,-0.7249401106131734
ACH-000336,-0.7040095925042178
ACH-000337,-0.6074104280023304
